,"Author: Gouveia, Amauri J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 20 (Of the 48 documents considered for the h-index, 20 have been cited at least 20 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,1,4,7,5,2,21,61,94,73,92,107,131,111,112,174,170,168,185,150,202,214,130,2214,0,2214
2024,"Effects of housing density on anxiety-like behavior of zebrafish in the plus maze with ramp",03766357,"Behavioural Processes","222","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2024,"Parametric Analysis of Anxiety-Like Behavior in Guppy (Poecilia reticulata) Larvae and Juveniles Using the Plus Maze With Ramp",19843054,"Psychology and Neuroscience","17","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Decision-making under stress: A psychological and neurobiological integrative model",26663546,"Brain, Behavior, and Immunity - Health","38","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29,0,29
2024,"Putative Activation of Cannabinoid Receptor Type 1 Prevents Brain Oxidative Stress and Inhibits Aggressive-Like Behavior in Zebrafish",23788763,"Cannabis and Cannabinoid Research","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,9,0,9
2024,"Distinct acute stressors produce different intensity of anxiety-like behavior and differential glutamate release in zebrafish brain",16625153,"Frontiers in Behavioral Neuroscience","18","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,11
2024,"Do stress hormones influence choice? A systematic review of pharmacological interventions on the HPA axis and/or SAM system",17495016,"Social Cognitive and Affective Neuroscience","19","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,0,9
2023,"Pharmacological Modulation of Temporal Discounting: A Systematic Review",22279032,"Healthcare (Switzerland)","11","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,5
2023,"Structural environmental enrichment and the way it is offered influence cognitive judgement bias and anxiety-like behaviours in zebrafish",14359448,"Animal Cognition","26","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,0,9
2021,"Different influences of anxiety models, environmental enrichment, standard conditions and intraspecies variation (sex, personality and strain) on stress and quality of life in adult and juvenile zebrafish: A systematic review",01497634,"Neuroscience and Biobehavioral Reviews","131","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,4,2,20,0,20
2021,"Attachment between father and premature baby in kangaroo care in a neonatal unit of a public hospital",13551841,"Journal of Neonatal Nursing","27","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,5,3,22,0,22
