"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Carvalho A.C.C.; Bugarim R.; Furtado F.; Alves G.; Walsh-Monteiro A.; Gouveia A., Jr.","de Carvalho, Ana Claudia Costa (59347780400); Bugarim, Ranielle (59347501000); Furtado, Fabiana (59346960800); Alves, Gelson (59347370700); Walsh-Monteiro, André (55631743900); Gouveia, Amauri (8238330700)","59347780400; 59347501000; 59346960800; 59347370700; 55631743900; 8238330700","Parametric Analysis of Anxiety-Like Behavior in Guppy (Poecilia reticulata) Larvae and Juveniles Using the Plus Maze With Ramp","2024","Psychology and Neuroscience","17","4","","336","347","11","1","10.1037/pne0000343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205255955&doi=10.1037%2fpne0000343&partnerID=40&md5=bfaddd72adeb55fd646e6ad2615d320c","Article","Final","","Scopus","2-s2.0-85205255955"
"Franco E.C.S.; Cardoso M.M.; Gouvêia A.; Pereira A.; Gomes-Leal W.","Franco, Edna C.S. (7103162358); Cardoso, Marcelo M. (55188665600); Gouvêia, Amauri (8238330700); Pereira, Antonio (56962776600); Gomes-Leal, Walace (8760628300)","7103162358; 55188665600; 8238330700; 56962776600; 8760628300","Modulation of microglial activation enhances neuroprotection and functional recovery derived from bone marrow mononuclear cell transplantation after cortical ischemia","2012","Neuroscience Research","73","2","","122","132","10","61","10.1016/j.neures.2012.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860335451&doi=10.1016%2fj.neures.2012.03.006&partnerID=40&md5=e7faccddd032a93e664b01b574d1d88b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84860335451"
"Silva C.V.; Cruz E.J.S.D.; Gouveia A.J.; Pedroso J.D.S.","Silva, C.V. (57202878624); Cruz, E. J. S. da. (57192666738); Gouveia, A.J. (8238330700); Pedroso, J. da S. (57192193063)","57202878624; 57192666738; 8238330700; 57192193063","Global development and infant language’s assessment in institutional settings","2020","Early Child Development and Care","190","3","","428","437","9","1","10.1080/03004430.2018.1477774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047976641&doi=10.1080%2f03004430.2018.1477774&partnerID=40&md5=100aebfbc3dbd969e3534f3c3402b423","Article","Final","","Scopus","2-s2.0-85047976641"
"do Nascimento G.S.; Monteiro P.C.M.; Gouveia A., Jr.; de Carvalho Neto M.B.","do Nascimento, Gabriela Souza (55324832700); Monteiro, Patrícia Caroline Madeira (55325185600); Gouveia, Amauri (8238330700); de Carvalho Neto, Marcus Bentes (55324712500)","55324832700; 55325185600; 8238330700; 55324712500","Subchronic effects of fluoxetine on conditioned suppression produced by a hot air blast","2012","Psychology and Neuroscience","5","1","","117","122","5","4","10.3922/j.psns.2012.1.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864495412&doi=10.3922%2fj.psns.2012.1.16&partnerID=40&md5=402779b82e02050dfaf563da9ce1c148","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84864495412"
"Cardoso M.M.; Franco E.C.S.; De Souza C.C.; Da Silva M.C.; Gouveia A.; Gomes-Leal W.","Cardoso, Marcelo M. (55188665600); Franco, Edna C. S. (7103162358); De Souza, Celice C. (55437377800); Da Silva, Michelle C. (55569592800); Gouveia, Amauri (8238330700); Gomes-Leal, Walace (8760628300)","55188665600; 7103162358; 55437377800; 55569592800; 8238330700; 8760628300","Minocycline treatment and bone marrow mononuclear cell transplantation after endothelin-1 induced striatal ischemia","2013","Inflammation","36","1","","197","205","8","22","10.1007/s10753-012-9535-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872911901&doi=10.1007%2fs10753-012-9535-5&partnerID=40&md5=02272f1fb074ae7b697448e8439ba5c1","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84872911901"
"Pessoa R.; Motta C.; Araujo-Pessoa E.; Gouveia A.","Pessoa, Rodrigo (59374194000); Motta, Carla (59374885100); Araujo-Pessoa, Elen (59375024100); Gouveia, Amauri (8238330700)","59374194000; 59374885100; 59375024100; 8238330700","Effects of housing density on anxiety-like behavior of zebrafish in the plus maze with ramp","2024","Behavioural Processes","222","","105114","","","","2","10.1016/j.beproc.2024.105114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206899227&doi=10.1016%2fj.beproc.2024.105114&partnerID=40&md5=efa44562483d9260c0d948649aec58e3","Article","Final","","Scopus","2-s2.0-85206899227"
"de Matos Mansur B.; Silva Cavalcante C.N.; dos Santos B.R.; Gouveia A., Jr.","de Matos Mansur, Bruno (54987362000); Silva Cavalcante, Caio Neno (54987361800); dos Santos, Bruno Rodrigues (54984215800); Gouveia, Amauri (8238330700)","54987362000; 54987361800; 54984215800; 8238330700","Effects of mercury chloride (HgCl2) on Betta splendens aggressive display","2012","Spanish Journal of Psychology","15","1","","442","450","8","6","10.5209/rev_sjop.2012.v15.n1.37349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857018776&doi=10.5209%2frev_sjop.2012.v15.n1.37349&partnerID=40&md5=04e20cde447420535570777e5ab295ec","Article","Final","","Scopus","2-s2.0-84857018776"
"de Moraes F.D.; Maximino C.; de Carvalho F.A.; Ferreira Alves A.; de Paula H.M.G.; Gouveia A., Jr.","de Moraes, Fernanda Dias (55778777100); Maximino, Caio (24776595300); de Carvalho, Fábio Alves (55778661500); Ferreira Alves, Alceu (55778339400); de Paula, Hugo Medeiros Garrido (6603162334); Gouveia, Amauri (8238330700)","55778777100; 24776595300; 55778661500; 55778339400; 6603162334; 8238330700","Effects of methylmercury on electric organ discharges in the weak electric fish Gymnotus sylvius","2013","Psychology and Neuroscience","6","1","","123","127","4","3","10.3922/j.psns.2013.1.18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879583652&doi=10.3922%2fj.psns.2013.1.18&partnerID=40&md5=74b6804735e952f36f2abef56b3deb94","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84879583652"
"de Carvalho A.C.C.; Morato S.; Gouveia A., Jr.; Walsh-Monteiro A.","de Carvalho, Ana Cláudia Costa (59347780400); Morato, Sílvio (7004200749); Gouveia, Amauri (8238330700); Walsh-Monteiro, André (55631743900)","59347780400; 7004200749; 8238330700; 55631743900","Anxiety and Fryes: A Novel Model to Study Anxiety in Zebrafish Larvae","2025","Zebrafish","22","3","","86","98","12","0","10.1089/zeb.2025.0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005407324&doi=10.1089%2fzeb.2025.0002&partnerID=40&md5=ab17f919bc36b4e92bfb7110e3cbe7fe","Article","Final","","Scopus","2-s2.0-105005407324"
"Chirinéa G.; Gouveia A.","Chirinéa, Guilherme (57191489188); Gouveia, Amauri (8238330700)","57191489188; 8238330700","Impulsive-like behavior: A review of animal models","2019","Psychology and Neuroscience","12","1","","78","118","40","2","10.1037/pne0000145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051919415&doi=10.1037%2fpne0000145&partnerID=40&md5=c5ffe3d77e6590e7da0218b2c869172a","Review","Final","","Scopus","2-s2.0-85051919415"
