"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Carvalho T.S.; Brasil A.; Leão L.K.R.; Braga D.V.; Santos-Silva M.; Assad N.; Luz W.L.; Batista E.J.O.; Bastos G.N.T.; Oliveira K.R.M.H.; Diniz D.L.W.P.; Herculano A.M.","de Carvalho, Tayana Silva (56884170500); Brasil, Alódia (55971897700); Leão, Luana K. R. (49863477800); Braga, Danielle Valente (57205126342); Santos-Silva, Mateus (57211668818); Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Batista, Evander de Jesus O. (54899242700); Bastos, Gilmara de Nazareth Tavares (24464061900); Oliveira, Karen Renata Matos Herculano (26321749600); Diniz, Domingos Luiz Wanderley Picanço (57214034341); Herculano, Anderson Manoel (8230111200)","56884170500; 55971897700; 49863477800; 57205126342; 57211668818; 57211667252; 57205571240; 54899242700; 24464061900; 26321749600; 57214034341; 8230111200","Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention","2022","Food and Nutrition Research","66","","8851","","","","4","10.29219/fnr.v66.8851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141185737&doi=10.29219%2ffnr.v66.8851&partnerID=40&md5=a320dbcd305c38a8f30bffa142108e58","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141185737"
"Martins I.C.V.D.S.; Souza G.D.S.; Brasil A.; Herculano A.M.; Lacerda E.M.D.C.B.; Rodrigues A.R.; Rosa A.A.M.; Ventura D.F.; Castro A.J.D.O.; Silveira L.C.D.L.","Martins, Isabelle Christine Vieira da Silva (56988786600); Souza, Givago da Silva (57560194800); Brasil, Alódia (55971897700); Herculano, Anderson Manoel (8230111200); Lacerda, Eliza Maria da Costa Brito (54889762000); Rodrigues, Anderson Raiol (12768766500); Rosa, Alexandre Antonio Marques (9637263400); Ventura, Dora Fix (7005483553); Castro, Antonio José de Oliveira (57337053500); Silveira, Luiz Carlos de Lima (35577484500)","56988786600; 57560194800; 55971897700; 8230111200; 54889762000; 12768766500; 9637263400; 7005483553; 57337053500; 35577484500","Psychophysical Evaluation of Visual Functions of Ex-Alcoholic Subjects After Prolonged Abstinence","2019","Frontiers in Neuroscience","13","","179","","","","8","10.3389/fnins.2019.00179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099848279&doi=10.3389%2ffnins.2019.00179&partnerID=40&md5=6f8c90f392eb2233c1652401accf2e51","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85099848279"
"Maximino C.; Lima M.G.; Costa C.C.; Guedes I.M.L.; Herculano A.M.","Maximino, Caio (24776595300); Lima, Monica Gomes (24461827200); Costa, Carina Cardoso (56367739900); Guedes, Iêda Maria Louzada (56367296300); Herculano, Anderson Manoel (8230111200)","24776595300; 24461827200; 56367739900; 56367296300; 8230111200","Fluoxetine and WAY 100,635 dissociate increases in scototaxis and analgesia induced by conspecific alarm substance in zebrafish (Danio rerio Hamilton 1822)","2014","Pharmacology Biochemistry and Behavior","124","","","425","433","8","52","10.1016/j.pbb.2014.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907357020&doi=10.1016%2fj.pbb.2014.07.003&partnerID=40&md5=36b338a9047afa55b09e74edc32677f4","Article","Final","","Scopus","2-s2.0-84907357020"
"Mendes Á.G.R.; de Sousa G.G.V.; França M.D.S.; de Carvalho C.A.M.; Batista E.D.J.O.; Passos A.D.C.F.; Oliveira K.R.H.M.; Herculano A.M.; de Moraes S.A.S.","Mendes, Áurea Gabriela Rodrigues (57222987894); de Sousa, Gabriel Gomes Vilar (57222994539); França, Martha de Souza (57222982570); de Carvalho, Carlos Alberto Marques (35309526000); Batista, Evander de Jesus Oliveira (54899242700); Passos, Adelaide da Conceição Fonseca (57196356505); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200); de Moraes, Suellen Alessandra Soares (55783002300)","57222987894; 57222994539; 57222982570; 35309526000; 54899242700; 57196356505; 26321749600; 8230111200; 55783002300","Astrocyte reactivity in spinal cord and functional impairment after tendon injury in rats","2021","Heliyon","7","4","e06845","","","","4","10.1016/j.heliyon.2021.e06845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104296038&doi=10.1016%2fj.heliyon.2021.e06845&partnerID=40&md5=93b699db1da81631d8286832f2b8a2ea","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104296038"
"Moraes S.A.S.; Oliveira K.R.M.; Crespo-López M.E.; Picanço-Diniz D.L.W.; Herculano A.M.","Moraes, Suellen A. S. (59454644600); Oliveira, Karen R. M. (26321749600); Crespo-López, Maria E. (8230111500); Picanço-Diniz, Domingos L. W. (6603596431); Herculano, Anderson M. (8230111200)","59454644600; 26321749600; 8230111500; 6603596431; 8230111200","Local NO synthase inhibition produces histological and functional recovery in Achilles tendon of rats after tenotomy: Tendon repair and local NOS inhibition","2013","Cell and Tissue Research","353","3","","457","463","6","11","10.1007/s00441-013-1662-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883251646&doi=10.1007%2fs00441-013-1662-2&partnerID=40&md5=9e75acc38d144b0018533c2323342d59","Article","Final","","Scopus","2-s2.0-84883251646"
"de Araújo Costa Folha O.A.; Bahia C.P.; de Aguiar G.P.S.; Herculano A.M.; Coelho N.L.G.; de Sousa M.B.C.; Shiramizu V.K.M.; de Menezes Galvão A.C.; de Carvalho W.A.; Pereira A.","de Araújo Costa Folha, Otávio Augusto (57193552518); Bahia, Carlomagno Pacheco (6505851168); de Aguiar, Gisele Priscila Soares (57193552238); Herculano, Anderson Manoel (8230111200); Coelho, Nicole Leite Galvão (24502938400); de Sousa, Maria Bernardete Cordeiro (7103201354); Shiramizu, Victor Kenji Medeiros (55735140900); de Menezes Galvão, Ana Cecília (57160164600); de Carvalho, Walther Augusto (7004216205); Pereira, Antonio (56962776600)","57193552518; 6505851168; 57193552238; 8230111200; 24502938400; 7103201354; 55735140900; 57160164600; 7004216205; 56962776600","Effect of chronic stress during adolescence in prefrontal cortex structure and function","2017","Behavioural Brain Research","326","","","44","51","7","40","10.1016/j.bbr.2017.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014874939&doi=10.1016%2fj.bbr.2017.02.033&partnerID=40&md5=b015710c8285348507fe268d6e6dcd1b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85014874939"
"Almeida M.B.; Costa-Malaquias A.; Nascimento J.L.M.; Oliveira K.R.; Herculano A.M.; Crespo-López M.E.","Almeida, M.B. (45761003500); Costa-Malaquias, A. (56152841900); Nascimento, J.L.M. (7004473713); Oliveira, K.R. (26321749600); Herculano, A.M. (8230111200); Crespo-López, M.E. (8230111500)","45761003500; 56152841900; 7004473713; 26321749600; 8230111200; 8230111500","Therapeutic concentration of morphine reduces oxidative stress in glioma cell line","2014","Brazilian Journal of Medical and Biological Research","47","5","","398","402","4","29","10.1590/1414-431X20143697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900006489&doi=10.1590%2f1414-431X20143697&partnerID=40&md5=67dc52cc735126b164af4147e4f669c5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84900006489"
"do Carmo Silva R.X.; do Nascimento B.G.; Gomes G.C.V.; da Silva N.A.H.; Pinheiro J.S.; da Silva Chaves S.N.; Pimentel A.F.N.; Costa B.P.D.; Herculano A.M.; Lima-Maximino M.; Maximino C.","do Carmo Silva, Rhayra Xavier (57204146252); do Nascimento, Bianca Gomes (57217178688); Gomes, Gabriela Cristini Vidal (57215410215); da Silva, Nadyme Assad Holanda (57221351921); Pinheiro, Jéssica Souza (57221355055); da Silva Chaves, Suianny Nayara (57201777332); Pimentel, Ana Flávia Nogueira (57204950300); Costa, Bruna Patrícia Dutra (57201142899); Herculano, Anderson Manoel (8230111200); Lima-Maximino, Monica (57222545460); Maximino, Caio (24776595300)","57204146252; 57217178688; 57215410215; 57221351921; 57221355055; 57201777332; 57204950300; 57201142899; 8230111200; 57222545460; 24776595300","5-HT2C agonists and antagonists block different components of behavioral responses to potential, distal, and proximal threat in zebrafish","2021","Pharmacology Biochemistry and Behavior","210","","173276","","","","6","10.1016/j.pbb.2021.173276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115338691&doi=10.1016%2fj.pbb.2021.173276&partnerID=40&md5=882bbd6f55c8df2ed4ac851866a73160","Article","Final","","Scopus","2-s2.0-85115338691"
"Moura M.V.N.; Mesquita da Conceição Bahia G.; Gonçalves Correa M.; Araujo Sarges M.A.; Lobão T.A.; Sanches E.M.; Oliveira K.R.H.M.; Herculano A.M.; Bahia C.P.","Moura, Maria Vitoria Nava (58707572200); Mesquita da Conceição Bahia, Gabriel (58614382800); Gonçalves Correa, Marcio (58614087000); Araujo Sarges, Maíza Amanda (58613942100); Lobão, Thaís Alves (58613942200); Sanches, Erica Miranda (57191479013); Oliveira, Karen R. H. Matos (26321749600); Herculano, Anderson Manoel (8230111200); Bahia, Carlomagno Pacheco (6505851168)","58707572200; 58614382800; 58614087000; 58613942100; 58613942200; 57191479013; 26321749600; 8230111200; 6505851168","Neuroprotective effects of crude extracts, compounds, and isolated molecules obtained from plants in the central nervous system injuries: a systematic review","2023","Frontiers in Neuroscience","17","","1249685","","","","12","10.3389/fnins.2023.1249685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171998315&doi=10.3389%2ffnins.2023.1249685&partnerID=40&md5=8148f0575e9be7c6831cf84a7d8e9260","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85171998315"
"Lima M.G.; Silva R.X.C.; Silva S.N.S.; Rodrigues L.S.S.; Oliveira K.R.H.M.; Batista E.J.O.; Maximino C.; Herculano A.M.","Lima, Monica Gomes (24461827200); Silva, Rhayra Xavier do Carmo (56797324300); Silva, Suéllen de Nazaré dos Santos (56797401000); Rodrigues, Lais do Socorro dos Santos (56883818400); Oliveira, Karen Renata Herculano Matos (26321749600); Batista, Evander de Jesus Oliveira (54899242700); Maximino, Caio (24776595300); Herculano, Anderson Manoel (8230111200)","24461827200; 56797324300; 56797401000; 56883818400; 26321749600; 54899242700; 24776595300; 8230111200","Time-dependent sensitization of stress responses in zebrafish: A putative model for post-traumatic stress disorder","2016","Behavioural Processes","128","","","70","82","12","38","10.1016/j.beproc.2016.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963954980&doi=10.1016%2fj.beproc.2016.04.009&partnerID=40&md5=576a556fa33a3f1792c1993d8910303f","Article","Final","","Scopus","2-s2.0-84963954980"
