,"Author: Pereira, Antonio P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 21 (Of the 76 documents considered for the h-index, 21 have been cited at least 21 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,14,8,10,5,9,7,5,20,20,31,37,35,75,57,73,65,71,61,78,88,121,123,139,121,126,134,58,1577,0,1591
2025,"Developmental inequity and the impact of pesticide exposure on gut and brain health in developing nations – a Brazilian perspective",26629992,"Humanities and Social Sciences Communications","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2025,"Brosimine B and the biphasic dose-response: insights into hormesis and retinal neuroprotection",16639812,"Frontiers in Pharmacology","16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,7
2024,"Activation of NOS-cGMP pathways promotes stress-induced sensitization of behavioral responses in zebrafish",00913057,"Pharmacology Biochemistry and Behavior","243","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2024,"Unraveling the Influence of Litter Size, Maternal Care, Exercise, and Aging on Neurobehavioral Plasticity and Dentate Gyrus Microglia Dynamics in Male Rats",20763425,"Brain Sciences","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2024,"Organization of Somatosensory Cortex in the South American Rodent Paca (Cuniculus paca)",00068977,"Brain, Behavior and Evolution","98","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Editorial: Postnatal brain development in moderate and late preterm infants: challenges and context-relevant interventions",16641078,"Frontiers in Psychology","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Neurofeedback Beta Down Training in Women With High State-Trait Anxiety and Elevated Beta Patterns in Temporal Lobes: A Pilot Study",23730587,"NeuroRegulation","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"The effect of 1-deoxynojirimycin isolated from logging residue of Bagassa guianensis on an in vitro cancer model",26732718,"Frontiers in Chemical Engineering","6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6
2023,"The spectral profile of cortical activation during a visuospatial mental rotation task and its correlation with working memory",16624548,"Frontiers in Neuroscience","17","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,5
2022,"The association between trait anxiety and the fear of being laughed at in college: A preliminary study with a Brazilian sample",21623279,"Brain and Behavior","12","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022,"Microelectrode implants, inflammatory response and long-lasting effects on NADPH diaphorase neurons in the rat frontal cortex",00144819,"Experimental Brain Research","240","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2022,"Out of sight out of mind: Psychological distance and opinion about the age of penal majority",16641078,"Frontiers in Psychology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2022,"Dynamic coupling between the central and autonomic cardiac nervous systems in patients with refractory epilepsy: A pilot study",16642295,"Frontiers in Neurology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,7,0,7
2022,"Chronic Effects of Dietary Pesticides on the Gut Microbiome and Neurodevelopment",1664302X,"Frontiers in Microbiology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,15,11,47,0,47
2022,"Neurofeedback Training for Regulation of Sensorimotor Rhythm in Individuals with Refractory Epilepsy",16800737,"IFMBE Proceedings","83","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2022,"EEG-Based Motor Imagery Classification Using Multilayer Perceptron Neural Network",16800737,"IFMBE Proceedings","83","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2
2021,"Grasping force estimation using state-space model and Kalman Filter",17468094,"Biomedical Signal Processing and Control","70","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,17,0,17
2021,"Compensatory Hippocampal Neurogenesis in the Absence of Cognitive Impairment Following Experimental Hippocampectomy in Adult Rats",16625102,"Frontiers in Cellular Neuroscience","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,3
2020,"Disinformation and Conspiracy Theories in the Age of COVID-19",22977775,"Frontiers in Sociology","5","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,1,18,0,18
2020,"Estimation and Monitoring of COVID-19's Transmissibility From Publicly Available Data",22974687,"Frontiers in Applied Mathematics and Statistics","6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,5,0,5
2020,"Empirical Evaluation of a 3D Virtual Simulator of Hysteroscopy Using Leap Motion for Gestural Interfacing",01485598,"Journal of Medical Systems","44","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,7,0,7
2020,"Use of Heart Rate Variability Biofeedback to Reduce the Psychological Burden of Frontline Healthcare Professionals Against COVID-19",16641078,"Frontiers in Psychology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,10,0,10
2020,"Effects of methylmercury on the pattern of NADPH diaphorase expression and astrocytic activation in the rat",01476513,"Ecotoxicology and Environmental Safety","201","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,4,1,1,19,0,19
2020,"A Citizen Science Facemask Experiment and Educational Modules to Improve Coronavirus Safety in Communities and Schools",2296858X,"Frontiers in Medicine","7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,8,0,8
2020,"Early exposure to environment sounds and the development of cortical auditory evoked potentials of preterm infants during the first 3 months of life",17560500,"BMC research notes","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,9,0,9
2020,"The role of frontal and parietal cortex in the performance of gifted and average adolescents in a mental rotation task",19326203,"PLoS ONE","15","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,11,0,11
2020,"Long-Term Neurological Threats of COVID-19: A Call to Update the Thinking About the Outcomes of the Coronavirus Pandemic",16642295,"Frontiers in Neurology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,6,4,3,1,41,0,41
2020,"A Neurovisceral Integrative Study on Cognition, Heart Rate Variability, and Fitness in the Elderly",16634365,"Frontiers in Aging Neuroscience","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,6,4,1,20,0,20
2019,"The organization and connections of second somatosensory cortex in the agouti",16625129,"Frontiers in Neuroanatomy","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,7,0,7
2019,"The gut and Parkinson's disease - A bidirectional pathway",16642295,"Frontiers in Neurology","10","JUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,22,29,20,13,11,4,127,0,127
2018,"Adaptation and automation of a cancellation test for evaluation of exploratory visual behavior",,"ACM International Conference Proceeding Series","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,4,0,4
2018,"The socio-communicative development of preterm infants is resistant to the negative effects of parity on maternal responsiveness",16641078,"Frontiers in Psychology","9","FEB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,0,12,0,12
2018,"Non-visual exploration of novel objects increases the levels of plasticity factors in the rat primary visual cortex",21678359,"PeerJ","2018","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
2017,"Evidence of an inverse correlation between serotonergic activity and spreading depression propagation in the rat cortex",00068993,"Brain Research","1672","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,2,2,3,1,4,2,28,0,28
2017,"Effect of chronic stress during adolescence in prefrontal cortex structure and function",01664328,"Behavioural Brain Research","326","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,6,5,4,1,7,3,3,40,0,40
2017,"A comparison between preterm and full-term infants’ preference for faces",00217557,"Jornal de Pediatria","93","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,0,1,3,5,1,20,0,20
2015,"Stimulus–response compatibility with body parts: a study with hands",00144819,"Experimental Brain Research","233","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,3
2014,"Topography and architecture of visual and somatosensory areas of the agouti",00219967,"Journal of Comparative Neurology","522","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,3,0,1,1,0,0,13,0,13
2013,"Overweight people have low levels of implicit weight bias, but overweight nations have high levels of implicit weight bias",19326203,"PLoS ONE","8","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,6,8,11,10,9,14,8,10,3,92,0,92
2013,"Development of a low cost dataglove based on arduino for virtual reality applications",,"2013 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications, CIVEMSA 2013 - Proceedings","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,3,1,2,0,2,15,0,15
2013,"Litter size, age-related memory impairments, and microglial changes in rat dentate gyrus: Stereological analysis and three dimensional morphometry",03064522,"Neuroscience","238","",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,3,0,0,2,2,3,0,1,21,0,21
2012,"Dendritic structure varies as a function of eccentricity in V1: A quantitative study of NADPH diaphorase neurons in the diurnal South American rodent agouti, Dasyprocta prymnolopha",03064522,"Neuroscience","216","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,1,1,0,11,0,11
2012,"Dopaminergic cell populations of the rat substantia nigra are differentially affected by essential fatty acid dietary restriction over two generations",08910618,"Journal of Chemical Neuroanatomy","44","2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,1,2,0,1,1,1,0,0,0,0,15,0,15
2012,"Modulation of microglial activation enhances neuroprotection and functional recovery derived from bone marrow mononuclear cell transplantation after cortical ischemia",01680102,"Neuroscience Research","73","2",0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,4,8,4,4,4,5,5,5,3,2,2,0,61,0,61
2012,"Morphometric variability of nicotinamide adenine dinucleotide phosphate diaphorase neurons in the primary sensory areas of the rat",03064522,"Neuroscience","205","",0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,1,0,2,3,1,6,3,1,0,0,26,0,26
2012,"Copaiba oil-resin treatment is neuroprotective and reduces neutrophil recruitment and microglia activation after motor cortex excitotoxic injury",1741427X,"Evidence-based Complementary and Alternative Medicine","2012","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,8,7,2,4,2,2,4,2,48,0,48
