"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Freire M.A.M.; Franca J.G.; Picanço-Diniz C.W.; Pereira Jr. A.","Freire, Marco Aurélio M. (57193482124); Franca, João G. (7005735149); Picanço-Diniz, Cristovam W. (6701676103); Pereira Jr., Antônio (56962776600)","57193482124; 7005735149; 6701676103; 56962776600","Neuropil reactivity, distribution and morphology of NADPH diaphorase type I neurons in the barrel cortex of the adult mouse","2005","Journal of Chemical Neuroanatomy","30","2-3","","71","81","10","28","10.1016/j.jchemneu.2005.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25144514530&doi=10.1016%2fj.jchemneu.2005.04.006&partnerID=40&md5=ce70e80cf2b747d19e595590826863aa","Article","Final","","Scopus","2-s2.0-25144514530"
"Vargas C.D.; Sousa A.O.; Bittencourt F.L.R.; Santos C.M.; Pereira Jr. A.; Bernardes R.F.; Rocha-Miranda C.E.; Volchan E.","Vargas, C.D. (7101622666); Sousa, A.O. (55574122531); Bittencourt, F.L.R. (8786971000); Santos, C.M. (57196594489); Pereira Jr., A. (56962776600); Bernardes, R.F. (7004634384); Rocha-Miranda, C.E. (6701715687); Volchan, E. (6701857606)","7101622666; 55574122531; 8786971000; 57196594489; 56962776600; 7004634384; 6701715687; 6701857606","Cytochrome oxidase and NADPH-diaphorase on the afferent relay branch of the optokinetic reflex in the opossum","1998","Journal of Comparative Neurology","398","2","","206","224","18","10","10.1002/(SICI)1096-9861(19980824)398:2<206::AID-CNE4>3.0.CO;2-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032563740&doi=10.1002%2f%28SICI%291096-9861%2819980824%29398%3a2%3c206%3a%3aAID-CNE4%3e3.0.CO%3b2-4&partnerID=40&md5=10018b84b7b69318fb18f2eb3448e9ff","Article","Final","","Scopus","2-s2.0-0032563740"
"Freire M.A.M.; Rocha E.G.; Oliveira J.L.F.; Guimarães J.S.; Silveira L.C.L.; Elston G.N.; Pereira A.; Picanço-Diniz C.W.","Freire, Marco Aurélio M. (57193482124); Rocha, Emiliana G. (15623652100); Oliveira, Jorge Luiz F. (36096914000); Guimarães, Joanilson S. (8103722600); Silveira, Luiz Carlos L. (35577484500); Elston, Guy N. (7004202444); Pereira, Antonio (56962776600); Picanço-Diniz, Cristovam W. (6701676103)","57193482124; 15623652100; 36096914000; 8103722600; 35577484500; 7004202444; 56962776600; 6701676103","Morphological variability of NADPH diaphorase neurons across areas V1, V2, and V3 of the common agouti","2010","Brain Research","1318","","","52","63","11","11","10.1016/j.brainres.2009.12.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76449107362&doi=10.1016%2fj.brainres.2009.12.045&partnerID=40&md5=f9f5ec8f3c7e442c8a93f0f7834ea52d","Article","Final","","Scopus","2-s2.0-76449107362"
"Freire M.A.M.; Oliveira R.B.; Picanço-Diniz C.W.; Pereira Jr. A.","Freire, Marco Aurélio M. (57193482124); Oliveira, Ricardo B. (56643914600); Picanço-Diniz, Cristovam W. (6701676103); Pereira Jr., Antônio (56962776600)","57193482124; 56643914600; 6701676103; 56962776600","Differential effects of methylmercury intoxication in the rat's barrel field as evidenced by NADPH diaphorase histochemistry","2007","NeuroToxicology","28","1","","175","181","6","26","10.1016/j.neuro.2006.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846585409&doi=10.1016%2fj.neuro.2006.06.007&partnerID=40&md5=3038a96ed45bbd13393ac0a1bbd0a293","Article","Final","","Scopus","2-s2.0-33846585409"
"Machado-Pinheiro W.; Gawryszewski L.G.; Pereira Jr. A.","Machado-Pinheiro, Walter (6602973856); Gawryszewski, Luiz G. (6602639311); Pereira Jr., Antônio (56962776600)","6602973856; 6602639311; 56962776600","Manual responses to visual stimuli: Early and late facilitatory effects due to the offset of a peripheral cue","2003","Arquivos Brasileiros de Oftalmologia","66","5 SUPPL.","","105","113","8","3","10.1590/S0004-27492003000600013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444376526&doi=10.1590%2fS0004-27492003000600013&partnerID=40&md5=030259cf56d9c3b6475fb40a71b5e162","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-4444376526"
"Franco E.C.S.; Cardoso M.M.; Gouvêia A.; Pereira A.; Gomes-Leal W.","Franco, Edna C.S. (7103162358); Cardoso, Marcelo M. (55188665600); Gouvêia, Amauri (8238330700); Pereira, Antonio (56962776600); Gomes-Leal, Walace (8760628300)","7103162358; 55188665600; 8238330700; 56962776600; 8760628300","Modulation of microglial activation enhances neuroprotection and functional recovery derived from bone marrow mononuclear cell transplantation after cortical ischemia","2012","Neuroscience Research","73","2","","122","132","10","61","10.1016/j.neures.2012.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860335451&doi=10.1016%2fj.neures.2012.03.006&partnerID=40&md5=e7faccddd032a93e664b01b574d1d88b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84860335451"
"de França Campos F.R.; Pereira Júnior A.P.; Campos T.F.","de França Campos, Fabíola Rodrigues (56468046700); Pereira Júnior, Antônio (56962776600); Campos, Tania Fernandes (8595956200)","56468046700; 56962776600; 8595956200","Effects of motor tasks through photos and videos in patients after stroke","2014","Psicologia: Reflexao e Critica","27","4","","740","747","7","0","10.1590/1678-7153.201427414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920288714&doi=10.1590%2f1678-7153.201427414&partnerID=40&md5=63307f962be426c2c696608f243eaa81","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84920288714"
"Guimarães-Santos A.; Santos D.S.; Santos I.R.; Lima R.R.; Pereira A.; De Moura L.S.; Carvalho R.N., Jr.; Lameira O.; Gomes-Leal W.","Guimarães-Santos, Adriano (55091064600); Santos, Diego Siqueira (58359567900); Santos, Ijair Rogério (57198312898); Lima, Rafael Rodrigues (23493064500); Pereira, Antonio (56962776600); De Moura, Lucinewton Silva (55088307200); Carvalho, Raul Nunes (56516936700); Lameira, Osmar (8696425500); Gomes-Leal, Walace (8760628300)","55091064600; 58359567900; 57198312898; 23493064500; 56962776600; 55088307200; 56516936700; 8696425500; 8760628300","Copaiba oil-resin treatment is neuroprotective and reduces neutrophil recruitment and microglia activation after motor cortex excitotoxic injury","2012","Evidence-based Complementary and Alternative Medicine","2012","","918174","","","","48","10.1155/2012/918174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858272562&doi=10.1155%2f2012%2f918174&partnerID=40&md5=09e63f622b30643cac7f11e76fd2af32","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84858272562"
"Eichler S.E.; Hopperton A.P.; Alava J.J.; Pereira A., Jr.; Ahmed R.; Kozlakidis Z.; Ilic S.; Rodriguez-Palacios A.","Eichler, Sarah E. (57219014472); Hopperton, Austin P. (57219016132); Alava, Juan José (12139754400); Pereira, Antonio (56962776600); Ahmed, Rukhsana (13607994200); Kozlakidis, Zisis (14632176900); Ilic, Sanja (25922182400); Rodriguez-Palacios, Alexander (12242297400)","57219014472; 57219016132; 12139754400; 56962776600; 13607994200; 14632176900; 25922182400; 12242297400","A Citizen Science Facemask Experiment and Educational Modules to Improve Coronavirus Safety in Communities and Schools","2020","Frontiers in Medicine","7","","486","","","","8","10.3389/fmed.2020.00486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090496425&doi=10.3389%2ffmed.2020.00486&partnerID=40&md5=ffd5003c92f6d0384a752ff0b1191092","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85090496425"
"Aristizabal J.P.; Pereira A., Jr.; Gomes B.D.; Goulart P.R.K.; de Souza W.C.; Rocha F.A.","Aristizabal, Juan P. (57219903327); Pereira, Antonio (56962776600); Gomes, Bruno Duarte (15022279700); Goulart, Paulo Roney Kilpp (25722750500); de Souza, Wânia Cristina (8653502600); Rocha, Fernando A. (16231200100)","57219903327; 56962776600; 15022279700; 25722750500; 8653502600; 16231200100","Neurofeedback Beta Down Training in Women With High State-Trait Anxiety and Elevated Beta Patterns in Temporal Lobes: A Pilot Study","2024","NeuroRegulation","11","3","","284","295","11","2","10.15540/nr.11.3.284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205776095&doi=10.15540%2fnr.11.3.284&partnerID=40&md5=3b62f3d4ec4110a1d786a9bab06f331d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205776095"
