,"Author: do Nascimento Borges, Bárbara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 18 (Of the 36 documents considered for the h-index, 18 have been cited at least 18 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,1,2,4,17,10,32,40,55,42,50,60,54,73,59,61,45,51,59,24,739,0,739
2025,"Unraveling the Potential of ctDNA in Precision Medicine for Breast Cancer",11771062,"Molecular Diagnosis and Therapy","29","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2022,"Epigenetic alterations in canine mammary cancer",14154757,"Genetics and Molecular Biology","45","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,9,0,9
2021,"Mitochondrial dna alterations in glioblastoma (Gbm)",14220067,"International Journal of Molecular Sciences","22","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,11,6,39,0,39
2021,"Thymidylate synthase and methylenetetrahydrofolate reductase polymorphisms and breast cancer susceptibility in a Brazilian population",22145400,"Meta Gene","28","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2020,"Pisosterol induces g2/m cell cycle arrest and apoptosis via the ATM/ATR signaling pathway in human glioma cells",18715206,"Anti-Cancer Agents in Medicinal Chemistry","20","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,0,9,0,9
2019,"A new oligotrich (Ciliophora, Oligotrichia) from Argentina, with redefinition of Novistrombidium Song and Bradbury",09324739,"European Journal of Protistology","69","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,1,9,0,9
2019,"Alterations in mtDNA, gastric carcinogenesis and early diagnosis",24701394,"Mitochondrial DNA Part A: DNA Mapping, Sequencing, and Analysis","30","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,6,0,6
2019,"Methylation pattern and mutational status of BRCA1 in canine mammary tumors in a Brazilian population",16185641,"Comparative Clinical Pathology","28","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,3
2018,"Expression pattern of Cdkn2b and its regulators in canine mammary tumors",02507005,"Anticancer Research","38","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,6,0,6
2018,"Molecular phylogeny and comparative morphology indicate that odontostomatids (Alveolata, Ciliophora) form a distinct class-level taxon related to Armophorea",10557903,"Molecular Phylogenetics and Evolution","126","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,5,4,5,3,32,0,32
2018,"COX-2 gene expression and methylation profile in Sapajus apella as an experimental model for gastric adenocarcinoma",14154757,"Genetics and Molecular Biology","41","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,5,0,5
2018,"Frequency of the loss of heterozygosity of the NF2 gene in sporadic spinal schwannomas",02507005,"Anticancer Research","38","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,2,0,8,0,8
2016,"An update on the epigenetics of glioblastomas",17501911,"Epigenomics","8","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,3,1,1,2,0,22,0,22
2016,"Description and Phylogeny of Urostyla grandis wiackowskii subsp. nov. (Ciliophora, Hypotricha) from an Estuarine Mangrove in Brazil",10665234,"Journal of Eukaryotic Microbiology","63","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,4,1,0,1,0,2,0,18,0,18
2016,"Genotyping and prevalence of chlamydia trachomatis infection among women in Belém, Pará, northern Brazil",19722680,"Journal of Infection in Developing Countries","10","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,3,2,2,0,17,0,17
2016,"Fine Structure and Molecular Phylogeny of Parametopidium circumlabens (Ciliophora: Armophorea), Endocommensal of Sea Urchins",10665234,"Journal of Eukaryotic Microbiology","63","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,3,3,2,3,3,2,1,28,0,28
2015,"Deregulated expression of SRC, LYN and CKB kinases by DNA methylation and its potential role in gastric cancer invasiveness and metastasis",19326203,"PLoS ONE","10","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,8,5,5,2,0,0,1,36,0,36
2015,"Expression analysis of genes involved in the RB/E2F pathway in astrocytic tumors",19326203,"PLoS ONE","10","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,1,0,0,1,15,0,15
