"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Do Rosário Pinheiro D.; de Andrade D.M.; de Oliveira N.C.L.; Do Nascimento Borges B.","Do Rosário Pinheiro, Danilo (57202730046); de Andrade, Débora Mendes (60703814500); de Oliveira, Nayara Cristina Lima (60703607800); Do Nascimento Borges, Bárbara (36726471800)","57202730046; 60703814500; 60703607800; 36726471800","The role of epigenetic alterations in canine mammary cancer","2026","Journal of Reproduction and Development","72","3","","282","290","8","0","10.1262/jrd.2025-132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105042563290&doi=10.1262%2fjrd.2025-132&partnerID=40&md5=cee566aa1c571e559a99a93ba2d2295f","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042563290"
"Ferreira W.A.S.; Burbano R.R.; Pessoa C.D.Ó.; Harada M.L.; Borges B.D.N.; de Oliveira E.H.C.","Ferreira, Wallax A.S. (55968986000); Burbano, Rommel R. (35199598100); Pessoa, Claudia Do Ó. (55183664800); Harada, Maria L. (7402782464); Borges, Bárbara Do Nascimento (36726471800); de Oliveira, Edivaldo H. Correa (57191110649)","55968986000; 35199598100; 55183664800; 7402782464; 36726471800; 57191110649","Pisosterol induces g2/m cell cycle arrest and apoptosis via the ATM/ATR signaling pathway in human glioma cells","2020","Anti-Cancer Agents in Medicinal Chemistry","20","6","","734","750","16","9","10.2174/1871520620666200203160117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085591859&doi=10.2174%2f1871520620666200203160117&partnerID=40&md5=28d44a84bec565f898c6ab95cd0549a2","Article","Final","","Scopus","2-s2.0-85085591859"
"Do Nascimento Borges B.; Burbano R.M.R.; Harada M.L.","Do Nascimento Borges, Bárbara (36726471800); Burbano, Rommel Mario Rodriguez (35199598100); Harada, Maria Lúcia (7402782464)","36726471800; 35199598100; 7402782464","Analysis of the methylation patterns of the p16 INK4A, p15 INK4B, and APC genes in gastric adenocarcinoma patients from a Brazilian population","2013","Tumor Biology","34","4","","2127","2133","6","18","10.1007/s13277-013-0742-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881477271&doi=10.1007%2fs13277-013-0742-y&partnerID=40&md5=60a048a30aa263167560f5588d817aed","Article","Final","","Scopus","2-s2.0-84881477271"
"de Carvalho R.M.; de Castro Sant’ Anna C.; Pinto G.R.; Paschoal E.H.A.; Tuji F.M.; Do Nascimento Borges B.; Soares P.C.; Ferreira A.G.; Rey J.A.; Chaves L.C.L.; Burbano R.R.","de Carvalho, Raimundo Miranda (57201523372); de Castro Sant’ Anna, Carla (57201497677); Pinto, Giovanny Rebouças (56800067600); Paschoal, Eric Homero Albuquerque (14830457900); Tuji, Fabricio Mesquita (13006737000); Do Nascimento Borges, Barbara (36726471800); Soares, Paulo Cardoso (47962512300); Ferreira, Alberto Gomes (57201524082); Rey, Juan Antonio (55624784300); Chaves, Luiz Cláudio Lopes (57201519298); Burbano, Rommel Rodriguez (35199598100)","57201523372; 57201497677; 56800067600; 14830457900; 13006737000; 36726471800; 47962512300; 57201524082; 55624784300; 57201519298; 35199598100","Frequency of the loss of heterozygosity of the NF2 gene in sporadic spinal schwannomas","2018","Anticancer Research","38","4","","2149","2154","5","8","10.21873/anticanres.12455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045208943&doi=10.21873%2fanticanres.12455&partnerID=40&md5=5e87c60ef4833c43b736fd218d336dd6","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85045208943"
"Ferreira W.A.S.; Araújo M.D.; Anselmo N.P.; De Oliveira E.H.C.; Brito J.R.N.; Burbano R.R.; Harada M.L.; Do Nascimento Borges B.","Ferreira, Wallax Augusto Silva (55968986000); Araújo, Mariana Diniz (56410424800); Anselmo, Nilson Praia (6506763525); De Oliveira, Edivaldo Herculano Correa (57191110649); Brito, José Reginaldo Nascimento (35104251700); Burbano, Rommel Rodriguez (35199598100); Harada, Maria Lúcia (7402782464); Do Nascimento Borges, Bárbara (36726471800)","55968986000; 56410424800; 6506763525; 57191110649; 35104251700; 35199598100; 7402782464; 36726471800","Expression analysis of genes involved in the RB/E2F pathway in astrocytic tumors","2015","PLoS ONE","10","8","e0137259","","","","15","10.1371/journal.pone.0137259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943329521&doi=10.1371%2fjournal.pone.0137259&partnerID=40&md5=f67720c56aa8170e1768c4d37b40b223","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84943329521"
"Pinheiro D.D.R.; Ferreira W.A.S.; Barros M.B.L.; Araújo M.D.; Rodrigues-Antunes S.; Borges B.D.N.","Pinheiro, Danilo Do Rosário (56410630900); Ferreira, Wallax Augusto Silva (55968986000); Barros, Mariceli Baia Leão (57224871246); Araújo, Mariana Diniz (56410424800); Rodrigues-Antunes, Symara (55968155500); Borges, Bárbara Do Nascimento (36726471800)","56410630900; 55968986000; 57224871246; 56410424800; 55968155500; 36726471800","Perspectives on new biomarkers in gastric cancer: Diagnostic and prognostic applications","2014","World Journal of Gastroenterology","20","33","","11574","11585","11","35","10.3748/wjg.v20.i33.11574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909596044&doi=10.3748%2fwjg.v20.i33.11574&partnerID=40&md5=570c503ac8b435df4b1959beee7da86b","Review","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84909596044"
"Faro T.A.S.; Pinheiro D.D.; Calcagno D.Q.; Pereira W.L.A.; De Aguirra L.R.V.M.; Burbano R.R.; Harada M.L.; Borges B.D.N.","Faro, Thamirys Aline Silva (56692962400); Pinheiro, R.Danilo Do Rosário (57204553967); Calcagno, Danielle Queiroz (14044644000); Pereira, Washington Luiz Assunção (14066597500); De Aguirra, Lucien Roberta Valente Miranda (56502214600); Burbano, Rommel Rodriguez (35199598100); Harada, Maria Lúcia (7402782464); Borges, Bárbara Do Nascimento (36726471800)","56692962400; 57204553967; 14044644000; 14066597500; 56502214600; 35199598100; 7402782464; 36726471800","Expression pattern of Cdkn2b and its regulators in canine mammary tumors","2018","Anticancer Research","38","11","","6333","6338","5","7","10.21873/anticanres.12991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056095058&doi=10.21873%2fanticanres.12991&partnerID=40&md5=aaa94adb722d9f3383e98058887d4995","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85056095058"
"Küppers G.C.; Paiva T.D.S.; Borges B.D.N.; Harada M.L.; Garraza G.G.; Mataloni G.","Küppers, Gabriela Cristina (15074008300); Paiva, Thiago da Silva (57216404229); Borges, Bárbara do Nascimento (36726471800); Harada, Maria Lúcia (7402782464); Garraza, Gabriela González (56497198300); Mataloni, Gabriela (6602749363)","15074008300; 57216404229; 36726471800; 7402782464; 56497198300; 6602749363","An Antarctic hypotrichous ciliate, Parasterkiella thompsoni (Foissner) nov. gen., nov. comb., recorded in Argentinean peat-bogs: Morphology, morphogenesis, and molecular phylogeny","2011","European Journal of Protistology","47","2","","103","123","20","40","10.1016/j.ejop.2011.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957438292&doi=10.1016%2fj.ejop.2011.01.002&partnerID=40&md5=2b8e8e02e48f8977f8c7f0c98565922e","Article","Final","","Scopus","2-s2.0-79957438292"
"Moreira-Nunes C.A.; Barros M.B.L.; do Nascimento Borges B.; Montenegro R.C.; Lamarão L.M.; Ribeiro H.F.; Bona A.B.; Assumpção P.P.; Rey J.A.; Pinto G.R.; Burbano R.R.","Moreira-Nunes, Caroline A. (56388776900); Barros, Mariceli B.L. (57224871246); do Nascimento Borges, Bárbara (36726471800); Montenegro, Raquel C. (7003674228); Lamarão, Leticia M. (8924411000); Ribeiro, Helem F. (31767686800); Bona, Amanda B. (56414557500); Assumpção, Paulo P. (9246684500); Rey, Juan A. (55624784300); Pinto, Giovanny R. (56800067600); Burbano, Rommel R. (35199598100)","56388776900; 57224871246; 36726471800; 7003674228; 8924411000; 31767686800; 56414557500; 9246684500; 55624784300; 56800067600; 35199598100","Genetic screening analysis of patients with hereditary diffuse gastric cancer from northern and northeastern Brazil","2014","Hereditary Cancer in Clinical Practice","12","1","18","","","","19","10.1186/1897-4287-12-18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910039158&doi=10.1186%2f1897-4287-12-18&partnerID=40&md5=3695675f7cd8262de4a1e9c918c5cb84","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84910039158"
"Küppers G.C.; da Silva Paiva T.; do Nascimento Borges B.; Alfaro E.R.; Claps M.C.","Küppers, Gabriela Cristina (15074008300); da Silva Paiva, Thiago (57216404229); do Nascimento Borges, Bárbara (36726471800); Alfaro, Elisa Raquel (57207580042); Claps, María Cristina (6701799852)","15074008300; 57216404229; 36726471800; 57207580042; 6701799852","A new oligotrich (Ciliophora, Oligotrichia) from Argentina, with redefinition of Novistrombidium Song and Bradbury","2019","European Journal of Protistology","69","","","20","36","16","9","10.1016/j.ejop.2019.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062595510&doi=10.1016%2fj.ejop.2019.02.006&partnerID=40&md5=1c1a9a41c5823ee061ab7d89aaf4f54c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85062595510"
"Do Nascimento Borges B.; Burbano R.R.; Harada M.L.","Do Nascimento Borges, Bárbara (36726471800); Burbano, Rommel Rodriguez (35199598100); Harada, Maria Lúcia (7402782464)","36726471800; 35199598100; 7402782464","Survivin-31C/G polymorphism and gastric cancer risk in a Brazilian population","2011","Clinical and Experimental Medicine","11","3","","189","193","4","35","10.1007/s10238-010-0122-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054895610&doi=10.1007%2fs10238-010-0122-5&partnerID=40&md5=4ab41460e2694cab8ef0ad8bb94be0d0","Article","Final","","Scopus","2-s2.0-80054895610"
