,"Author: Gomes, Bruno Duarte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 39 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,1,0,9,8,14,4,7,26,8,20,17,16,24,53,34,42,34,35,45,58,23,478,0,478
2025,"Enzymatic Synthesis of Amoxicillin in a Batch Reactor: Mathematical Modeling, Sensitivity Analysis, and Experimental Validation",24701343,"ACS Omega","10","29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2025,"Stimulus representations in visual cortex shaped by spatial attention and microsaccades",00278424,"Proceedings of the National Academy of Sciences of the United States of America","122","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2025,"A mobile hybrid deep learning approach for classifying 3D-like representations of Amazonian lizards",26248212,"Frontiers in Artificial Intelligence","8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Neuroprotective effects of essential oils in animal models of Alzheimer's and Parkinson's disease: a systematic review",21678359,"PeerJ","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
