"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gomes A.; Filho I.; Santos F.; Lira W.; Gomes B.; Carvalho S.R.","Gomes, Alexandre (59587837600); Filho, Iraquitan (57200170228); Santos, Fredson (57143609400); Lira, Wallace (55522812200); Gomes, Bruno (15022279700); Carvalho, Schubert R. (56404164400)","59587837600; 57200170228; 57143609400; 55522812200; 15022279700; 56404164400","Anticipatory EEG Signals for Detecting and Classifying Game Interaction Onset","2015","Proceedings - 2015 17th Symposium on Virtual and Augmented Reality, SVR 2015","","","7300724","31","32","1","2","10.1109/SVR.2015.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959264159&doi=10.1109%2fSVR.2015.12&partnerID=40&md5=3b8f6a2aa6ba65796b430db75f7144f4","Conference paper","Final","","Scopus","2-s2.0-84959264159"
"de Oliveira E.D.F.; Brasil A.; Herculano A.M.; Rosa M.A.; Gomes B.D.; Rocha F.A.D.F.","de Oliveira, Edwiges de Fátima (57218899265); Brasil, Alódia (55971897700); Herculano, Anderson Manoel (8230111200); Rosa, Matheus A. (58283432300); Gomes, Bruno Duarte (15022279700); Rocha, Fernando Allan de Farias (16231200100)","57218899265; 55971897700; 8230111200; 58283432300; 15022279700; 16231200100","Neuroprotective effects of açaí (Euterpe oleracea Mart.) against diabetic retinopathy","2023","Frontiers in Pharmacology","14","","1143923","","","","10","10.3389/fphar.2023.1143923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159906763&doi=10.3389%2ffphar.2023.1143923&partnerID=40&md5=297fede95dacc78f9fe1c96ddc09839c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159906763"
"Viademonte S.; Gomes B.D.; Siravenha A.C.Q.; Gomes W.C.; Rodrigues C.; Tourinho R.A.","Viademonte, Sergio (6505946698); Gomes, Bruno D. (15022279700); Siravenha, Ana C. Q. (50861781600); Gomes, Walisson C. (57016373300); Rodrigues, Caio (57205633667); Tourinho, Renan A. (57215350735)","6505946698; 15022279700; 50861781600; 57016373300; 57205633667; 57215350735","An Unsupervised Learning Methodology for Increasing Human Productivity via VR Training","2021","Proceedings - 20th IEEE International Conference on Machine Learning and Applications, ICMLA 2021","","","","1294","1298","4","2","10.1109/ICMLA52953.2021.00210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125835391&doi=10.1109%2fICMLA52953.2021.00210&partnerID=40&md5=a4e85b9008d76748658b4dac86245dee","Conference paper","Final","","Scopus","2-s2.0-85125835391"
"Lowet E.; Gomes B.; Srinivasan K.; Zhou H.; Schafer R.J.; Desimone R.","Lowet, Eric (55516127600); Gomes, Bruno (15022279700); Srinivasan, Karthik (57189235644); Zhou, Huihui (35097965500); Schafer, Robert John (7202413085); Desimone, Robert (56238587200)","55516127600; 15022279700; 57189235644; 35097965500; 7202413085; 56238587200","Enhanced Neural Processing by Covert Attention only during Microsaccades Directed toward the Attended Stimulus","2018","Neuron","99","1","","207","214.e3","","81","10.1016/j.neuron.2018.05.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048585206&doi=10.1016%2fj.neuron.2018.05.041&partnerID=40&md5=0c432c2a8432c78285ce9fee46331507","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85048585206"
"Carvalho S.R.; Filho I.C.; Resende D.O.D.; Siravenha A.C.; Souza C.D.; Debarba H.G.; Gomes B.; Boulic R.","Carvalho, Schubert R. (56404164400); Filho, Iraquitan Cordeiro (57200170228); Resende, Damares Oliveira De (57200281682); Siravenha, Ana Carolina (50861781600); Souza, Cleidson De (57200224251); Debarba, Henrique Galvan (36717483900); Gomes, Bruno (15022279700); Boulic, Ronan (6603760704)","56404164400; 57200170228; 57200281682; 50861781600; 57200224251; 36717483900; 15022279700; 6603760704","A Deep Learning Approach for Classification of Reaching Targets from EEG Images","2017","Proceedings - 30th Conference on Graphics, Patterns and Images, SIBGRAPI 2017","","","8097310","178","184","6","17","10.1109/SIBGRAPI.2017.30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040536285&doi=10.1109%2fSIBGRAPI.2017.30&partnerID=40&md5=1c0b9ec96b3a7090cd71b09a6f093b07","Conference paper","Final","","Scopus","2-s2.0-85040536285"
"Raster M.; Horn F.; Jünemann A.; Rosa A.A.M.; Souza G.S.; Gomes B.D.; Lima M.G.; Silveira L.C.L.; Kremers J.","Raster, M. (48661475700); Horn, F. (24066991300); Jünemann, A. (56657284300); Rosa, A.A.M. (58699040600); Souza, G.S. (57560194800); Gomes, B.D. (15022279700); Lima, M.G. (24461827200); Silveira, L.C.L. (35577484500); Kremers, J. (57203054867)","48661475700; 24066991300; 56657284300; 58699040600; 57560194800; 15022279700; 24461827200; 35577484500; 57203054867","Retinal disorders in northern Brazilian patients treated with chloroquine assessed by multifocal ERG","2011","Documenta Ophthalmologica","122","2","","77","86","9","3","10.1007/s10633-011-9262-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953814284&doi=10.1007%2fs10633-011-9262-5&partnerID=40&md5=3522ca2dd7487e89ccaaca80d745867b","Article","Final","","Scopus","2-s2.0-79953814284"
"Aristizabal J.P.; Pereira A., Jr.; Gomes B.D.; Goulart P.R.K.; de Souza W.C.; Rocha F.A.","Aristizabal, Juan P. (57219903327); Pereira, Antonio (56962776600); Gomes, Bruno Duarte (15022279700); Goulart, Paulo Roney Kilpp (25722750500); de Souza, Wânia Cristina (8653502600); Rocha, Fernando A. (16231200100)","57219903327; 56962776600; 15022279700; 25722750500; 8653502600; 16231200100","Neurofeedback Beta Down Training in Women With High State-Trait Anxiety and Elevated Beta Patterns in Temporal Lobes: A Pilot Study","2024","NeuroRegulation","11","3","","284","295","11","2","10.15540/nr.11.3.284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205776095&doi=10.15540%2fnr.11.3.284&partnerID=40&md5=3b62f3d4ec4110a1d786a9bab06f331d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205776095"
"Souza G.S.; Schakelford H.B.; Moura A.L.A.; Gomes B.D.; Ventura D.F.; Fitzgerald M.E.C.; Silveira L.C.L.","Souza, G.S. (57560194800); Schakelford, H.B. (55354421900); Moura, A.L.A. (24067611700); Gomes, B.D. (15022279700); Ventura, D.F. (7005483553); Fitzgerald, M.E.C. (55354788900); Silveira, L.C.L. (35577484500)","57560194800; 55354421900; 24067611700; 15022279700; 7005483553; 55354788900; 35577484500","Comparison of the reliability of multifocal visual evoked cortical potentials generated by pattern reversal and pattern pulse stimulation","2012","Brazilian Journal of Medical and Biological Research","45","10","","955","961","6","5","10.1590/S0100-879X2012007500112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866047725&doi=10.1590%2fS0100-879X2012007500112&partnerID=40&md5=32c63417482771cb3204b6a98b159278","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84866047725"
"Gomes B.D.; Souza G.S.; Rodrigues A.R.; Saito C.A.; Silveira L.C.L.; Da Silva Filho M.","Gomes, Bruno D. (15022279700); Souza, Givago S. (57560194800); Rodrigues, Anderson R. (12768766500); Saito, Cézar A. (7005050536); Silveira, Luiz Carlos L. (35577484500); Da Silva Filho, Manoel (8783869800)","15022279700; 57560194800; 12768766500; 7005050536; 35577484500; 8783869800","Normal and dichromatic color discrimination measured with transient visual evoked potential","2006","Visual Neuroscience","23","3-4","","617","627","10","20","10.1017/S0952523806233194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750104763&doi=10.1017%2fS0952523806233194&partnerID=40&md5=1be0c4e692af32d08282800bec20d9fe","Conference paper","Final","","Scopus","2-s2.0-33750104763"
"Silveira L.C.L.; Gomes B.D.","Silveira, Luiz Carlos L. (35577484500); Gomes, Bruno Duarte (15022279700)","35577484500; 15022279700","Studies on vision and visual dysfunction: A special issue to honor the careers of Barry Lee and Dora Fix Ventura","2013","Psychology and Neuroscience","6","2","","129","131","2","0","10.3922/j.psns.2013.2.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887974249&doi=10.3922%2fj.psns.2013.2.01&partnerID=40&md5=8fcbf7182868155346f0c55cda06a5b3","Editorial","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84887974249"
