"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rogério da Silva Moraes E.; Santos-Silva M.; Grisólia A.A.; Braga D.V.; Reis Leão L.K.; Bahia C.P.; Soares de Moraes S.A.; Passos A.F.; de Jesus Oliveira Batista E.; Herculano A.M.; Matos Oliveira K.R.H.","Rogério da Silva Moraes, Edinaldo (57729815000); Santos-Silva, Mateus (57211668818); Grisólia, Alan Araújo (49863403400); Braga, Danielle Valente (57205126342); Reis Leão, Luana Ketlen (57730119400); Bahia, Carlomagno Pacheco (6505851168); Soares de Moraes, Suellen Alessandra (57207770041); Passos, Adelaide Fonseca (57196356505); de Jesus Oliveira Batista, Evander (59662892300); Herculano, Anderson Manoel (8230111200); Matos Oliveira, Karen Renata Herculano (57218681066)","57729815000; 57211668818; 49863403400; 57205126342; 57730119400; 6505851168; 57207770041; 57196356505; 59662892300; 8230111200; 57218681066","High performance liquid chromatography-based method to analyze activity of GABA transporters in central nervous system","2022","Neurochemistry International","158","","105359","","","","5","10.1016/j.neuint.2022.105359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131455456&doi=10.1016%2fj.neuint.2022.105359&partnerID=40&md5=cdec7f5231ebdd496374bdcbd38b45f8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85131455456"
"Fonseca S.S.S.; S. Port’s N.M.; Aguiar G.P.S.; Botelho E.P.; Couto N.M.G.; Pinheiro W.B.S.; Khayat A.S.; Yamada E.S.; Costa E.T.; Sena C.B.C.; Arruda M.S.P.; Bahia C.P.; Pereira A.","Fonseca, Susanne Suely Santos (57478096900); S. Port’s, Natacha M. (59751158500); Aguiar, Gisele Priscila Soares (59750858100); Botelho, Eliã P. (57211540618); Couto, Nádia M. G. (57207469901); Pinheiro, Wandson Braamcamp Souza (57201457242); Khayat, André Salim (7006620024); Yamada, Elizabeth S. (7202999208); Costa, Edmar T. (35493406100); Sena, Chubert Bernardo C. (14622029700); Arruda, Mara Silvia P. (35894629600); Bahia, Carlomagno P. (6505851168); Pereira, Antonio (56962776600)","57478096900; 59751158500; 59750858100; 57211540618; 57207469901; 57201457242; 7006620024; 7202999208; 35493406100; 14622029700; 35894629600; 6505851168; 56962776600","Brosimine B and the biphasic dose-response: insights into hormesis and retinal neuroprotection","2025","Frontiers in Pharmacology","16","","1558726","","","","7","10.3389/fphar.2025.1558726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003416504&doi=10.3389%2ffphar.2025.1558726&partnerID=40&md5=41f94d7d917594f388a4575ba86f8262","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003416504"
"dos Santos Duarte J.; Alcantara W.A.; Brito J.S.; Barbosa L.C.S.; Machado I.P.R.; Furtado V.K.T.; dos Santos-Lobato B.L.; Pinto D.S.; Krejcová L.V.; Bahia C.P.","dos Santos Duarte, Juliana (58090300100); Alcantara, Wallesson Amaral (58089093000); Brito, Juliana Silva (58089174100); Barbosa, Livia Cristina Santiago (58089174200); Machado, Inara Priscylla Rodrigues (58089213900); Furtado, Viviane Kharine Teixeira (57218312229); dos Santos-Lobato, Bruno Lopes (57079113400); Pinto, Denise Silva (56738948000); Krejcová, Lane Viana (57218311036); Bahia, Carlomagno Pacheco (6505851168)","58090300100; 58089093000; 58089174100; 58089174200; 58089213900; 57218312229; 57079113400; 56738948000; 57218311036; 6505851168","Physical activity based on dance movements as complementary therapy for Parkinson’s disease: Effects on movement, executive functions, depressive symptoms, and quality of life","2023","PLoS ONE","18","2 February","e0281204","","","","21","10.1371/journal.pone.0281204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147319441&doi=10.1371%2fjournal.pone.0281204&partnerID=40&md5=02dc7209a9d3834855176e9259632924","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147319441"
"De Carvalho T.S.; Cardoso P.B.; Santos-Silva M.; Lima-Bastos S.; Luz W.L.; Assad N.; Kauffmann N.; Passos A.; Brasil A.; Bahia C.P.; Moraes S.; Gouveia A.; De Jesus Oliveira Batista E.; Oliveira K.R.M.H.; Herculano A.M.","De Carvalho, Tayana Silva (56884170500); Cardoso, Patrick Bruno (57216070257); Santos-Silva, Mateus (57211668818); Lima-Bastos, Sávio (57211666601); Luz, Waldo Lucas (57205571240); Assad, Nadyme (57211667252); Kauffmann, Nayara (57196355861); Passos, Adelaide (57196356505); Brasil, Alódia (55971897700); Bahia, Carlomagno Pacheco (6505851168); Moraes, Suellen (59454644600); Gouveia, Amauri (8238330700); De Jesus Oliveira Batista, Evander (59662892300); Oliveira, Karen Renata Matos Herculano (26321749600); Herculano, Anderson Manoel (8230111200)","56884170500; 57216070257; 57211668818; 57211666601; 57205571240; 57211667252; 57196355861; 57196356505; 55971897700; 6505851168; 59454644600; 8238330700; 59662892300; 26321749600; 8230111200","Oxidative Stress Mediates Anxiety-Like Behavior Induced by High Caffeine Intake in Zebrafish: Protective Effect of Alpha-Tocopherol","2019","Oxidative Medicine and Cellular Longevity","2019","","8419810","","","","41","10.1155/2019/8419810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074795805&doi=10.1155%2f2019%2f8419810&partnerID=40&md5=4d0685633f988edc119d52453052dab9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85074795805"
"Lara F.A.; Kahn S.A.; Da Fonseca A.C.C.; Bahia C.P.; Pinho J.P.C.; Graca-Souza A.V.; Houzel J.C.; De Oliveira P.L.; Moura-Neto V.; Oliveira M.F.","Lara, Flavio A (7006006584); Kahn, Suzana A (22934220700); Da Fonseca, Anna C.C. (26423527500); Bahia, Carlomagno P (6505851168); Pinho, Joo P.C. (26649583700); Graca-Souza, Aurélio V (6506779240); Houzel, Jean C (6508375191); De Oliveira, Pedro L (7102098117); Moura-Neto, Vivaldo (7004173111); Oliveira, Marcus F (7402586578)","7006006584; 22934220700; 26423527500; 6505851168; 26649583700; 6506779240; 6508375191; 7102098117; 7004173111; 7402586578","On the fate of extracellular hemoglobin and heme in brain","2009","Journal of Cerebral Blood Flow and Metabolism","29","6","","1109","1120","11","48","10.1038/jcbfm.2009.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349265621&doi=10.1038%2fjcbfm.2009.34&partnerID=40&md5=e6ed3fe10b038efa0ed89a63e34d0f65","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-67349265621"
"De Paula D.R.; França M.S.; Leão L.K.R.; Maciel A.A.; Moura T.A.A.; de Moraes S.A.S.; Bahia C.P.; Borges R.S.; Batista E.J.O.; Passos A.C.F.; Oliveira K.R.H.M.; Herculano A.M.","De Paula, D.R. (57210898935); França, M.S. (57222982570); Leão, L.K.R. (49863477800); Maciel, A.A. (57210892776); Moura, T.A.A. (57786521300); de Moraes, S.A.S. (55783002300); Bahia, C.P. (6505851168); Borges, R.S. (7005086504); Batista, E.J.O. (54899242700); Passos, A.C.F. (57196356505); Oliveira, K.R.H.M. (26321749600); Herculano, A.M. (8230111200)","57210898935; 57222982570; 49863477800; 57210892776; 57786521300; 55783002300; 6505851168; 7005086504; 54899242700; 57196356505; 26321749600; 8230111200","Total rupture of Achilles tendon induces inflammatory response and glial activation on the spinal cord of mice","2023","Brazilian Journal of Medical and Biological Research","56","","e12391","","","","2","10.1590/1414-431X2023e12391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174677925&doi=10.1590%2f1414-431X2023e12391&partnerID=40&md5=1b920c4144901f920d212afc393972a9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174677925"
"Pedrosa L.R.R.; Coimbra G.D.S.; Corrêa M.G.; Dias I.A.; Bahia C.P.","Pedrosa, Laís Resque Russo (57566152600); Coimbra, Gabriele dos Santos (57566540700); Corrêa, Márcio Gonçalves (57202423898); Dias, Ivanira Amaral (15623184500); Bahia, Carlomagno Pacheco (6505851168)","57566152600; 57566540700; 57202423898; 15623184500; 6505851168","Time Window of the Critical Period for Neuroplasticity in S1, V1, and A1 Sensory Areas of Small Rodents: A Systematic Review","2022","Frontiers in Neuroanatomy","16","","763245","","","","17","10.3389/fnana.2022.763245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127735881&doi=10.3389%2ffnana.2022.763245&partnerID=40&md5=c3cf1c817d7674f6cd0cb1834130ddd7","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127735881"
"Assad N.; Luz W.L.; Santos-Silva M.; Carvalho T.; Moraes S.; Picanço-Diniz D.L.W.; Bahia C.P.; Oliveira Batista E.J.; da Conceição Passos A.; Oliveira K.R.H.M.; Herculano A.M.","Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Santos-Silva, Mateus (57211668818); Carvalho, Tayana (56884170500); Moraes, Suellen (59454644600); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Bahia, Carlomagno Pacheco (6505851168); Oliveira Batista, Evander de Jesus (57215937823); da Conceição Passos, Adelaide (57215935983); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200)","57211667252; 57205571240; 57211668818; 56884170500; 59454644600; 6603596431; 6505851168; 57215937823; 57215935983; 26321749600; 8230111200","Acute Restraint Stress Evokes Anxiety-Like Behavior Mediated by Telencephalic Inactivation and GabAergic Dysfunction in Zebrafish Brains","2020","Scientific Reports","10","1","5551","","","","35","10.1038/s41598-020-62077-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082423571&doi=10.1038%2fs41598-020-62077-w&partnerID=40&md5=06137aa5da2c5b48ebc7d9592c234e43","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85082423571"
"Pereira Jr. A.; Freire M.-A.M.; Bahia C.P.; Franca J.G.; Picanço-Diniz C.W.","Pereira Jr., Antonio (56962776600); Freire, Marco-Aurélio M. (57193482124); Bahia, Carlomagno P. (6505851168); Franca, João G. (7005735149); Picanço-Diniz, Cristovam W. (6701676103)","56962776600; 57193482124; 6505851168; 7005735149; 6701676103","The barrel field of the adult mouse Sml cortex as revealed by NADPH- diaphorase histochemistry","2000","NeuroReport","11","9","","1889","1892","3","26","10.1097/00001756-200006260-00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034717798&doi=10.1097%2f00001756-200006260-00017&partnerID=40&md5=a58aefcc192e1e81b6e9c5575f9b2ddb","Article","Final","","Scopus","2-s2.0-0034717798"
"Dias I.A.; Bahia C.P.; Franca J.G.; Houzel J.C.; Lent R.; Mayer A.O.; Santiago L.F.; Silveira L.C.L.; Picanço-Diniz C.W.; Pereira A.","Dias, I.A. (15623184500); Bahia, C.P. (6505851168); Franca, J.G. (7005735149); Houzel, J.C. (6508375191); Lent, R. (55245100400); Mayer, A.O. (56646692400); Santiago, L.F. (15623838900); Silveira, L.C.L. (35577484500); Picanço-Diniz, C.W. (6701676103); Pereira, Antonio (56962776600)","15623184500; 6505851168; 7005735149; 6508375191; 55245100400; 56646692400; 15623838900; 35577484500; 6701676103; 56962776600","Topography and architecture of visual and somatosensory areas of the agouti","2014","Journal of Comparative Neurology","522","11","","2576","2593","17","13","10.1002/cne.23550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901596452&doi=10.1002%2fcne.23550&partnerID=40&md5=96bd6f5b6111a4f4729ed90423bb54bf","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84901596452"
