,"Author: Picanço Diniz, C. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 26 (Of the 122 documents considered for the h-index, 26 have been cited at least 26 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,163,15,13,12,32,47,54,72,70,64,74,67,120,78,114,90,119,103,93,123,103,162,162,139,150,130,76,2282,0,2445
2025,"Impact of masticatory activity and rehabilitation on astrocyte morphology across the molecular layer of the dentate gyrus: Insights from the outer, medial, and inner sublayers and their relationship with spatial learning and memory",09409602,"Annals of Anatomy","258","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Intriguing astrocyte responses in CA1 to reduced and rehabilitated masticatory function: Dorsal and ventral distinct perspectives in adult mice",00039969,"Archives of Oral Biology","169","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2024,"The Hidden Dangers of Sedentary Living: Insights into Molecular, Cellular, and Systemic Mechanisms",14220067,"International Journal of Molecular Sciences","25","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,9
2024,"Contrasting Disease Progression, Microglia Reactivity, Tolerance, and Resistance to Toxoplasma gondii Infection in Two Mouse Strains",22279059,"Biomedicines","12","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2024,"Unraveling the Influence of Litter Size, Maternal Care, Exercise, and Aging on Neurobehavioral Plasticity and Dentate Gyrus Microglia Dynamics in Male Rats",20763425,"Brain Sciences","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2024,"Organization of Somatosensory Cortex in the South American Rodent Paca (Cuniculus paca)",00068977,"Brain, Behavior and Evolution","98","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Unexpected cognitive similarities between older adults and young people: Scores variability and cognitive performances",01674943,"Archives of Gerontology and Geriatrics","117","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2023,"Risk Polymorphisms of FNDC5, BDNF, and NTRK2 and Poor Education Interact and Aggravate Age-Related Cognitive Decline",14220067,"International Journal of Molecular Sciences","24","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,4
2023,"Genes, inflammatory response, tolerance, and resistance to virus infections in migratory birds, bats, and rodents",16643224,"Frontiers in Immunology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,9,0,9
2022,"Pilates and Cognitive Stimulation in Dual Task an Intervention Protocol to Improve Functional Abilities and Minimize the Rate of Age-Related Cognitive Decline in Postmenopausal Women",16604601,"International Journal of Environmental Research and Public Health","19","20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,4
2022,"The Sedentary Lifestyle and Masticatory Dysfunction: Time to Review the Contribution to Age-Associated Cognitive Decline and Astrocyte Morphotypes in the Dentate Gyrus",14220067,"International Journal of Molecular Sciences","23","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,7,0,7
2022,"Behavioral and Neuropathological Changes After Toxoplasma gondii Ocular Conjunctival Infection in BALB/c Mice",22352988,"Frontiers in Cellular and Infection Microbiology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,6,0,6
2022,"Plasticity in the hippocampal formation of shorebirds during the wintering period: Stereological analysis of parvalbumin neurons in Actitis macularius",15434494,"Learning and Behavior","50","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
2022,"Shorebirds’ Longer Migratory Distances Are Associated With Larger ADCYAP1 Microsatellites and Greater Morphological Complexity of Hippocampal Astrocytes",16641078,"Frontiers in Psychology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,8,0,8
2021,"Unwanted Exacerbation of the Immune Response in Neurodegenerative Disease: A Time to Review the Impact",16625102,"Frontiers in Cellular Neuroscience","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,7,0,7
2021,"Contrasting migratory journeys and changes in hippocampal astrocyte morphology in shorebirds",0953816X,"European Journal of Neuroscience","54","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,0,9,0,9
2021,"Microglial metamorphosis in three dimensions in virus limbic encephalitis: An unbiased pictorial representation based on a stereological sampling approach of surveillant and reactive microglia",20763425,"Brain Sciences","11","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,4
2021,"Microglial Morphology Across Distantly Related Species: Phylogenetic, Environmental and Age Influences on Microglia Reactivity and Surveillance States",16643224,"Frontiers in Immunology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3,5,1,18,0,18
2021,"Sedentary Life and Reduced Mastication Impair Spatial Learning and Memory and Differentially Affect Dentate Gyrus Astrocyte Subtypes in the Aged Mice",16624548,"Frontiers in Neuroscience","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10,0,10
2021,"Dual-Task Exercise to Improve Cognition and Functional Capacity of Healthy Older Adults",16634365,"Frontiers in Aging Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,15,22,12,75,0,75
2021,"BALB/c female subjected to valproic acid during gestational period exhibited greater microglial and behavioral changes than male mice: A significant contra intuitive result",07365748,"International Journal of Developmental Neuroscience","81","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,7,0,7
2021,"Limbic encephalitis brain damage induced by cocal virus in adult mice is reduced by environmental enrichment: Neuropathological and behavioral studies",19994915,"Viruses","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0,4
2021,"Lateral septum microglial changes and behavioral abnormalities of mice exposed to valproic acid during the prenatal period",08910618,"Journal of Chemical Neuroanatomy","111","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,4
2020,"Long-term environmental enrichment reduces microglia morphological diversity of the molecular layer of dentate gyrus",0953816X,"European Journal of Neuroscience","52","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,3,2,3,20,0,20
2020,"Changes in hippocampal astrocyte morphology of Ruddy turnstone (Arenaria interpres) during the wintering period at the mangroves of Amazon River estuary",08910618,"Journal of Chemical Neuroanatomy","108","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
2020,"Environmental enrichment increases the number of telencephalic but not tectal cells of angelfish (Pterophyllum scalare): an exploratory investigation using optical fractionator",03781909,"Environmental Biology of Fishes","103","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,5,0,5
2020,"Environmental Enrichment Improved Learning and Memory, Increased Telencephalic Cell Proliferation, and Induced Differential Gene Expression in Colossoma macropomum",16639812,"Frontiers in Pharmacology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,1,2,14,0,14
2020,"Early and late neuropathological features of meningoencephalitis associated with maraba virus infection",0100879X,"Brazilian Journal of Medical and Biological Research","53","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
2019,"Differential Change in Hippocampal Radial Astrocytes and Neurogenesis in Shorebirds With Contrasting Migratory Routes",16625129,"Frontiers in Neuroanatomy","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,0,8,0,8
2019,"Stereological analysis of early gene expression using Egr-1 immunolabeling after spreading depression in the rat somatosensory cortex",16624548,"Frontiers in Neuroscience","13","SEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,1,9,0,9
2019,"Differential Microglial Morphological Response, TNFα, and Viral Load in Sedentary-like and Active Murine Models After Systemic Non-neurotropic Dengue Virus Infection",00221554,"Journal of Histochemistry and Cytochemistry","67","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,0,1,0,13,0,13
2019,"The organization and connections of second somatosensory cortex in the agouti",16625129,"Frontiers in Neuroanatomy","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,7,0,7
2019,"Environmental impoverishment, aging, and reduction in mastication affect mouse innate repertoire to explore novel environments and to assess risk",16624548,"Frontiers in Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,3,0,10,0,10
2019,"Small-scale environmental enrichment and exercise enhance learning and spatial memory of Carassius auratus, and increase cell proliferation in the telencephalon: An exploratory study",0100879X,"Brazilian Journal of Medical and Biological Research","52","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,5,3,0,16,0,16
2019,"Water-based exercise and resistance training improve cognition in older adults",15178692,"Revista Brasileira de Medicina do Esporte","25","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,7,0,7
2018,"The subtleties of cognitive decline in multiple sclerosis: an exploratory study using hierarchichal cluster analysis of CANTAB results",14712377,"BMC neurology","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,2,4,2,15,0,15
2018,"Granulocyte macrophage colony-stimulating factor alone reduces Toxoplasma gondii replication in microglial culture by superoxide and nitric oxide, without IFN-γ production: a preliminary report",12864579,"Microbes and Infection","20","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,1,8,0,8
2018,"Hippocampal astrocytes in migrating and wintering semipalmated Sandpiper calidris pusilla",16625129,"Frontiers in Neuroanatomy","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,2,3,1,20,0,20
2017,"Hippocampal neurogenesis and volume in migrating and wintering semipalmated sandpipers (Calidris pusilla)",19326203,"PLoS ONE","12","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,5,2,1,0,0,14,0,14
2017,"Influence of schooling and age on cognitive performance in healthy older adults",0100879X,"Brazilian Journal of Medical and Biological Research","50","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,8,8,7,6,4,4,48,0,48
2017,"Age and Environment Influences on Mouse Prion Disease Progression: Behavioral Changes and Morphometry and Stereology of Hippocampal Astrocytes",19420900,"Oxidative Medicine and Cellular Longevity","2017","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,1,8,0,8
2016,"Age, environment, object recognition and morphological diversity of GFAP-immunolabeled astrocytes",17449081,"Behavioral and Brain Functions","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,7,7,2,9,4,8,2,50,0,50
2016,"Hierarchical cluster analysis of three-dimensional reconstructions of unbiased sampled microglia shows not continuous morphological changes from stage 1 to 2 after multiple dengue infections in Callithrix penicillata",16625129,"Frontiers in Neuroanatomy","10","MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,1,8,0,8
