"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Freire M.A.M.; Oliveira R.B.; Picanço-Diniz C.W.; Pereira Jr. A.","Freire, Marco Aurélio M. (57193482124); Oliveira, Ricardo B. (56643914600); Picanço-Diniz, Cristovam W. (6701676103); Pereira Jr., Antônio (56962776600)","57193482124; 56643914600; 6701676103; 56962776600","Differential effects of methylmercury intoxication in the rat's barrel field as evidenced by NADPH diaphorase histochemistry","2007","NeuroToxicology","28","1","","175","181","6","26","10.1016/j.neuro.2006.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846585409&doi=10.1016%2fj.neuro.2006.06.007&partnerID=40&md5=3038a96ed45bbd13393ac0a1bbd0a293","Article","Final","","Scopus","2-s2.0-33846585409"
"Frota de Almeida M.N.; de Siqueira Mendes F.D.C.C.; Gurgel Felício A.P.; Falsoni M.; Ferreira de Andrade M.L.; Bento-Torres J.; da Costa Vasconcelos P.F.; Perry V.H.; Picanço-Diniz C.W.; Kronka Sosthenes M.C.","Frota de Almeida, Marina N. (55221586900); de Siqueira Mendes, Fabíola D.C.C. (55221586500); Gurgel Felício, André P. (55221586700); Falsoni, Manoela (55027319700); Ferreira de Andrade, Márcia L. (55221586800); Bento-Torres, João (15045895500); da Costa Vasconcelos, Pedro F. (35602021900); Perry, Victor H. (7101787946); Picanço-Diniz, Cristovam W. (6701676103); Kronka Sosthenes, Marcia C. (55224737400)","55221586900; 55221586500; 55221586700; 55027319700; 55221586800; 15045895500; 35602021900; 7101787946; 6701676103; 55224737400","Spatial memory decline after masticatory deprivation and aging is associated with altered laminar distribution of CA1 astrocytes","2012","BMC Neuroscience","13","1","23","","","","29","10.1186/1471-2202-13-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861192521&doi=10.1186%2f1471-2202-13-23&partnerID=40&md5=7c5fa31d40cf02b45c87d358c5289e82","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84861192521"
"Lima R.R.; Guimaraes-Silva J.; Oliveira J.L.; Costa A.M.R.; Souza-Rodrigues R.D.; Dos Santos C.D.; Picanço-Diniz C.W.; Gomes-Leal W.","Lima, Rafael R. (23493064500); Guimaraes-Silva, Joanilson (8103722600); Oliveira, Jorge L. (36096914000); Costa, Ana Maria R. (23492019000); Souza-Rodrigues, Renata D. (23494043000); Dos Santos, Claudia D. (56948290200); Picanço-Diniz, Cristovam W. (6701676103); Gomes-Leal, Walace (8760628300)","23493064500; 8103722600; 36096914000; 23492019000; 23494043000; 56948290200; 6701676103; 8760628300","Diffuse axonal damage, myelin impairment, astrocytosis and inflammatory response following microinjections of NMDA into the rat striatum","2008","Inflammation","31","1","","24","35","11","21","10.1007/s10753-007-9046-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049117404&doi=10.1007%2fs10753-007-9046-y&partnerID=40&md5=821c211bbf5124a4df369c3ac34b2c1f","Article","Final","","Scopus","2-s2.0-39049117404"
"da Silva Cabral T.; Cayuela N.C.; Carvalho K.G.B.; Pimenta T.S.; Rodrigues A.P.D.; Diniz D.G.; Quaresma J.A.S.; de Almeida Medeiros D.B.; Prazeres I.T.E.; da Silva S.P.; Araújo T.P.; da Costa Vasconcelos P.F.; Diniz C.W.P.; Diniz J.A.P.","da Silva Cabral, Tatyane (60201153700); Cayuela, Natalie Chaves (57204270068); Carvalho, Karina Glazianne Barbosa (58364742300); Pimenta, Tamirys Simão (57200151876); Rodrigues, Ana Paula Drummond (36180252700); Diniz, Daniel Guerreiro (36195579100); Quaresma, Juarez Antônio Simões (6701575184); de Almeida Medeiros, Daniele Barbosa (55372365100); Prazeres, Ivy Tsuya Essashika (36515357000); da Silva, Sandro Patroca (56640691400); Araújo, Taís Pinheiro (60201566300); da Costa Vasconcelos, Pedro Fernando (59157842400); Diniz, Cristovam Wanderley Picanço (6701676103); Diniz, José Antonio Picanço (7005040559)","60201153700; 57204270068; 58364742300; 57200151876; 36180252700; 36195579100; 6701575184; 55372365100; 36515357000; 56640691400; 60201566300; 59157842400; 6701676103; 7005040559","Juruaça virus taxonomy, tolerance and resistance to infection, and inflammatory response modulation in murine model","2024","NPJ Viruses","2","1","46","","","","0","10.1038/s44298-024-00056-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022277253&doi=10.1038%2fs44298-024-00056-y&partnerID=40&md5=9a7c83369cfbabc76caa80987b4dc3af","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105022277253"
"Tomás A.M.; Bento-Torres N.V.O.; Jardim N.Y.V.; Moraes P.M.; da Costa V.O.; Modesto A.C.; Khayat A.S.; Bento-Torres J.; Picanço-Diniz C.W.","Tomás, Alessandra Mendonça (56645993400); Bento-Torres, Natáli Valim Oliver (35324084800); Jardim, Naina Yuki Vieira (57193724285); Moraes, Patrícia Martins (58783206300); da Costa, Victor Oliveira (57947737700); Modesto, Antônio Conde (57195317558); Khayat, André Salim (7006620024); Bento-Torres, João (15045895500); Picanço-Diniz, Cristovam Wanderley (6701676103)","56645993400; 35324084800; 57193724285; 58783206300; 57947737700; 57195317558; 7006620024; 15045895500; 6701676103","Risk Polymorphisms of FNDC5, BDNF, and NTRK2 and Poor Education Interact and Aggravate Age-Related Cognitive Decline","2023","International Journal of Molecular Sciences","24","24","17210","","","","4","10.3390/ijms242417210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180657652&doi=10.3390%2fijms242417210&partnerID=40&md5=69f96c1997dda3e297917edda49b2d5d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85180657652"
"Carvalho-Paulo D.; de Morais Magalhães N.G.; de Almeida Miranda D.; Diniz D.G.; Henrique E.P.; Moraes I.A.M.; Pereira P.D.C.; de Melo M.A.D.; de Lima C.M.; de Oliveira M.A.; Guerreiro-Diniz C.; Sherry D.F.; Diniz C.W.P.","Carvalho-Paulo, Dario (57201196879); de Morais Magalhães, Nara G. (57194498753); de Almeida Miranda, Diego (57201195735); Diniz, Daniel G. (36195579100); Henrique, Ediely P. (57194493912); Moraes, Isis A. M. (57194502367); Pereira, Patrick D. C. (57197065020); de Melo, Mauro A. D. (55909299900); de Lima, Camila M. (56441100600); de Oliveira, Marcus A. (56260324600); Guerreiro-Diniz, Cristovam (56702231100); Sherry, David F. (7005464434); Diniz, Cristovam W. P. (6701676103)","57201196879; 57194498753; 57201195735; 36195579100; 57194493912; 57194502367; 57197065020; 55909299900; 56441100600; 56260324600; 56702231100; 7005464434; 6701676103","Hippocampal astrocytes in migrating and wintering semipalmated Sandpiper calidris pusilla","2018","Frontiers in Neuroanatomy","11","","126","","","","20","10.3389/fnana.2017.00126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043780887&doi=10.3389%2ffnana.2017.00126&partnerID=40&md5=f66ae6337ad022db4455d3e663a349d7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85043780887"
"Guedes R.C.A.; Monteiro J.S.; de Biase S.; de Melo A.P.R.; Borba J.M.C.; Diniz C.W.P.; de Carvalho Noya A.G.A.F.; Prieto S.C.G.","Guedes, Rubem Carlos Araujo (7103388671); Monteiro, Jailma Santos (7103134370); de Biase, Silvio (59225522600); de Melo, Ana Paula Rocha (55857616500); Borba, Juliana Maria Carrazzone (15742047700); Diniz, Cristovam Wanderley Picanço (6701676103); de Carvalho Noya, Arthur Gabriel Alves Furtado (58476068600); Prieto, Sonia Carolina Guerrero (60128549100)","7103388671; 7103134370; 59225522600; 55857616500; 15742047700; 6701676103; 58476068600; 60128549100","Effects of early monocular enucleation on cortical spreading depression in well-nourished and malnourished adult rats","2024","Experimental Brain Research","242","9","","2241","2247","6","0","10.1007/s00221-024-06893-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199103813&doi=10.1007%2fs00221-024-06893-w&partnerID=40&md5=841acf657ca849aa14b672071ce0712f","Article","Final","","Scopus","2-s2.0-85199103813"
"Freire M.A.M.; Tourinho S.C.; Guimarães J.S.; Oliveira J.L.F.; Picanço-Diniz C.W.; Gomes-Leal W.; Pereira Jr. A.","Freire, Marco Aurélio M. (57193482124); Tourinho, Suzane C. (55973128500); Guimarães, Joanilson S. (8103722600); Oliveira, Jorge Luiz F. (36096914000); Picanço-Diniz, Cristovam W. (6701676103); Gomes-Leal, Walace (8760628300); Pereira Jr., Antonio (56962776600)","57193482124; 55973128500; 8103722600; 36096914000; 6701676103; 8760628300; 56962776600","Histochemical characterization, distribution and morphometric analysis of NADPH diaphorase neurons in the spinal cord of the agouti","2008","Frontiers in Neuroanatomy","2","MAY","2","","","","8","10.3389/neuro.05.002.2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76449093871&doi=10.3389%2fneuro.05.002.2008&partnerID=40&md5=2322161714cf1c6c77a0884d61b204dd","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-76449093871"
"Elston G.N.; Elston A.; Freire M.A.M.; Gomes Leal W.; Dias I.A.; Pereira Jr. A.; Silveira L.C.L.; Picanço Diniz C.W.","Elston, Guy N. (7004202444); Elston, Alejandra (8521638300); Freire, Marco Aurelio (57193482124); Gomes Leal, Wallace (8760628300); Dias, Ivanira Amaral (15623184500); Pereira Jr., Antonio (56962776600); Silveira, Luiz Carlos L. (35577484500); Picanço Diniz, Cristovam W. (6701676103)","7004202444; 8521638300; 57193482124; 8760628300; 15623184500; 56962776600; 35577484500; 6701676103","Specialization of pyramidal cell structure in the visual areas V1, V2 and V3 of the South American rodent, Dasyprocta primnolopha","2006","Brain Research","1106","1","","99","110","11","34","10.1016/j.brainres.2006.05.100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746661552&doi=10.1016%2fj.brainres.2006.05.100&partnerID=40&md5=4c01dca7a6d2be1f322246d27bab7b5c","Article","Final","","Scopus","2-s2.0-33746661552"
"Jardim N.Y.V.; Bento-Torres N.V.O.; Tomás A.M.; da Costa V.O.; Bento-Torres J.; Picanço-Diniz C.W.","Jardim, Naina Yuki Vieira (57193724285); Bento-Torres, Natáli Valim Oliver (35324084800); Tomás, Alessandra Mendonça (56645993400); da Costa, Victor Oliveira (57947737700); Bento-Torres, João (15045895500); Picanço-Diniz, Cristovam Wanderley (6701676103)","57193724285; 35324084800; 56645993400; 57947737700; 15045895500; 6701676103","Unexpected cognitive similarities between older adults and young people: Scores variability and cognitive performances","2024","Archives of Gerontology and Geriatrics","117","","105206","","","","3","10.1016/j.archger.2023.105206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171583755&doi=10.1016%2fj.archger.2023.105206&partnerID=40&md5=966056887178ba20b1f988590fb891ce","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171583755"
