,"Author: Nagamachi, Cleusa Yoshiko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 25 (Of the 160 documents considered for the h-index, 25 have been cited at least 25 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,98,26,14,20,24,48,21,26,27,31,47,73,67,78,86,121,124,154,139,117,185,182,158,154,171,217,76,2386,0,2484
2025,"Chromosomal rearrangements drive diversity in arboreal rodents of the genus Oecomys",20452322,"Scientific Reports","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Chromosomal rearrangements played an important role in the speciation of rice rats of genus Cerradomys (Rodentia, Sigmodontinae, Oryzomyini)",20452322,"Scientific Reports","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,7
2024,"Prospecting Pharmacologically Active Biocompounds from the Amazon Rainforest: In Vitro Approaches, Mechanisms of Action Based on Chemical Structure, and Perspectives on Human Therapeutic Use",14248247,"Pharmaceuticals","17","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4
2024,"A case of cryptic diversity in the bat Hsunycteris thomasi (Lonchophyllinae, Chiroptera): New insights into unrecognized species",03003256,"Zoologica Scripta","53","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Mapping of Repetitive Sequences in Brachyhypopomus brevirostris (Hypopomidae, Gymnotiformes) from the Brazilian Amazon",20762615,"Animals","14","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024,"Anticancer Potential and Safety Profile of β-Lapachone In Vitro",14203049,"Molecules","29","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7,0,7
2023,"Ancestral chromosomal signatures of Paenungulata (Afroteria) reveal the karyotype of Amazonian manatee (Trichechus inunguis, Sirenia: Trichechidae) as the oldest among American manatees",14712164,"BMC Genomics","24","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2023,"Chromosomal organization of multigene families and meiotic analysis in species of Loricariidae (Siluriformes) from Brazilian Amazon, with description of a new cytotype for genus Spatuloricaria",20466390,"Biology Open","12","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3
2023,"Mechanisms of Karyotypic Diversification in Ancistrus (Siluriformes, Loricariidae): Inferences from Repetitive Sequence Analysis",14220067,"International Journal of Molecular Sciences","24","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2023,"The synthetic dye malachite green found in food induces cytotoxicity and genotoxicity in four different mammalian cell lines from distinct tissuesw",2045452X,"Toxicology Research","12","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,9,36,0,36
2023,"Cytotoxicity and Genotoxicity Evaluation of Zanthoxylum rhoifolium Lam and In Silico Studies of Its Alkaloids",14203049,"Molecules","28","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,5
2023,"The Potential of DHA as Cancer Therapy Strategies: A Narrative Review of In Vitro Cytotoxicity Trials",20726643,"Nutrients","15","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,2,15,0,15
