"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Oliveira da Silva W.; Dias de Oliveira L.; Anselmo Y.F.; da Silva J.B.; Mendes-Oliveira A.C.; Santos de Oliveira H.C.; Pieczarka J.C.; Nagamachi C.Y.","Oliveira da Silva, Willam (57196034808); Dias de Oliveira, Leony (57208513344); Anselmo, Yan Farias (60562159500); da Silva, Jéssica Barata (59898668500); Mendes-Oliveira, Ana Cristina (54784960500); Santos de Oliveira, Halicia Celeste (57222528667); Pieczarka, Julio Cesar (7003386889); Nagamachi, Cleusa Yoshiko (57201041892)","57196034808; 57208513344; 60562159500; 59898668500; 54784960500; 57222528667; 7003386889; 57201041892","Chromosomal diversification and evolutionary trajectories in Neotropical spiny rats: the first karyotype of Echimys chrysurus Zimmermann, 1780 and a comparative synthesis across Echimyidae","2026","Journal of evolutionary biology","39","4","","437","450","13","0","10.1093/jeb/voaf151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105034945018&doi=10.1093%2fjeb%2fvoaf151&partnerID=40&md5=23ca10dbb7874716e3924b3fb769f537","Article","Final","","Scopus","2-s2.0-105034945018"
"Pires F.C.S.; de Oliveira J.C.; Menezes E.G.O.; E Silva A.P.S.; Ferreira M.C.R.; Siqueira L.M.M.; Almada-Vilhena A.O.; Pieczarka J.C.; Nagamachi C.Y.; de Carvalho Junior R.N.","Pires, Flávia Cristina Seabra (57195509814); de Oliveira, Joicy Corrêa (57222962232); Menezes, Eduardo Gama Ortiz (57202545947); E Silva, Ana Paula de Souza (57487961800); Ferreira, Maria Caroline Rodrigues (57222965395); Siqueira, Leticia Maria Martins (57222962593); Almada-Vilhena, Andryo Orfi (57217166375); Pieczarka, Julio Cesar (7003386889); Nagamachi, Cleusa Yoshiko (57201041892); de Carvalho Junior, Raul Nunes (57217206462)","57195509814; 57222962232; 57202545947; 57487961800; 57222965395; 57222962593; 57217166375; 7003386889; 57201041892; 57217206462","Bioactive compounds and evaluation of antioxidant, cytotoxic and cytoprotective effects of murici pulp extracts (Byrsonima crassifolia) obtained by supercritical extraction in hepg2 cells treated with h2o2","2021","Foods","10","4","737","","","","20","10.3390/foods10040737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104253064&doi=10.3390%2ffoods10040737&partnerID=40&md5=111aea9cb0ca026feb583451e101c6c7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104253064"
"Utsunomia R.; Melo S.; Scacchetti P.C.; Oliveira C.; De Andrade MacHado M.; Pieczarka J.C.; Nagamachi C.Y.; Foresti F.","Utsunomia, Ricardo (49561932800); Melo, Silvana (57200438392); Scacchetti, Priscilla Cardim (49561781200); Oliveira, Claudio (7202422635); De Andrade MacHado, Milla (57203345209); Pieczarka, Julio Cesar (7003386889); Nagamachi, Cleusa Yoshiko (57201041892); Foresti, Fausto (57201511236)","49561932800; 57200438392; 49561781200; 7202422635; 57203345209; 7003386889; 57201041892; 57201511236","Particular Chromosomal Distribution of Microsatellites in Five Species of the Genus Gymnotus (Teleostei, Gymnotiformes)","2018","Zebrafish","15","4","","398","403","5","16","10.1089/zeb.2018.1570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051349513&doi=10.1089%2fzeb.2018.1570&partnerID=40&md5=bc787f9befeca45f8f88f5dc51492e02","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85051349513"
"Amaral P.J.S.; Nagamachi C.Y.; Noronha R.C.R.; Costa M.J.R.; Pereira A.L.; Rossi R.V.; Mendes-Oliveira A.C.; Pieczarka J.C.","Amaral, Paulo J.S. (24469841300); Nagamachi, Cleusa Y. (57201041892); Noronha, Renata C.R. (8528389300); Costa, Marlyson J.R. (57189709787); Pereira, Adenilson L. (55616230700); Rossi, Rogerio V. (57040451900); Mendes-Oliveira, Ana C. (54784960500); Pieczarka, Julio C. (7003386889)","24469841300; 57201041892; 8528389300; 57189709787; 55616230700; 57040451900; 54784960500; 7003386889","Proechimys (Rodentia, Echimyidae): Characterization and taxonomic considerations of a form with a very low diploid number and a multiple sex chromosome system","2013","BMC Genetics","14","","21","","","","18","10.1186/1471-2156-14-21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874674969&doi=10.1186%2f1471-2156-14-21&partnerID=40&md5=4782833227f2b18d1327f49cb4dd6c34","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84874674969"
"Melo K.M.; Fascineli M.L.; Milhomem-Paixão S.S.R.; Grisolia C.K.; Santos A.S.; Salgado H.L.C.; Muehlmann L.A.; Azevedo R.B.; Pieczarka J.C.; Nagamachi C.Y.","Melo, Karina Motta (56624293500); Fascineli, Maria Luiza (7801537756); Milhomem-Paixão, Susana Suely Rodrigues (15124782100); Grisolia, Cesar Koppe (7003595234); Santos, Alberdan Silva (7402214016); Salgado, Hugo Leonardo Crisóstomo (55067100200); Muehlmann, Luis Alexandre (26431080000); Azevedo, Ricardo Bentes (34567468600); Pieczarka, Julio Cesar (7003386889); Nagamachi, Cleusa Yoshiko (57201041892)","56624293500; 7801537756; 15124782100; 7003595234; 7402214016; 55067100200; 26431080000; 34567468600; 7003386889; 57201041892","Evaluation of the Genotoxic and Antigenotoxic Effects of Andiroba (Carapa guianensis Aublet) Oil and Nanoemulsion on Swiss Mice","2018","Journal of Nanomaterials","2018","","4706057","","","","12","10.1155/2018/4706057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044166114&doi=10.1155%2f2018%2f4706057&partnerID=40&md5=fe7fef813be454471e70969fa005062a","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85044166114"
"De Almada Vilhena A.O.; Lima K.M.M.; De Azevedo L.F.C.; Rissino J.D.; De Souza A.C.P.; Nagamachi C.Y.; Pieczarka J.C.","De Almada Vilhena, Andryo O (57217152186); Lima, Karina M. M (58619821600); De Azevedo, Luana F. C (57214087209); Rissino, Jorge D (6507105839); De Souza, Augusto C. P (15841319000); Nagamachi, Cleusa Y (57201041892); Pieczarka, Julio C (7003386889)","57217152186; 58619821600; 57214087209; 6507105839; 15841319000; 57201041892; 7003386889","The synthetic dye malachite green found in food induces cytotoxicity and genotoxicity in four different mammalian cell lines from distinct tissuesw","2023","Toxicology Research","12","4","","693","701","8","37","10.1093/toxres/tfad059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171631197&doi=10.1093%2ftoxres%2ftfad059&partnerID=40&md5=cba0646f2bafb19ea4941705cc8f07f8","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171631197"
"Gomes A.J.B.; Nagamachi C.Y.; Rodrigues L.R.R.; Ferguson-Smith M.A.; Yang F.; O'Brien P.C.M.; Pieczarka J.C.","Gomes, Anderson José Baia (37093029700); Nagamachi, Cleusa Yoshiko (57201041892); Rodrigues, Luis Reginaldo Ribeiro (7202075638); Ferguson-Smith, Malcolm Andrew (36062762800); Yang, Fengtang (7403449316); O'Brien, Patricia Caroline Mary (8737407900); Pieczarka, Julio Cesar (7003386889)","37093029700; 57201041892; 7202075638; 36062762800; 7403449316; 8737407900; 7003386889","Chromosomal evolution and phylogeny in the Nullicauda group (Chiroptera, Phyllostomidae): Evidence from multidirectional chromosome painting","2018","BMC Evolutionary Biology","18","1","62","","","","4","10.1186/s12862-018-1176-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045947622&doi=10.1186%2fs12862-018-1176-3&partnerID=40&md5=c60a17007a972882246ffaf75e48b433","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85045947622"
"Cardoso A.L.; Sales K.A.H.; Nagamachi C.Y.; Pieczarka J.C.; Noronha R.C.R.","Cardoso, Adauto Lima (48260939600); Sales, Karline Alves Holanda (55735828900); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889); Noronha, Renata Coelho Rodrigues (8528389300)","48260939600; 55735828900; 57201041892; 7003386889; 8528389300","Comparative cytogenetics of two species of genus scobinancistrus (Siluriformes, Loricariidae, Ancistrini) from the Xingu river, Brazil","2013","Comparative Cytogenetics","7","1","","43","51","8","17","10.3897/CompCytogen.v7i1.4128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877952156&doi=10.3897%2fCompCytogen.v7i1.4128&partnerID=40&md5=52dd66ed1249b655e4b855432a52e783","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84877952156"
"Oliveira da Silva W.; Rodrigues da Costa M.J.; Pieczarka J.C.; Rissino J.; Pereira J.C.; Ferguson-Smith M.A.; Nagamachi C.Y.","Oliveira da Silva, Willam (57196034808); Rodrigues da Costa, Marlyson Jeremias (57207717567); Pieczarka, Julio Cesar (7003386889); Rissino, Jorge (6507105839); Pereira, Jorge C. (57202193669); Ferguson-Smith, Malcolm Andrew (36062762800); Nagamachi, Cleusa Yoshiko (57201041892)","57196034808; 57207717567; 7003386889; 6507105839; 57202193669; 36062762800; 57201041892","Identification of two independent X-autosome translocations in closely related mammalian (Proechimys) species","2019","Scientific Reports","9","1","4047","","","","15","10.1038/s41598-019-40593-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062765322&doi=10.1038%2fs41598-019-40593-8&partnerID=40&md5=19f9555de5c678f941bd91c6d3f6a545","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85062765322"
"Cardoso A.L.; Ready J.S.; Pieczarka J.C.; Milhomem S.S.R.; De Figueiredo-Ready W.M.B.; Silva F.H.R.; Nagamachi C.Y.","Cardoso, Adauto Lima (48260939600); Ready, Jonathan Stuart (14018480200); Pieczarka, Julio Cesar (7003386889); Milhomem, Susana Suely Rodrigues (15124782100); De Figueiredo-Ready, Wilsea Maria Batista (57003751900); Silva, Fernando Henrique Ramos (56437232900); Nagamachi, Cleusa Yoshiko (57201041892)","48260939600; 14018480200; 7003386889; 15124782100; 57003751900; 56437232900; 57201041892","Chromosomal variability between populations of electrophorus electricus Gill, 1864 (Pisces: Gymnotiformes: Gymnotidae)","2015","Zebrafish","12","6","","440","447","7","10","10.1089/zeb.2014.1059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949799151&doi=10.1089%2fzeb.2014.1059&partnerID=40&md5=8810f14b6650919f923174b2e039face","Article","Final","","Scopus","2-s2.0-84949799151"
