"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Souza F.G.; Matos G.B.; Sena Santos C.; Souza T.P.; Gobbo A.R.; da Costa P.F.; Salgado C.G.; Lopes Eufraseo G.; Vitor de Souza Fernandes A.; Santos-Lobato B.L.; Santos S.; C. Cavalcante G.; M. Ribeiro dos Santos A.; de Araújo G.S.; Ribeiro- dos-Santos Â.","de Souza, Felipe Gouvea (59165463300); Matos, Gustavo Barra (59514112700); Sena Santos, Camille (59924800500); Souza, Tatiane Piedade (57203998774); Gobbo, Angélica Rita (57188804095); da Costa, Patrícia Fagundes (58092657300); Salgado, Claudio Guedes (8522894300); Lopes Eufraseo, Gracivane (59925040900); Vitor de Souza Fernandes, André (59925165300); Santos-Lobato, Bruno Lopes (57079113400); Santos, Sidney (57809842800); C. Cavalcante, Giovanna (59925165400); M. Ribeiro dos Santos, André (59925288300); de Araújo, Gilderlanio S. (56723664500); Ribeiro- dos-Santos, Ândrea (8431947000)","59165463300; 59514112700; 59924800500; 57203998774; 57188804095; 58092657300; 8522894300; 59925040900; 59925165300; 57079113400; 57809842800; 59925165400; 59925288300; 56723664500; 8431947000","Mitochondrial ancestry from complete mitogenomes highlights a lack of characterization of indigenous haplogroups in Brazilian Amazon population","2025","Communications Biology","8","1","835","","","","1","10.1038/s42003-025-08126-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007093306&doi=10.1038%2fs42003-025-08126-4&partnerID=40&md5=14edf2f44547ef728e9d4d74cbee4e64","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007093306"
"Avanzi C.; Lécorché E.; Rakotomalala F.A.; Benjak A.; Rapelanoro Rabenja F.; Ramarozatovo L.S.; Cauchoix B.; Rakoto-Andrianarivelo M.; Tió-Coma M.; Leal-Calvo T.; Busso P.; Boy-Röttger S.; Chauffour A.; Rasamoelina T.; Andrianarison A.; Sendrasoa F.; Spencer J.S.; Singh P.; Dashatwar D.R.; Narang R.; Berland J.-L.; Jarlier V.; Salgado C.G.; Moraes M.O.; Geluk A.; Randrianantoandro A.; Cambau E.; Cole S.T.","Avanzi, Charlotte (56079057800); Lécorché, Emmanuel (57195350820); Rakotomalala, Fetra Angelot (57189590034); Benjak, Andrej (24921398500); Rapelanoro Rabenja, Fahafahantsoa (16246170200); Ramarozatovo, Lala S. (8871480900); Cauchoix, Bertrand (6602270775); Rakoto-Andrianarivelo, Mala (6602863723); Tió-Coma, Maria (57207199386); Leal-Calvo, Thyago (57212410956); Busso, Philippe (35331788900); Boy-Röttger, Stefanie (55272137700); Chauffour, Aurélie (10938836300); Rasamoelina, Tahinamandrato (57195327445); Andrianarison, Aina (57216935599); Sendrasoa, Fandresena (54973775500); Spencer, John S. (55220571100); Singh, Pushpendra (56524845300); Dashatwar, Digambar Ramchandra (56436661200); Narang, Rahul (16684115500); Berland, Jean-Luc (7006513386); Jarlier, Vincent (7005338388); Salgado, Claudio G. (8522894300); Moraes, Milton O. (7103205178); Geluk, Annemieke (57216284164); Randrianantoandro, Andriamira (57201391437); Cambau, Emmanuelle (7003706122); Cole, Stewart T. (57203552181)","56079057800; 57195350820; 57189590034; 24921398500; 16246170200; 8871480900; 6602270775; 6602863723; 57207199386; 57212410956; 35331788900; 55272137700; 10938836300; 57195327445; 57216935599; 54973775500; 55220571100; 56524845300; 56436661200; 16684115500; 7006513386; 7005338388; 8522894300; 7103205178; 57216284164; 57201391437; 7003706122; 57203552181","Population Genomics of Mycobacterium leprae Reveals a New Genotype in Madagascar and the Comoros","2020","Frontiers in Microbiology","11","","711","","","","17","10.3389/fmicb.2020.00711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085378328&doi=10.3389%2ffmicb.2020.00711&partnerID=40&md5=5e6e1c7eb2046f60bfd1e2eed43819bc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085378328"
"Voltan G.; Marques-Júnior W.; Santana J.M.; Lincoln Silva C.M.; Leite M.N.; De Paula N.A.; Bernardes Filho F.; Barreto J.G.; Da Silva M.B.; Conde G.; Salgado C.G.; Frade M.A.C.","Voltan, Glauber (57200117047); Marques-Júnior, Wilson (7003820779); Santana, Jaci Maria (56348890400); Lincoln Silva, Claudia Maria (57249580700); Leite, Marcel Nani (57205478702); De Paula, Natália Aparecida (36677275100); Bernardes Filho, Fred (55992925400); Barreto, Josafá Gonçalves (36452809300); Da Silva, Moises Batista (8522894500); Conde, Guilherme (24075248700); Salgado, Claudio Guedes (8522894300); Frade, Marco Andrey Cipriani (6505865815)","57200117047; 7003820779; 56348890400; 57249580700; 57205478702; 36677275100; 55992925400; 36452809300; 8522894500; 24075248700; 8522894300; 6505865815","Silent peripheral neuropathy determined by high-resolution ultrasound among contacts of patients with Hansen's disease","2023","Frontiers in Medicine","9","","1059448","","","","14","10.3389/fmed.2022.1059448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147178798&doi=10.3389%2ffmed.2022.1059448&partnerID=40&md5=4655abcb51c744310e7f59016dec76a5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147178798"
"Castro De Sena C.B.; Salgado C.G.; Penalber Tavares C.M.; Vieira Da Cruz C.A.; Xavier M.B.; Do Nascimento J.L.M.","Castro De Sena, Chubert Bernardo (14041353600); Salgado, Claudio Guedes (8522894300); Penalber Tavares, Claudia Moacilene (14042431200); Vieira Da Cruz, Carlos Alberto (14042731700); Xavier, Marília Brasil (8585738500); Do Nascimento, José Luiz Martins (7004473713)","14041353600; 8522894300; 14042431200; 14042731700; 8585738500; 7004473713","Cyclosporine A treatment of leprosy patients with chronic neuritis is associated with pain control and reduction in antibodies against nerve growth factor","2006","Leprosy Review","77","2","","121","129","8","28","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746087571&partnerID=40&md5=b45c369c054c7f5f2c73d992f34a1a77","Article","Final","","Scopus","2-s2.0-33746087571"
"Salgado C.G.","Salgado, Claudio Guedes (8522894300)","8522894300","Fungal x host interactions in chromoblastomycosis: What we have learned from animal models and what is yet to be solved","2010","Virulence","1","1","","3","5","2","12","10.4161/viru.1.1.10169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955750266&doi=10.4161%2fviru.1.1.10169&partnerID=40&md5=bb29ac3850b34fbd0beba0c2df5389e0","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-77955750266"
"Salgado C.G.; Da Silva M.B.; Yamano S.S.P.; Salgado U.I.; Diniz J.A.P.; Da Silva J.P.","Salgado, Claudio G. (8522894300); Da Silva, Moises B. (8522894500); Yamano, Suellen S. P. (25642050900); Salgado, Ubirajara I. (6506210162); Diniz, José A. P. (7005040559); Da Silva, Jorge P. (7201733088)","8522894300; 8522894500; 25642050900; 6506210162; 7005040559; 7201733088","Cutaneous localized annular chromoblastomycosis","2009","Journal of Cutaneous Pathology","36","2","","257","261","4","13","10.1111/j.1600-0560.2008.01025.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58649083712&doi=10.1111%2fj.1600-0560.2008.01025.x&partnerID=40&md5=cb9ca95bb2da21523e94c9b1793866e2","Article","Final","","Scopus","2-s2.0-58649083712"
"Oliveira Jorge E.V.; Gobbo A.R.; Costa I.L.V.; Bouth R.C.; da Silva S.M.; Cunha Messias A.C.; Barreto J.G.; da Costa P.F.; do Carmo Pinto P.D.; da Silva M.B.; Spencer J.S.; Palmeira M.K.; Salgado C.G.","Oliveira Jorge, Erika Vanessa (59972608100); Gobbo, Angélica Rita (57188804095); Costa, Izabelle Laissa Viana (58482458000); Bouth, Raquel Carvalho (57200383804); da Silva, Sâmela Miranda (58482791200); Cunha Messias, Ana Caroline (57205135177); Barreto, Josafá Gonçalves (36452809300); da Costa, Patrícia Fagundes (58092657300); do Carmo Pinto, Pablo Diego (55390028000); da Silva, Moises Batista (8522894500); Spencer, John Stewart (55220571100); Palmeira, Maurício Koury (57204864898); Salgado, Claudio Guedes (8522894300)","59972608100; 57188804095; 58482458000; 57200383804; 58482791200; 57205135177; 36452809300; 58092657300; 55390028000; 8522894500; 55220571100; 57204864898; 8522894300","Leprosy in blood donors","2025","Tropical Medicine and International Health","30","9","","1018","1022","4","1","10.1111/tmi.70007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009610907&doi=10.1111%2ftmi.70007&partnerID=40&md5=38dc578b0e00c66a7abd385ecbff4fbe","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009610907"
"Pinto P.; Salgado C.; Santos N.P.C.; Santos S.; Ribeiro-dos-Santos Â.","Pinto, Pablo (55390028000); Salgado, Claudio (8522894300); Santos, Ney Pereira Carneiro (8431946600); Santos, Sidney (7102756289); Ribeiro-dos-Santos, Ândrea (8431947000)","55390028000; 8522894300; 8431946600; 7102756289; 8431947000","Influence of Genetic Ancestry on INDEL Markers of NFKβ1, CASP8, PAR1, IL4 and CYP19A1 Genes in Leprosy Patients","2015","PLoS Neglected Tropical Diseases","9","9","e0004050","","","14","23","10.1371/journal.pntd.0004050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943188820&doi=10.1371%2fjournal.pntd.0004050&partnerID=40&md5=16844518902fdd9f3a6e42c3cd339c36","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84943188820"
"Souza R.F.; Da Silva G.A.; Arruda A.C.; Da Silva M.N.; Santos A.S.; Grisólia D.P.A.; Salgado C.G.; Arruda M.S.P.","Souza, Ronilson F. (57188705407); Da Silva, Geilson A. (36238041000); Arruda, Alberto C. (7004422926); Da Silva, Milton N. (8919049600); Santos, Alberdan S. (7402214016); Grisólia, Daniella P. A. (57194086692); Salgado, Claudio G. (8522894300); Arruda, Mara Silvia P. (35894629600)","57188705407; 36238041000; 7004422926; 8919049600; 7402214016; 57194086692; 8522894300; 35894629600","A new prenylisoflavone from the antifungal extract of leaves of Vatairea guianensis Aubl","2017","Journal of the Brazilian Chemical Society","28","6","","1132","1136","4","8","10.21577/0103-5053.20160250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018642545&doi=10.21577%2f0103-5053.20160250&partnerID=40&md5=6208926e2e9f041307c43a9a45e1871e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85018642545"
"Barreto J.G.; Bisanzio D.; Frade M.A.C.; Moraes T.M.P.; Gobbo A.R.; Guimarães L.S.; da Silva M.B.; Vazquez-Prokopec G.M.; Spencer J.S.; Kitron U.; Salgado C.G.","Barreto, Josafá Gonçalves (36452809300); Bisanzio, Donal (57196394991); Frade, Marco Andrey Cipriani (6505865815); Moraes, Tania Mara Pires (57188808984); Gobbo, Angélica Rita (57188804095); Guimarães, Layana de Souza (54896064600); da Silva, Moisés Batista (8522894500); Vazquez-Prokopec, Gonzalo M. (6508232166); Spencer, John Stewart (55220571100); Kitron, Uriel (7003784237); Salgado, Claudio Guedes (8522894300)","36452809300; 57196394991; 6505865815; 57188808984; 57188804095; 54896064600; 8522894500; 6508232166; 55220571100; 7003784237; 8522894300","Spatial epidemiology and serologic cohorts increase the early detection of leprosy","2015","BMC Infectious Diseases","15","1","527","","","","51","10.1186/s12879-015-1254-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963625886&doi=10.1186%2fs12879-015-1254-8&partnerID=40&md5=6d1447f62ab5a90aa4c45489339aef31","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84963625886"
