"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Carvalho T.S.; Brasil A.; Leão L.K.R.; Braga D.V.; Santos-Silva M.; Assad N.; Luz W.L.; Batista E.J.O.; Bastos G.N.T.; Oliveira K.R.M.H.; Diniz D.L.W.P.; Herculano A.M.","de Carvalho, Tayana Silva (56884170500); Brasil, Alódia (55971897700); Leão, Luana K. R. (49863477800); Braga, Danielle Valente (57205126342); Santos-Silva, Mateus (57211668818); Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Batista, Evander de Jesus O. (54899242700); Bastos, Gilmara de Nazareth Tavares (24464061900); Oliveira, Karen Renata Matos Herculano (26321749600); Diniz, Domingos Luiz Wanderley Picanço (57214034341); Herculano, Anderson Manoel (8230111200)","56884170500; 55971897700; 49863477800; 57205126342; 57211668818; 57211667252; 57205571240; 54899242700; 24464061900; 26321749600; 57214034341; 8230111200","Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention","2022","Food and Nutrition Research","66","","8851","","","","4","10.29219/fnr.v66.8851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141185737&doi=10.29219%2ffnr.v66.8851&partnerID=40&md5=a320dbcd305c38a8f30bffa142108e58","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141185737"
"Maximino C.; Araujo J.; Leão L.K.R.; Grisolia A.B.A.; Oliveira K.R.M.; Lima M.G.; Batista E.D.J.O.; Crespo-López M.E.; Gouveia A.; Herculano A.M.","Maximino, Caio (24776595300); Araujo, Juliana (49862763300); Leão, Luana Ketlen Reis (49863477800); Grisolia, Alan Barroso Araújo (49863403400); Oliveira, Karen Renata Matos (26321749600); Lima, Monica Gomes (24461827200); Batista, Evander de Jesus Oliveira (54899242700); Crespo-López, Maria Elena (8230111500); Gouveia, Amauri (8238330700); Herculano, Anderson Manoel (8230111200)","24776595300; 49862763300; 49863477800; 49863403400; 26321749600; 24461827200; 54899242700; 8230111500; 8238330700; 8230111200","Possible role of serotoninergic system in the neurobehavioral impairment induced by acute methylmercury exposure in zebrafish (Danio rerio)","2011","Neurotoxicology and Teratology","33","6","","727","734","7","68","10.1016/j.ntt.2011.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855968735&doi=10.1016%2fj.ntt.2011.08.006&partnerID=40&md5=2e4fc2f74f26b058075e2f2c85e2109b","Article","Final","","Scopus","2-s2.0-84855968735"
"Puty B.; Maximino C.; Brasil A.; Da Silva W.L.L.; Gouveia A.; Oliveira K.R.M.; Batista E.D.J.O.; Crespo-Lopez M.E.; Rocha F.A.F.; Herculano A.M.","Puty, Bruna (55745485700); Maximino, Caio (24776595300); Brasil, Alódia (55971897700); Da Silva, Waldo Lucas Luz (56304279400); Gouveia, Amauri (8238330700); Oliveira, Karen Renata Matos (26321749600); Batista, Evander De Jesus Oliveira (54899242700); Crespo-Lopez, Maria Elena (8230111500); Rocha, Fernando Allan F. (16231200100); Herculano, Anderson Manoel (8230111200)","55745485700; 24776595300; 55971897700; 56304279400; 8238330700; 26321749600; 54899242700; 8230111500; 16231200100; 8230111200","Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system","2014","Zebrafish","11","4","","365","370","5","35","10.1089/zeb.2013.0947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905238895&doi=10.1089%2fzeb.2013.0947&partnerID=40&md5=89d13597d42b4d904c84dd24b2500207","Article","Final","","Scopus","2-s2.0-84905238895"
"de Lima R.M.S.; Leão L.K.R.; Martins L.C.; Passos A.D.C.F.; Batista E.D.J.O.; Herculano A.M.; Oliveira K.R.H.M.","de Lima, Renato M. S. (59562797400); Leão, Luana K. R. (49863477800); Martins, Luana C. (58186079900); Passos, Adelaide da C. Fonseca (57196356505); Batista, Evander de J. Oliveira (54899242700); Herculano, Anderson M. (8230111200); Oliveira, Karen R. H. M. (26321749600)","59562797400; 49863477800; 58186079900; 57196356505; 54899242700; 8230111200; 26321749600","Unveiling new perspectives about the onset of neurological and cognitive deficits in cerebral malaria: exploring cellular and neurochemical mechanisms","2025","Frontiers in Cellular and Infection Microbiology","15","","1506282","","","","7","10.3389/fcimb.2025.1506282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218103723&doi=10.3389%2ffcimb.2025.1506282&partnerID=40&md5=8327adeb7d08b46533a8317862b91b2b","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218103723"
"Martins M.L.; Pinheiro E.F.; Saito G.A.; Lima C.A.C.D.; Leão L.K.R.; Batista E.D.J.O.; Passos A.D.C.F.; Gouveia A., Jr; Oliveira K.R.H.M.; Herculano A.M.","Martins, Milena Letícia (58926231400); Pinheiro, Emerson Feio (58185912700); Saito, Geovanna Ayami (58590528600); Lima, Caroline Araújo Costa De (59404462800); Leão, Luana Ketlen Reis (49863477800); Batista, Evander de Jesus Oliveira (54899242700); Passos, Adelaide da Conceição Fonseca (57196356505); Gouveia, Amauri (8238330700); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200)","58926231400; 58185912700; 58590528600; 59404462800; 49863477800; 54899242700; 57196356505; 8238330700; 26321749600; 8230111200","Distinct acute stressors produce different intensity of anxiety-like behavior and differential glutamate release in zebrafish brain","2024","Frontiers in Behavioral Neuroscience","18","","1464992","","","","11","10.3389/fnbeh.2024.1464992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208642402&doi=10.3389%2ffnbeh.2024.1464992&partnerID=40&md5=d9d6029ae90eacf0ac5a4a4183c4eb31","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208642402"
"De Paula D.R.; França M.S.; Leão L.K.R.; Maciel A.A.; Moura T.A.A.; de Moraes S.A.S.; Bahia C.P.; Borges R.S.; Batista E.J.O.; Passos A.C.F.; Oliveira K.R.H.M.; Herculano A.M.","De Paula, D.R. (57210898935); França, M.S. (57222982570); Leão, L.K.R. (49863477800); Maciel, A.A. (57210892776); Moura, T.A.A. (57786521300); de Moraes, S.A.S. (55783002300); Bahia, C.P. (6505851168); Borges, R.S. (7005086504); Batista, E.J.O. (54899242700); Passos, A.C.F. (57196356505); Oliveira, K.R.H.M. (26321749600); Herculano, A.M. (8230111200)","57210898935; 57222982570; 49863477800; 57210892776; 57786521300; 55783002300; 6505851168; 7005086504; 54899242700; 57196356505; 26321749600; 8230111200","Total rupture of Achilles tendon induces inflammatory response and glial activation on the spinal cord of mice","2023","Brazilian Journal of Medical and Biological Research","56","","e12391","","","","2","10.1590/1414-431X2023e12391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174677925&doi=10.1590%2f1414-431X2023e12391&partnerID=40&md5=1b920c4144901f920d212afc393972a9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174677925"
"Leão L.K.R.; Herculano A.M.; Maximino C.; Brasil Costa A.; Gouveia A., Jr.; Batista E.O.; Rocha F.F.; Crespo-Lopez M.E.; Borges R.; Oliveira K.","Leão, Luana K. R. (49863477800); Herculano, Anderson M. (8230111200); Maximino, Caio (24776595300); Brasil Costa, Alódia (57194351732); Gouveia, Amauri (8238330700); Batista, Evander O. (54899242700); Rocha, Fernando F. (16231200100); Crespo-Lopez, Maria Elena (8230111500); Borges, Rosivaldo (7005086504); Oliveira, Karen (26321749600)","49863477800; 8230111200; 24776595300; 57194351732; 8238330700; 54899242700; 16231200100; 8230111500; 7005086504; 26321749600"," Mauritia flexuosa L. protects against deficits in memory acquisition and oxidative stress in rat hippocampus induced by methylmercury exposure","2017","Nutritional Neuroscience","20","5","","297","304","7","24","10.1080/1028415X.2015.1133030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978499148&doi=10.1080%2f1028415X.2015.1133030&partnerID=40&md5=c38090034bafce45667d6833453f3bf7","Article","Final","","Scopus","2-s2.0-84978499148"
"Mendes Á.G.R.; de Sousa G.G.V.; França M.D.S.; de Carvalho C.A.M.; Batista E.D.J.O.; Passos A.D.C.F.; Oliveira K.R.H.M.; Herculano A.M.; de Moraes S.A.S.","Mendes, Áurea Gabriela Rodrigues (57222987894); de Sousa, Gabriel Gomes Vilar (57222994539); França, Martha de Souza (57222982570); de Carvalho, Carlos Alberto Marques (35309526000); Batista, Evander de Jesus Oliveira (54899242700); Passos, Adelaide da Conceição Fonseca (57196356505); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200); de Moraes, Suellen Alessandra Soares (55783002300)","57222987894; 57222994539; 57222982570; 35309526000; 54899242700; 57196356505; 26321749600; 8230111200; 55783002300","Astrocyte reactivity in spinal cord and functional impairment after tendon injury in rats","2021","Heliyon","7","4","e06845","","","","4","10.1016/j.heliyon.2021.e06845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104296038&doi=10.1016%2fj.heliyon.2021.e06845&partnerID=40&md5=93b699db1da81631d8286832f2b8a2ea","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104296038"
"Kauffmann N.; Da Penha L.K.R.L.; Braga D.V.; Ataíde B.J.A.; Mendes N.S.F.; De Sousa L.P.; Da Souza G.S.; Passos A.C.F.; Batista E.J.O.; Herculano A.M.; Oliveira K.R.H.M.","Kauffmann, Nayara (57196355861); Da Penha, Luana K.R.L. (57278333000); Braga, Danielle V. (57205126342); Ataíde, Brenda J.A. (57219436950); Mendes, Nivia S.F. (57219443296); De Sousa, Laiane P. (57278000900); Da Souza, Givago S. (57560194800); Passos, Adelaide C.F. (57196356505); Batista, Evander J.O. (54899242700); Herculano, Anderson M. (8230111200); Oliveira, Karen R.H.M. (26321749600)","57196355861; 57278333000; 57205126342; 57219436950; 57219443296; 57278000900; 57560194800; 57196356505; 54899242700; 8230111200; 26321749600","Differential Effect of Antioxidants Glutathione and Vitamin C on the Hepatic Injuries Induced by Plasmodium berghei ANKA Infection","2021","BioMed Research International","2021","","9694508","","","","7","10.1155/2021/9694508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115963342&doi=10.1155%2f2021%2f9694508&partnerID=40&md5=b3d3341f22951fb611bbda702121d5df","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85115963342"
"Lucas Luz W.; Santos-Silva M.; Cardoso P.B.; Assad N.; Moraes E.R.D.S.; Grisólia A.B.A.; Braga D.V.; Leão L.K.R.; Moraes S.A.S.D.; Passos A.D.C.; Batista E.D.J.O.; Gouveia A., Jr.; Oliveira K.R.H.M.; Herculano A.M.","Lucas Luz, Waldo (57221912584); Santos-Silva, Mateus (57211668818); Cardoso, Patrick Bruno (57216070257); Assad, Nadyme (57211667252); Moraes, Edinaldo Rogério da Silva (55387949500); Grisólia, Alan Barroso Araújo (49863403400); Braga, Danielle Valente (57205126342); Leão, Luana Ketlen Reis (49863477800); Moraes, Suellen Alessandra Soares de (59454644600); Passos, Adelaide da Conceição (57196356505); Batista, Evander de Jesus Oliveira (54899242700); Gouveia, Amauri (8238330700); Oliveira, Karen R. H. Matos (26321749600); Herculano, Anderson Manoel (8230111200)","57221912584; 57211668818; 57216070257; 57211667252; 55387949500; 49863403400; 57205126342; 49863477800; 59454644600; 57196356505; 54899242700; 8238330700; 26321749600; 8230111200","Putative Activation of the CB1 Cannabinoid Receptors Prevents Anxiety-Like Behavior, Oxidative Stress, and GABA Decrease in the Brain of Zebrafish Submitted to Acute Restraint Stress","2021","Frontiers in Behavioral Neuroscience","14","","598812","","","","22","10.3389/fnbeh.2020.598812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100558304&doi=10.3389%2ffnbeh.2020.598812&partnerID=40&md5=df18c4b23b0d3bee8f96cebe6a3a36d8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85100558304"
