,"Author: Silva, Edilene Oliveira Da",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 17 (Of the 51 documents considered for the h-index, 17 have been cited at least 17 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,5,9,7,9,10,11,9,11,16,6,16,16,18,26,21,22,25,16,57,55,58,72,87,72,84,93,46,872,0,877
2025,"In vitro interaction profiles and midgut glycoconjugates of Trichophoromyia spp./Leishmania (Viannia) lainsoni",17563305,"Parasites and Vectors","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"On the Path to a Sustainable Diet: Native Brazilian Fruits of the Caryocar spp. (Pequi and Piquiá) and Potential Health Benefits in Chronic Kidney Disease",09219668,"Plant Foods for Human Nutrition","80","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2025,"Editorial: Natural products and nanotechnology: next-generation therapies for infectious diseases",16639812,"Frontiers in Pharmacology","16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"In vitro immunomodulatory effects of Caryocar villosum oil on murine macrophages",07533322,"Biomedicine and Pharmacotherapy","179","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2024,"Fatty Acid Amides Suppress Proliferation via Cannabinoid Receptors and Promote the Apoptosis of C6 Glioma Cells in Association with Akt Signaling Pathway Inhibition",14248247,"Pharmaceuticals","17","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,4
2024,"Characterization, Biocompatibility and Antioxidant Activity of Hydrogels Containing Propolis Extract as an Alternative Treatment in Wound Healing",14248247,"Pharmaceuticals","17","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,19,0,19
2024,"Description of an intramonocytic haemoparasite, Hepatozoon lainsoni sp. nov. (Apicomplexa: Adeleorina: Hepatozoidae), infecting Ameiva ameiva lizard (Reptilia: Squamata: Teiidae) in northern Brazil",00311820,"Parasitology","151","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2024,"Preliminary Study on the Chemical and Biological Properties of Propolis Extract from Stingless Bees from the Northern Region of Brazil",22279717,"Processes","12","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,16,0,16
2023,"In Vitro Leishmanicidal Activity of Copaiba Oil and Kojic Acid Combination on the Protozoan Leishmania (Leishmania) amazonensis and Host Cell",20762607,"Microorganisms","11","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4
2022,"In Vitro Cytotoxic Effects and Mechanisms of Action of Eleutherine Isolated from Eleutherine plicata Bulb in Rat Glioma C6 Cells",14203049,"Molecules","27","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,6,0,6
2022,"Activity of alkaloids from Aspidosperma nitidum against Leishmania (Leishmania) amazonensis",20452322,"Scientific Reports","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,7,0,7
2022,"The GABAergic System and Endocannabinoids in Epilepsy and Seizures: What Can We Expect from Plant Oils?",14203049,"Molecules","27","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,7,0,7
2022,"Three-dimensional architecture of Cyrilia lignieresi gametocyte-stage development inside red blood cells",10665234,"Journal of Eukaryotic Microbiology","69","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2021,"Leishmania 360°: Guidelines for exosomal research",20762607,"Microorganisms","9","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,9,0,9
2021,"Constitutive nitric oxide synthase-like enzyme in two species involved in cutaneous and mucocutaneous leishmaniasis",13835769,"Parasitology International","83","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
2021,"Culture of mycobacterium smegmatis in different carbon sources to induce in vitro cholesterol consumption leads to alterations in the host cells after infection: A macrophage proteomics analysis",20760817,"Pathogens","10","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
2020,"Chemoenzymatic Synthesis and Anti-Inflammatory Activity of Fatty Acid Amides Prepared from Bertholletia excelsa (Brazil Nut) Triglycerides",01035053,"Journal of the Brazilian Chemical Society","31","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,0,11,0,11
2020,"Nanoemulsions of Acai Oil: Physicochemical Characterization for the Topical Delivery of Antifungal Drugs",09307516,"Chemical Engineering and Technology","43","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,3,1,19,0,19
2020,"Agathisflavone, a biflavonoid from anacardium occidentale l., inhibits influenza virus neuraminidase",15680266,"Current Topics in Medicinal Chemistry","20","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,2,4,3,3,25,0,25
2019,"Flavonoids from the Amazon plant Brosimum acutifolium induce C6 glioma cell line apoptosis by disrupting mitochondrial membrane potential and reducing AKT phosphorylation",07533322,"Biomedicine and Pharmacotherapy","113","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,4,2,2,2,20,0,20
2019,"Chemical characterisation of the constituents of Eugenia protenta McVaugh and leishmanicidal activity of dimethylxanthoxylin",14786419,"Natural Product Research","33","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"Ferulate anion intercalated into Zn/Al layered double hydroxide: A Promising Intercalation Compound for Inhibition of Leishmania (L.) amazonensis",01035053,"Journal of the Brazilian Chemical Society","30","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,1,8,0,8
2019,"Microenvironment of Mycobacterium smegmatis Culture to Induce Cholesterol Consumption Does Cell Wall Remodeling and Enables the Formation of Granuloma-Like Structures",23146133,"BioMed Research International","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,6,0,6
2018,"In vitro antileishmanial effects of Physalis angulata root extract on Leishmania infantum",20954964,"Journal of Integrative Medicine","16","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,2,1,1,18,0,18
2018,"Medicinal plants from the Brazilian Amazonian region and their antileishmanial activity: a review",20954964,"Journal of Integrative Medicine","16","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,15,4,7,4,0,50,0,50
2018,"Biological effects of kojic acid on human monocytes in vitro",07533322,"Biomedicine and Pharmacotherapy","101","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,3,4,4,0,24,0,24
2018,"Selective effects of Euterpe oleracea (açai) on Leishmania (Leishmania) amazonensis and Leishmania infantum",07533322,"Biomedicine and Pharmacotherapy","97","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,4,3,2,1,2,0,22,0,22
