"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Moreira R.Y.O.; Brasil D.S.B.; Alvese C.N.; Guilhon G.M.S.P.; Santos L.S.; Arruda M.S.P.; Müller A.H.; Barbosa P.S.; Abreu A.S.; Silva E.O.; Rumjanek V.M.; Souza Jr. J.; Da Silva A.B.F.; Santos R.H.D.A.","Moreira, Rafael Y. O. (14819906500); Brasil, Davi S. B. (6602774614); Alvese, Cláudio N. (23088571700); Guilhon, Giselle M. S. P. (6602918098); Santos, Lourivaldo S. (7202566688); Arruda, Mara S. P. (35894629600); Müller, Adolfo H. (7404061750); Barbosa, Patrícia S. (22939940200); Abreu, Alcicley S. (22940322400); Silva, Edilene O. (56778034700); Rumjanek, Victor M. (35563579000); Souza Jr., Jaime (8510460300); Da Silva, Albérico B. F. (7402942493); Santos, Regina H. De A. (7201375122)","14819906500; 6602774614; 23088571700; 6602918098; 7202566688; 35894629600; 7404061750; 22939940200; 22940322400; 56778034700; 35563579000; 8510460300; 7402942493; 7201375122","Crystal structure and theoretical calculations of Julocrotine, a natural product with antileishmanial activity","2008","International Journal of Quantum Chemistry","108","3","","513","520","7","15","10.1002/qua.21355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37149023709&doi=10.1002%2fqua.21355&partnerID=40&md5=9bdcb9b0bd643a5a126b021abd51a1ea","Article","Final","","Scopus","2-s2.0-37149023709"
"de Oliveira D.M.S.; da Silva B.J.M.; de Sena C.B.C.; Lima J.A.N.; Vasconcelos dos Santos T.; Silveira F.T.; Silva E.O.","de Oliveira, Davi Marcos Souza (54885258900); da Silva, Bruno José Martins (7004356193); de Sena, Chubert Bernardo Castro (57190005989); Lima, José Aprígio Nunes (7202778169); Vasconcelos dos Santos, Thiago (56077638000); Silveira, Fernando Tobias (23393691700); Silva, Edilene Oliveira (56778034700)","54885258900; 7004356193; 57190005989; 7202778169; 56077638000; 23393691700; 56778034700","Comparative analysis of carbohydrate residues in the midgut of phlebotomines (Diptera: Psychodidae) from colony and field populations from Amazon, Brazil","2016","Experimental Parasitology","168","","","31","38","7","4","10.1016/j.exppara.2016.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976417924&doi=10.1016%2fj.exppara.2016.06.002&partnerID=40&md5=7b5cec13ea7a9f7cd557fe21124e31f0","Article","Final","","Scopus","2-s2.0-84976417924"
"Serrano D.R.; Silva E.O.; Bhandari V.","Serrano, Dolores R. (55345467100); Silva, Edilene Oliveira (56778034700); Bhandari, Vasundhra (56829013800)","55345467100; 56778034700; 56829013800","Editorial: Natural products and nanotechnology: next-generation therapies for infectious diseases","2025","Frontiers in Pharmacology","16","","1682331","","","","1","10.3389/fphar.2025.1682331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016196574&doi=10.3389%2ffphar.2025.1682331&partnerID=40&md5=b3341696fde9a82252dbf414c713c576","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105016196574"
"Da Silva B.J.M.; Da Silva R.R.P.; Rodrigues A.P.D.; Farias L.H.S.; Do Nascimento J.L.M.; Silva E.O.","Da Silva, B.J.M. (7004356193); Da Silva, R.R.P. (56734065800); Rodrigues, A.P.D. (36180252700); Farias, L.H.S. (55989346500); Do Nascimento, J.L.M. (7004473713); Silva, E.O. (56778034700)","7004356193; 56734065800; 36180252700; 55989346500; 7004473713; 56778034700","Physalis angulata induces death of promastigotes and amastigotes of Leishmania (Leishmania) amazonensis via the generation of reactive oxygen species","2016","Micron","82","","","25","32","7","21","10.1016/j.micron.2015.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952912533&doi=10.1016%2fj.micron.2015.12.001&partnerID=40&md5=5d67e3fab65ab7423f451372f7097e10","Article","Final","","Scopus","2-s2.0-84952912533"
"Moraes L.S.; Donza M.R.H.; Rodrigues A.P.D.; Silva B.J.M.; Brasil D.S.B.; Zoghbi M.D.G.B.; Andrade E.H.A.; Guilhon G.M.S.P.; Silva E.O.; Schmidt T.J.","Moraes, Lienne S. (57057207400); Donza, Marcio R.H. (57057843100); Rodrigues, Ana Paula D. (36180252700); Silva, Bruno J.M. (36609087800); Brasil, Davi S.B. (6602774614); Zoghbi, Maria Das Graças B. (10140603600); Andrade, Eloísa H.A. (7006101264); Guilhon, Giselle M.S.P. (6602918098); Silva, Edilene O. (56778034700); Schmidt, Thomas J. (57208635350)","57057207400; 57057843100; 36180252700; 36609087800; 6602774614; 10140603600; 7006101264; 6602918098; 56778034700; 57208635350","Leishmanicidal activity of (+)-Phyllanthidine and the phytochemical profile of margaritaria nobilis (Phyllanthaceae)","2015","Molecules","20","12","","22157","22169","12","26","10.3390/molecules201219829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954348198&doi=10.3390%2fmolecules201219829&partnerID=40&md5=aea36fbab576d5df871c08b4948152f0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84954348198"
"De Lima J.B.; Da Silva Fonseca L.P.; Xavier L.P.; Macchi B.D.M.; Cassoli J.S.; Da Silva E.O.; Da Silva Valadares R.B.; Do Nascimento J.L.M.; Santos A.V.; De Sena C.B.C.","De Lima, Jaqueline Batista (57224309273); Da Silva Fonseca, Lana Patricia (57217385971); Xavier, Luciana Pereira (57199159347); Macchi, Barbarella De Matos (24067354900); Cassoli, Juliana Silva (36999302600); Da Silva, Edilene Oliveira (56778034700); Da Silva Valadares, Rafael Borges (56066419300); Do Nascimento, José Luiz Martins (7004473713); Santos, Agenor Valadares (36009603300); De Sena, Chubert Bernardo Castro (57190005989)","57224309273; 57217385971; 57199159347; 24067354900; 36999302600; 56778034700; 56066419300; 7004473713; 36009603300; 57190005989","Culture of mycobacterium smegmatis in different carbon sources to induce in vitro cholesterol consumption leads to alterations in the host cells after infection: A macrophage proteomics analysis","2021","Pathogens","10","6","662","","","","2","10.3390/pathogens10060662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107335595&doi=10.3390%2fpathogens10060662&partnerID=40&md5=2b0c0fd16ec57d2aecf6ee7e681aa6e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107335595"
"Brenda Santarém F.; Turiel-Silva M.; Wendt C.; Costi H.T.; da Silva E.O.; Rodrigues A.P.D.; de Souza W.; Miranda K.; Diniz J.A.P.","Brenda Santarém, Fachetti (60039076200); Turiel-Silva, Maíra (57471941500); Wendt, Camila (55918370400); Costi, Hilton Tulio (7801443299); da Silva, Edilene Oliveira (56778034700); Rodrigues, Ana Paula Drummond (36180252700); de Souza, Wanderley (35595639800); Miranda, Kildare (7003660071); Diniz, José Antonio Picanço (7005040559)","60039076200; 57471941500; 55918370400; 7801443299; 56778034700; 36180252700; 35595639800; 7003660071; 7005040559","3D Electron Microscopy Reveals the Structural Complexity of the Intravacuolar Membranous Network in Cyrilia lignieresi-Infected Erythrocytes of the Fish Synbranchus marmoratus","2025","Journal of Eukaryotic Microbiology","72","4","e70031","","","","0","10.1111/jeu.70031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011292364&doi=10.1111%2fjeu.70031&partnerID=40&md5=5244934fa38d0e82f5447df5ccd23a8e","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105011292364"
"Dos Santos A.C.D.; Marinho V.H.D.S.; Silva P.H.D.A.; MacChi B.D.M.; Arruda M.S.P.; Silva E.O.D.; Do Nascimento J.L.M.; Sena C.B.C.D.","Dos Santos, Ana Cristina Doria (57210542423); Marinho, Victor Hugo De Souza (58387843600); Silva, Pedro Henrique De Aviz (57208601315); MacChi, Barbarella De Matos (24067354900); Arruda, Mara Silvia Pinheiro (35894629600); Silva, Edilene Oliveira Da (56778034700); Do Nascimento, José Luiz Martins (7004473713); Sena, Chubert Bernardo Castro De (14622029700)","57210542423; 58387843600; 57208601315; 24067354900; 35894629600; 56778034700; 7004473713; 14622029700","Microenvironment of Mycobacterium smegmatis Culture to Induce Cholesterol Consumption Does Cell Wall Remodeling and Enables the Formation of Granuloma-Like Structures","2019","BioMed Research International","2019","","1871239","","","","6","10.1155/2019/1871239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065221070&doi=10.1155%2f2019%2f1871239&partnerID=40&md5=895cb7bb5336178b774f7ac0b6d60bb7","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85065221070"
"Diniz J.A.P.; Silva E.O.; Lainson R.; De Souza W.","Diniz, José Antonio Picanço (7005040559); Silva, Edilene Oliveira (56778034700); Lainson, Ralph (7005168102); De Souza, Wanderley (35595639800)","7005040559; 56778034700; 7005168102; 35595639800","The fine structure of Garnia gonadati and its association with the host cell","2000","Parasitology Research","86","12","","971","977","6","15","10.1007/PL00008528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033646664&doi=10.1007%2fPL00008528&partnerID=40&md5=821845801532fec4a49e9599dbef3317","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0033646664"
"Carter N.S.; Mamoun C.B.; Liu W.; Silva E.O.; Landfear S.M.; Goldberg D.E.; Ullman B.","Carter, Nicola S. (7201454416); Mamoun, Choukri Ben (6701768942); Liu, Wei (56796042500); Silva, Edilene O. (56778034700); Landfear, Scott M. (7004050822); Goldberg, Daniel E. (16136747400); Ullman, Buddy (7005987999)","7201454416; 6701768942; 56796042500; 56778034700; 7004050822; 16136747400; 7005987999","Isolation and functional characterization of the PfNT1 nucleoside transporter gene from Plasmodium falciparum","2000","Journal of Biological Chemistry","275","14","","10683","10691","8","126","10.1074/jbc.275.14.10683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034615934&doi=10.1074%2fjbc.275.14.10683&partnerID=40&md5=3e3b69999809da70b11f49e8a6ec9988","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0034615934"
"de Morais T.G.; Sánchez Uzcátegui Y.D.V.; de Sena C.B.C.; Furtado R.R.; Silveira F.T.; da Silva E.O.; Vasconcelos dos Santos T.","de Morais, Thais Gouvea (58666861800); Sánchez Uzcátegui, Yetsenia del Valle (57193370109); de Sena, Chubert Bernardo Castro (57190005989); Furtado, Rodrigo Ribeiro (57222986638); Silveira, Fernando Tobias (23393691700); da Silva, Edilene Oliveira (56778034700); Vasconcelos dos Santos, Thiago (56077638000)","58666861800; 57193370109; 57190005989; 57222986638; 23393691700; 56778034700; 56077638000","In vitro interaction profiles and midgut glycoconjugates of Trichophoromyia spp./Leishmania (Viannia) lainsoni","2025","Parasites and Vectors ","18","1","216","","","","1","10.1186/s13071-025-06860-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007806787&doi=10.1186%2fs13071-025-06860-6&partnerID=40&md5=b61da92fa2fc5e17d35eb677e407ddaa","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007806787"
"Farias L.H.S.; Rodrigues A.P.D.; Silveira F.T.; Seabra S.H.; Damatta R.A.; Saraiva E.M.; Silva E.O.","Farias, Luis Henrique S. (55989346500); Rodrigues, Ana Paula D. (36180252700); Silveira, Fernando T. (23393691700); Seabra, Sérgio H. (6602332045); Damatta, Renato A. (6603741772); Saraiva, Elvira M. (7003770470); Silva, Edilene O. (56778034700)","55989346500; 36180252700; 23393691700; 6602332045; 6603741772; 7003770470; 56778034700","Phosphatidylserine exposure and surface sugars in two leishmania (Viannia) braziliensis strains involved in cutaneous and mucocutaneous leishmaniasis","2013","Journal of Infectious Diseases","207","3","","537","543","6","16","10.1093/infdis/jis689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872022253&doi=10.1093%2finfdis%2fjis689&partnerID=40&md5=04c7b7e5eccf7c80fdf1d83c0c6ee833","Article","Final","","Scopus","2-s2.0-84872022253"
