"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rocha F.A.F.; Saito C.A.; Silveira L.C.L.; De Souza J.M.; Ventura D.F.","Rocha, F.A.F. (16231200100); Saito, C.A. (7005050536); Silveira, L.C.L. (35577484500); De Souza, J.M. (35601683000); Ventura, D.F. (7005483553)","16231200100; 7005050536; 35577484500; 35601683000; 7005483553","Twelve chromatically opponent ganglion cell types in turtle retina","2008","Visual Neuroscience","25","3","","307","315","8","32","10.1017/S0952523808080516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749155893&doi=10.1017%2fS0952523808080516&partnerID=40&md5=5906cac046d7ef0f031eddfca5649f01","Conference paper","Final","","Scopus","2-s2.0-46749155893"
"Puty B.; Maximino C.; Brasil A.; Da Silva W.L.L.; Gouveia A.; Oliveira K.R.M.; Batista E.D.J.O.; Crespo-Lopez M.E.; Rocha F.A.F.; Herculano A.M.","Puty, Bruna (55745485700); Maximino, Caio (24776595300); Brasil, Alódia (55971897700); Da Silva, Waldo Lucas Luz (56304279400); Gouveia, Amauri (8238330700); Oliveira, Karen Renata Matos (26321749600); Batista, Evander De Jesus Oliveira (54899242700); Crespo-Lopez, Maria Elena (8230111500); Rocha, Fernando Allan F. (16231200100); Herculano, Anderson Manoel (8230111200)","55745485700; 24776595300; 55971897700; 56304279400; 8238330700; 26321749600; 54899242700; 8230111500; 16231200100; 8230111200","Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system","2014","Zebrafish","11","4","","365","370","5","35","10.1089/zeb.2013.0947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905238895&doi=10.1089%2fzeb.2013.0947&partnerID=40&md5=89d13597d42b4d904c84dd24b2500207","Article","Final","","Scopus","2-s2.0-84905238895"
"de Oliveira E.D.F.; Brasil A.; Herculano A.M.; Rosa M.A.; Gomes B.D.; Rocha F.A.D.F.","de Oliveira, Edwiges de Fátima (57218899265); Brasil, Alódia (55971897700); Herculano, Anderson Manoel (8230111200); Rosa, Matheus A. (58283432300); Gomes, Bruno Duarte (15022279700); Rocha, Fernando Allan de Farias (16231200100)","57218899265; 55971897700; 8230111200; 58283432300; 15022279700; 16231200100","Neuroprotective effects of açaí (Euterpe oleracea Mart.) against diabetic retinopathy","2023","Frontiers in Pharmacology","14","","1143923","","","","10","10.3389/fphar.2023.1143923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159906763&doi=10.3389%2ffphar.2023.1143923&partnerID=40&md5=297fede95dacc78f9fe1c96ddc09839c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159906763"
"Aristizabal J.P.; Pereira A., Jr.; Gomes B.D.; Goulart P.R.K.; de Souza W.C.; Rocha F.A.","Aristizabal, Juan P. (57219903327); Pereira, Antonio (56962776600); Gomes, Bruno Duarte (15022279700); Goulart, Paulo Roney Kilpp (25722750500); de Souza, Wânia Cristina (8653502600); Rocha, Fernando A. (16231200100)","57219903327; 56962776600; 15022279700; 25722750500; 8653502600; 16231200100","Neurofeedback Beta Down Training in Women With High State-Trait Anxiety and Elevated Beta Patterns in Temporal Lobes: A Pilot Study","2024","NeuroRegulation","11","3","","284","295","11","2","10.15540/nr.11.3.284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205776095&doi=10.15540%2fnr.11.3.284&partnerID=40&md5=3b62f3d4ec4110a1d786a9bab06f331d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205776095"
"Leão L.K.R.; Herculano A.M.; Maximino C.; Brasil Costa A.; Gouveia A., Jr.; Batista E.O.; Rocha F.F.; Crespo-Lopez M.E.; Borges R.; Oliveira K.","Leão, Luana K. R. (49863477800); Herculano, Anderson M. (8230111200); Maximino, Caio (24776595300); Brasil Costa, Alódia (57194351732); Gouveia, Amauri (8238330700); Batista, Evander O. (54899242700); Rocha, Fernando F. (16231200100); Crespo-Lopez, Maria Elena (8230111500); Borges, Rosivaldo (7005086504); Oliveira, Karen (26321749600)","49863477800; 8230111200; 24776595300; 57194351732; 8238330700; 54899242700; 16231200100; 8230111500; 7005086504; 26321749600"," Mauritia flexuosa L. protects against deficits in memory acquisition and oxidative stress in rat hippocampus induced by methylmercury exposure","2017","Nutritional Neuroscience","20","5","","297","304","7","24","10.1080/1028415X.2015.1133030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978499148&doi=10.1080%2f1028415X.2015.1133030&partnerID=40&md5=c38090034bafce45667d6833453f3bf7","Article","Final","","Scopus","2-s2.0-84978499148"
"Rocha F.A.D.F.","Rocha, Fernando Allan de Farias (16231200100)","16231200100","Editorial: Natural products as sources of innovative approaches in the prevention and treatment of neuronal injuries induced by neurodegenerative diseases and environmental exposures to neurotoxic agents","2023","Frontiers in Cellular Neuroscience","17","","1206576","","","","1","10.3389/fncel.2023.1206576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162239913&doi=10.3389%2ffncel.2023.1206576&partnerID=40&md5=479b62c54539291f4fc17638b14e35a5","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85162239913"
"De Lima S.M.A.; Ahnelt P.K.; Carvalho T.O.; Silveira J.S.; Rocha F.A.F.; Saito C.A.; Silveira L.C.L.","De Lima, S.M.A. (8253293100); Ahnelt, P.K. (6701723440); Carvalho, T.O. (12242743900); Silveira, J.S. (12243496800); Rocha, F.A.F. (16231200100); Saito, C.A. (7005050536); Silveira, L.C.L. (35577484500)","8253293100; 6701723440; 12242743900; 12243496800; 16231200100; 7005050536; 35577484500","Horizontal cells in the retina of a diurnal rodent, the agouti (Dasyprocta aguti)","2005","Visual Neuroscience","22","6","","707","720","13","11","10.1017/S0952523805226032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544455680&doi=10.1017%2fS0952523805226032&partnerID=40&md5=2df81cd98b81955bdf7d3364413ae032","Article","Final","","Scopus","2-s2.0-32544455680"
"Costa L.D.F.; Bonci D.M.O.; Saito C.A.; Rocha F.A.D.F.; Silveira L.C.D.L.; Ventura D.F.","Costa, Luciano Da Fontoura (35582873300); Bonci, Daniela Maria Oliveira (12769692400); Saito, Cézar Akiyoshi (7005050536); Rocha, Fernando Allan De Farias (16231200100); Silveira, Luiz Carlos De Lima (35577484500); Ventura, Dora Fix (7005483553)","35582873300; 12769692400; 7005050536; 16231200100; 35577484500; 7005483553","Voronoi analysis uncovers relationship between mosaics of normally placed and displaced amacrine cells in the thraira retina","2007","Neuroinformatics","5","1","","59","77","18","8","10.1385/NI:5:1:59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247107955&doi=10.1385%2fNI%3a5%3a1%3a59&partnerID=40&md5=30003b12383e94b3b44eed6444b643b8","Article","Final","","Scopus","2-s2.0-34247107955"
"Passos A.C.F.; Herculano A.M.; Oliveira K.R.H.M.; de Lima S.M.A.; Rocha F.A.F.; Freitas H.R.; da Silva Sampaio L.; Figueiredo D.P.; da Costa Calaza K.; de Melo Reis R.A.; do Nascimento J.L.M.","Passos, Adelaide da Conceição Fonseca (57196356505); Herculano, Anderson Manoel (8230111200); Oliveira, Karen R. H. M. (26321749600); de Lima, Silene Maria A. (8253293100); Rocha, Fernando A. F. (16231200100); Freitas, Hércules Rezende (56865705900); da Silva Sampaio, Luzia (36090788500); Figueiredo, Danniel Pereira (57209540603); da Costa Calaza, Karin (6507058096); de Melo Reis, Ricardo Augusto (35566644600); do Nascimento, José Luiz Martins (7004473713)","57196356505; 8230111200; 26321749600; 8253293100; 16231200100; 56865705900; 36090788500; 57209540603; 6507058096; 35566644600; 7004473713","Regulation of the Serotonergic System by Kainate in the Avian Retina","2019","Cellular and Molecular Neurobiology","39","7","","1039","1049","10","3","10.1007/s10571-019-00701-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068087006&doi=10.1007%2fs10571-019-00701-8&partnerID=40&md5=8cb9ecebb676bfd0038e2968fcc03c6c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85068087006"
"Brasil A.; Rocha F.A.D.F.; Gomes B.D.; Oliveira K.R.M.; de Carvalho T.S.; Batista E.D.J.O.; Borges R.D.S.; Kremers J.; Herculano A.M.","Brasil, Alódia (55971897700); Rocha, Fernando Allan de Farias (16231200100); Gomes, Bruno Duarte (15022279700); Oliveira, Karen Renata M. (26321749600); de Carvalho, Tayana Silva (56884170500); Batista, Evander de Jesus O. (54899242700); Borges, Rosivaldo dos Santos (7005086504); Kremers, Jan (57203054867); Herculano, Anderson Manoel (8230111200)","55971897700; 16231200100; 15022279700; 26321749600; 56884170500; 54899242700; 7005086504; 57203054867; 8230111200","Diet enriched with the Amazon fruit açaí (Euterpe oleracea) prevents electrophysiological deficits and oxidative stress induced by methyl-mercury in the rat retina","2017","Nutritional Neuroscience","20","5","","265","272","7","17","10.1080/1028415X.2015.1119378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978532266&doi=10.1080%2f1028415X.2015.1119378&partnerID=40&md5=d8f2b2a2890889f4edabc0059b782db8","Article","Final","","Scopus","2-s2.0-84978532266"
