"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Carvalho T.S.; Brasil A.; Leão L.K.R.; Braga D.V.; Santos-Silva M.; Assad N.; Luz W.L.; Batista E.J.O.; Bastos G.N.T.; Oliveira K.R.M.H.; Diniz D.L.W.P.; Herculano A.M.","de Carvalho, Tayana Silva (56884170500); Brasil, Alódia (55971897700); Leão, Luana K. R. (49863477800); Braga, Danielle Valente (57205126342); Santos-Silva, Mateus (57211668818); Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Batista, Evander de Jesus O. (54899242700); Bastos, Gilmara de Nazareth Tavares (24464061900); Oliveira, Karen Renata Matos Herculano (26321749600); Diniz, Domingos Luiz Wanderley Picanço (57214034341); Herculano, Anderson Manoel (8230111200)","56884170500; 55971897700; 49863477800; 57205126342; 57211668818; 57211667252; 57205571240; 54899242700; 24464061900; 26321749600; 57214034341; 8230111200","Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention","2022","Food and Nutrition Research","66","","8851","","","","4","10.29219/fnr.v66.8851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141185737&doi=10.29219%2ffnr.v66.8851&partnerID=40&md5=a320dbcd305c38a8f30bffa142108e58","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141185737"
"Santos Queiroz A.P.; Costa Freitas M.C.; Silva J.R.A.; Lima A.B.; Sawada L.; Martins Monteiro R.F.; Albuquerque de Freitas A.C.G.; Loureiro Maués L.A.; Arruda A.C.; Silva M.N.; Ferraz Maia C.S.; Fontes-Júnior E.A.; do Nascimento J.L.M.; Arruda M.S.P.; Bastos G.N.T.","Santos Queiroz, Amanda Pâmela (57219241539); Costa Freitas, Manolo Cleiton (57219238349); Silva, José Rogério A. (54788331400); Lima, Anderson Bentes (57220119204); Sawada, Leila (36998723800); Martins Monteiro, Rayan Fidel (57219085527); Albuquerque de Freitas, Ana Carolina Gomes (57219239602); Loureiro Maués, Luís Antônio (57203490899); Arruda, Alberto Cardoso (7004422926); Silva, Milton Nascimento (57217336347); Ferraz Maia, Cristiane Socorro (54978285700); Fontes-Júnior, Enéas Andrade (56512370400); do Nascimento, José Luiz M. (7004473713); Arruda, Mara Silvia P. (35894629600); Bastos, Gilmara N.T. (24464061900)","57219241539; 57219238349; 54788331400; 57220119204; 36998723800; 57219085527; 57219239602; 57203490899; 7004422926; 57217336347; 54978285700; 56512370400; 7004473713; 35894629600; 24464061900","Pellucidin A promotes antinociceptive activity by peripheral mechanisms inhibiting COX-2 and NOS: In vivo and in silico study","2020","PLoS ONE","15","9 September","e0238834","","","","6","10.1371/journal.pone.0238834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091193151&doi=10.1371%2fjournal.pone.0238834&partnerID=40&md5=2a9498b3d31c3784966e52f9640479d5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85091193151"
"Ronilson Freitas De Souza D.; Marinho V.H.S.; Da Silva G.A.; Costa Jr. L.M.; Da Silva J.K.R.; Bastos G.N.T.; Arruda A.C.; Da Silva M.N.; Arruda M.S.P.","Ronilson Freitas De Souza, D. (55946624900); Marinho, Victor H.S. (57215001959); Da Silva, Geilson A. (36238041000); Costa Jr., Livio M. (14064647700); Da Silva, Joyce Kelly R. (23026681100); Bastos, Gilmara N.T. (24464061900); Arruda, Alberto C. (7004422926); Da Silva, Milton N. (8919049600); Arruda, Mara Silvia P. (35894629600)","55946624900; 57215001959; 36238041000; 14064647700; 23026681100; 24464061900; 7004422926; 8919049600; 35894629600","New isoflavones from the leaves of vatairea guianensis Aublé'","2013","Journal of the Brazilian Chemical Society","24","11","","1857","1863","6","11","10.5935/0103-5053.20130231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888868706&doi=10.5935%2f0103-5053.20130231&partnerID=40&md5=b431efd28e1b0d6443b90d17c331a277","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84888868706"
"Sawada L.A.; Monteiro V.S.D.C.; Rabelo G.R.; Dias G.B.; Da Cunha M.; Do Nascimento J.L.M.; Bastos G.D.N.T.","Sawada, Luis Armando (57213325406); Monteiro, Vanessa Sâmia Da Conçeição (56176571000); Rabelo, Guilherme Rodrigues (35311912600); Dias, Germana Bueno (41661338100); Da Cunha, Maura (7005446165); Do Nascimento, José Luiz Martins (7004473713); Bastos, Gilmara De Nazareth Tavares (24464061900)","57213325406; 56176571000; 35311912600; 41661338100; 7005446165; 7004473713; 24464061900","Libidibia ferrea mature seeds promote antinociceptive effect by peripheral and central pathway: Possible involvement of opioid and cholinergic receptors","2014","BioMed Research International","2014","","508725","","","","18","10.1155/2014/508725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901281957&doi=10.1155%2f2014%2f508725&partnerID=40&md5=6d44fa1db89e98bd87ffe96b1b19544b","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84901281957"
"Dias Junior E.M.; Dias D.D.R.C.; Rodrigues A.P.D.; Dias C.G.B.T.; Bastos G.D.N.T.; Oliveira J.A.R.D.; Maciel Filho R.; Passos M.F.","Dias Junior, Elcio Malcher (57222027413); Dias, Dayane dos Reis Costa (57222032554); Rodrigues, Ana Paula Drummond (36180252700); Dias, Carmen Gilda Barroso Tavares (36453525500); Bastos, Gilmara de Nazareth Tavares (24464061900); Oliveira, Johnatt Allan Rocha de (57174807900); Maciel Filho, Rubens (7003732915); Passos, Marcele Fonseca (37561944900)","57222027413; 57222032554; 36180252700; 36453525500; 24464061900; 57174807900; 7003732915; 37561944900","SIPNs polymeric scaffold for use in cartilaginous tissue engineering: physical-chemical evaluation and biological behavior","2021","Materials Today Communications","26","","102111","","","","4","10.1016/j.mtcomm.2021.102111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100954319&doi=10.1016%2fj.mtcomm.2021.102111&partnerID=40&md5=e5837ab1e5c34d0b5ade98da7d23a923","Article","Final","","Scopus","2-s2.0-85100954319"
"Dias G.P.; Bevilaqua M.C.D.N.; Da Luz A.C.D.S.; Fleming R.L.; De Carvalho L.A.; Cocks G.; Beckman D.; Hosken L.C.; De Sant'Anna Machado W.; Corrêa-e-Castro A.C.; Mousovich-Neto F.; De Castro Gomes V.; Bastos G.D.N.T.; Kubrusly R.C.C.; Da Costa V.M.C.; Srivastava D.; Landeira-Fernandez J.; Nardi A.E.; Thuret S.; Gardino P.F.","Dias, Gisele Pereira (28567697900); Bevilaqua, Mário Cesar do Nascimento (35199647900); Da Luz, Anna Claudia Domingos Silveira (55937737600); Fleming, Renata Lopes (59112050900); De Carvalho, Lítia Alves (57059932500); Cocks, Graham (35810076200); Beckman, Danielle (24597217000); Hosken, Lucas Costa (56080256100); De Sant'Anna Machado, William (56080248800); Corrêa-e-Castro, Ana Carolina (56079872800); Mousovich-Neto, Felippe (56080452600); De Castro Gomes, Vítor (55654481900); Bastos, Gilmara de Nazareth Tavares (24464061900); Kubrusly, Regina Célia Cussa (6507327252); Da Costa, Vânia Maria Corrêa (6507140860); Srivastava, Deepak (57202314401); Landeira-Fernandez, Jesus (6701463902); Nardi, Antonio Egidio (55915793000); Thuret, Sandrine (6602327575); Gardino, Patricia Franca (6603724429)","28567697900; 35199647900; 55937737600; 59112050900; 57059932500; 35810076200; 24597217000; 56080256100; 56080248800; 56079872800; 56080452600; 55654481900; 24464061900; 6507327252; 6507140860; 57202314401; 6701463902; 55915793000; 6602327575; 6603724429","Hippocampal biomarkers of fear memory in an animal model of generalized anxiety disorder","2014","Behavioural Brain Research","263","","","34","45","11","48","10.1016/j.bbr.2014.01.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896719700&doi=10.1016%2fj.bbr.2014.01.012&partnerID=40&md5=5d7c1cd686a0cd06084d3dead57b809a","Article","Final","","Scopus","2-s2.0-84896719700"
"Bastos G.N.T.; Silveira A.J.A.; Salgado C.G.; Picanço-Diniz D.L.W.; do Nascimento J.L.M.","Bastos, G.N.T. (24464061900); Silveira, A.J.A. (10043975600); Salgado, C.G. (8522894300); Picanço-Diniz, D.L.W. (6603596431); do Nascimento, J.L.M. (7004473713)","24464061900; 10043975600; 8522894300; 6603596431; 7004473713","Physalis angulata extract exerts anti-inflammatory effects in rats by inhibiting different pathways","2008","Journal of Ethnopharmacology","118","2","","246","251","5","73","10.1016/j.jep.2008.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45449093555&doi=10.1016%2fj.jep.2008.04.005&partnerID=40&md5=65d4062eb694d012cf1760777dbe1fbc","Article","Final","","Scopus","2-s2.0-45449093555"
"Gabriel L.P.; Santos M.E.M.D.; Jardini A.L.; Bastos G.N.T.; Dias C.G.B.T.; Webster T.J.; Maciel Filho R.","Gabriel, Laís P. (56180502200); Santos, Maria Elizabeth M. dos (57191972499); Jardini, André L. (6508085010); Bastos, Gilmara N.T. (24464061900); Dias, Carmen G.B.T. (36453525500); Webster, Thomas J. (7101765741); Maciel Filho, Rubens (7003732915)","56180502200; 57191972499; 6508085010; 24464061900; 36453525500; 7101765741; 7003732915","Bio-based polyurethane for tissue engineering applications: How hydroxyapatite nanoparticles influence the structure, thermal and biological behavior of polyurethane composites","2017","Nanomedicine: Nanotechnology, Biology, and Medicine","13","1","","201","208","7","44","10.1016/j.nano.2016.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995610462&doi=10.1016%2fj.nano.2016.09.008&partnerID=40&md5=dfc616ef7a24e0ba677387a620628426","Article","Final","","Scopus","2-s2.0-84995610462"
"da Silva R.R.P.; da Silva B.J.M.; Rodrigues A.P.D.; Farias L.H.S.; da Silva M.N.; Alves D.T.V.; Bastos G.N.T.; do Nascimento J.L.M.; Silva E.O.","da Silva, Raquel Raick P. (56734065800); da Silva, Bruno J. M. (7004356193); Rodrigues, Ana Paula D. (36180252700); Farias, Luis Henrique S. (55989346500); da Silva, Milton N. (8919049600); Alves, Danila Teresa V. (56734178400); Bastos, Gilmara N. T. (24464061900); do Nascimento, José Luiz M. (7004473713); Silva, Edilene O. (56778034700)","56734065800; 7004356193; 36180252700; 55989346500; 8919049600; 56734178400; 24464061900; 7004473713; 56778034700","In vitro biological action of aqueous extract from roots of Physalis angulata against Leishmania (Leishmania) amazonensis","2015","BMC Complementary and Alternative Medicine","15","1","249","","","","32","10.1186/s12906-015-0717-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937793641&doi=10.1186%2fs12906-015-0717-1&partnerID=40&md5=74346ceaeef03990a090ce33c9766785","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84937793641"
"Silva D.F.; Lima K.T.; Bastos G.N.T.; Oliveira J.A.R.; Do Nascimento L.A.S.; Costa C.E.F.; Filho G.N.R.; Concha V.O.C.; Passos M.F.","Silva, Debora F. (57223977577); Lima, Klinsmann T. (57223985544); Bastos, Gilmara N. T. (24464061900); Oliveira, Johnatt Allan R. (57174807900); Do Nascimento, Luís Adriano S. (57193903787); Costa, Carlos Emmerson F. (25721862100); Filho, Geraldo N. R. (57214990696); Concha, Viktor O. C. (22033698600); Passos, Marcele F. (37561944900)","57223977577; 57223985544; 24464061900; 57174807900; 57193903787; 25721862100; 57214990696; 22033698600; 37561944900","PCL/andiroba oil (Carapa guianensis aubl.) hybrid film for wound healing applications","2021","Polymers","13","10","1591","","","","30","10.3390/polym13101591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106577083&doi=10.3390%2fpolym13101591&partnerID=40&md5=967f9b0d56503df8e45619dd66e5b6a2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106577083"
