,"Author: Souza, Givago Silva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 18 (Of the 111 documents considered for the h-index, 18 have been cited at least 18 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,1,0,9,8,14,6,5,30,10,23,25,22,44,55,49,103,79,104,160,181,97,1025,0,1025
2025,"Correlation between parameters estimated by the colour assessment and diagnosis and the Cambridge colour test in color discrimination evaluation",00426989,"Vision Research","235","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2025,"Validity and Reliability of a Mobile Device Application for Assessing Motor Performance in the 30-Second Sit-to-Stand Test",21693536,"IEEE Access","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"E-waste for health: recycling smartphones for health monitoring",2673253X,"Frontiers in Digital Health","7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2025,"Comparison of joint position sense measured by inertial sensors embedded in portable digital devices with different masses",16624548,"Frontiers in Neuroscience","19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2024,"Dataset of Smartphone-Based Finger Tapping Test",20524463,"Scientific Data","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2024,"Accelerometer approach for anticipatory postural adjustments assessment during step initiation in patients with leprosy",20452322,"Scientific Reports","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Smartphone-based inertial measurements during Chester step test as a predictor of length of hospital stay in abdominopelvic cancer postoperative period: a prospective cohort study",14777819,"World Journal of Surgical Oncology","22","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2024,"Plantar pressure distribution and altered postural control in multibacillary leprosy patients",14712334,"BMC Infectious Diseases","24","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,0,5
2024,"Use of an inertial sensor and a force platform to assess static balance in participants affected by multibacillary leprosy",19352727,"PLoS Neglected Tropical Diseases","2024-October","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2024,"An Integrative Review for Clinical Evaluation of Color Vision: The Right Test for the Right Disease",24522325,"Journal of Current Ophthalmology","36","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Influence of Gestational Age on Pelvic Floor Muscle Activity, Plantar Contact, and Functional Mobility in High-Risk Pregnant Women: A Cross-Sectional Study",14248220,"Sensors","24","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2024,"Intra and Inter-Device Reliabilities of the Instrumented Timed-Up and Go Test Using Smartphones in Young Adult Population",14248220,"Sensors","24","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,3
2024,"Virtual Reality in Improving Anticipatory Postural Adjustments to Step Initiation in Individuals with Knee Osteoarthritis: A Randomized Controlled Trial",2161783X,"Games for Health Journal","13","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,10,0,10
2024,"Genetic, morphological and electrophysiological findings in a patient with a rare pathogenic variant in the RS1 gene",00124486,"Documenta Ophthalmologica","148","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Smartphone-based evaluation of static balance and mobility in type 2 Diabetes",00013765,"Anais da Academia Brasileira de Ciencias","96","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Case Report: Second-order Contrast Sensitivity in Tourette Syndrome",13002163,"Turk Psikiyatri Dergisi","35","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Enhancing public health in developing nations through smartphone-based motor assessment",2673253X,"Frontiers in Digital Health","6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
