"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Barbalho M.; Kleiner A.F.R.; Callegari B.; de Lima R.C.; da Silva Souza G.; de Athayde Costa e Silva A.; Coswig V.S.","Barbalho, Matheus (57195805349); Kleiner, Ana Francisca Rozin (57205480326); Callegari, Bianca (55611756100); de Lima, Ramon Costa (57194700812); da Silva Souza, Givago (57560194800); de Athayde Costa e Silva, Anselmo (55413884300); Coswig, Victor Silveira (55880414100)","57195805349; 57205480326; 55611756100; 57194700812; 57560194800; 55413884300; 55880414100","Assessing interlimb jump asymmetry in young soccer players: The my jump 2 app","2021","International Journal of Sports Physiology and Performance","16","1","","19","27","8","20","10.1123/IJSPP.2019-0981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099380455&doi=10.1123%2fIJSPP.2019-0981&partnerID=40&md5=b9db90e57b335c610b664b711dc06961","Article","Final","","Scopus","2-s2.0-85099380455"
"Azevedo L.S.; Alvarez M.A.M.; Botelho G.I.S.; Rosa A.A.M.; Souza G.S.","Azevedo, Lorrana Souza (58791015000); Alvarez, Márcio Augusto Moraes (58791711900); Botelho, Gabriel Izan Santos (57218117170); Rosa, Alexandre Antônio Marques (58699040600); Souza, Givago Silva (57560194800)","58791015000; 58791711900; 57218117170; 58699040600; 57560194800","Genetic, morphological and electrophysiological findings in a patient with a rare pathogenic variant in the RS1 gene","2024","Documenta Ophthalmologica","148","1","","65","71","6","1","10.1007/s10633-023-09959-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181230238&doi=10.1007%2fs10633-023-09959-2&partnerID=40&md5=e2be4483d00069ba9ee93a5dcb95b81b","Article","Final","","Scopus","2-s2.0-85181230238"
"Igarashi Y.; Meireles L.K.G.; Costa Brito F.A.; da Costa L.R.N.; dos Santos Freitas J.; Miquilini L.; Portnoi Baran L.C.; Henriques L.D.; Hauzman E.; Oliveira Bonci D.M.; Costa M.F.; Ventura D.F.; Goulart P.R.K.; Souza G.S.","Igarashi, Yuzo (57559750800); Meireles, Luiza Karina Gonçalves (57560632900); Costa Brito, Felipe André (57559975100); da Costa, Leonardo Ramos Nicolau (57561076600); dos Santos Freitas, Joyce (57200597552); Miquilini, Leticia (56527201100); Portnoi Baran, Luiz Claudio (57210789240); Henriques, Leonardo Dutra (55358726300); Hauzman, Einat (56394350900); Oliveira Bonci, Daniela Maria (57560633000); Costa, Marcelo Fernandes (7402846596); Ventura, Dora Fix (7005483553); Goulart, Paulo Roney Kilpp (25722750500); Souza, Givago Silva (57560194800)","57559750800; 57560632900; 57559975100; 57561076600; 57200597552; 56527201100; 57210789240; 55358726300; 56394350900; 57560633000; 7402846596; 7005483553; 25722750500; 57560194800","Chromatic discrimination in fixed saturation levels from trichromats and subjects with congenital color vision deficiency","2022","Scientific Reports","12","1","5603","","","","3","10.1038/s41598-022-09531-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127499078&doi=10.1038%2fs41598-022-09531-z&partnerID=40&md5=7b14e6a5cbf3489bf4e3ed2468378841","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127499078"
"Freitas J.S.; Lacerda E.M.C.; Rodrigues Júnior D.; Corvelo T.C.O.; Silveira L.C.L.; Pinheiro M.D.C.N.; Souza G.S.","Freitas, Joyce S. (57208622396); Lacerda, Eliza Maria C.B. (54889762000); Rodrigues Júnior, Dario (57201153121); Corvelo, Tereza Cristina O. (6506718306); Silveira, Luiz Carlos L. (35577484500); Pinheiro, MARIA DA CONCEIÇÃO N. (7101819165); Souza, Givago da Silva (57560194800)","57208622396; 54889762000; 57201153121; 6506718306; 35577484500; 7101819165; 57560194800","Mercury exposure of children living in amazonian villages: Influence of geographicalocation where they lived during prenatal and postnatal development","2019","Anais da Academia Brasileira de Ciencias","91","","e20180097","","","","9","10.1590/0001-3765201920180097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065322088&doi=10.1590%2f0001-3765201920180097&partnerID=40&md5=06cef019324b1eb6349abbb3520d84fc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065322088"
"da Costa Moraes A.A.; Duarte M.B.; Ferreira E.V.; da Silva Almeida G.C.; da Rocha Santos E.G.; Pinto G.H.L.; de Oliveira P.R.; Amorim C.F.; Cabral A.S.; E Silva A.A.C.; Souza G.S.; Callegari B.","da Costa Moraes, Anderson Antunes (57575106300); Duarte, Manuela Brito (57201211090); Ferreira, Eduardo Veloso (57576173900); da Silva Almeida, Gizele Cristina (57201215561); da Rocha Santos, Enzo Gabriel (57575746900); Pinto, Gustavo Henrique Lima (54941690500); de Oliveira, Paulo Rui (57202764485); Amorim, César Ferreira (23024072100); Cabral, André Dos Santos (57536556800); E Silva, Anselmo de Athayde Costa (57576599400); Souza, Givago Silva (57560194800); Callegari, Bianca (55611756100)","57575106300; 57201211090; 57576173900; 57201215561; 57575746900; 54941690500; 57202764485; 23024072100; 57536556800; 57576599400; 57560194800; 55611756100","Validity and Reliability of Smartphone App for Evaluating Postural Adjustments during Step Initiation","2022","Sensors","22","8","2935","","","","9","10.3390/s22082935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128178047&doi=10.3390%2fs22082935&partnerID=40&md5=947a28b46bf23ad1aa91cc7fefcfb62f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128178047"
"Souza G.S.; Furtado B.K.A.; Almeida E.B.; Callegari B.; da Conceição Nascimento Pinheiro M.","Souza, Givago Silva (57560194800); Furtado, Brena Karoline Ataíde (58998734600); Almeida, Edilson Brabo (58998674100); Callegari, Bianca (55611756100); da Conceição Nascimento Pinheiro, Maria (7101819165)","57560194800; 58998734600; 58998674100; 55611756100; 7101819165","Digital health, smartphone-based motor assessment, and public health","2024","Advances in Neuroscience, Neuropsychiatry, and Neurology","","","","36","50","14","0","10.4018/979-8-3693-0851-6.ch003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191116560&doi=10.4018%2f979-8-3693-0851-6.ch003&partnerID=40&md5=65392236cbf54dcd92f88865759eee67","Book chapter","Final","","Scopus","2-s2.0-85191116560"
"Rodrigues L.A.; Santos E.G.R.; Santos P.S.A.; Igarashi Y.; Oliveira L.K.R.; Pinto G.H.L.; Lobato B.L.S.; Cabral A.S.; Belgamo A.; Silva A.A.C.E.; Callegari B.; Souza G.S.","Rodrigues, Luciana Abrantes (57810071600); Santos, Enzo Gabriel Rocha (57810928400); Santos, Patrícia Seixas Alves (35501910000); Igarashi, Yuzo (57559750800); Oliveira, Luana Karine Resende (57811135800); Pinto, Gustavo Henrique Lima (54941690500); Lobato, Bruno Lopes Santos (57079113400); Cabral, André Santos (57536556800); Belgamo, Anderson (55395449200); Silva, Anselmo Athayde Costa E. (55413884300); Callegari, Bianca (55611756100); Souza, Givago Silva (57560194800)","57810071600; 57810928400; 35501910000; 57559750800; 57811135800; 54941690500; 57079113400; 57536556800; 55395449200; 55413884300; 55611756100; 57560194800","Wearable Devices and Smartphone Inertial Sensors for Static Balance Assessment: A Concurrent Validity Study in Young Adult Population","2022","Journal of Personalized Medicine","12","7","1019","","","","8","10.3390/jpm12071019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134533237&doi=10.3390%2fjpm12071019&partnerID=40&md5=fa2ab4648dc562e4cdb1808a6c58cec1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85134533237"
"da Costa Moraes A.A.; Duarte M.B.; Ferreira E.V.; da Silva Almeida G.C.; dos Santos Cabral A.; de Athayde Costa e Silva A.; Garcez D.R.; Souza G.S.; Callegari B.","da Costa Moraes, Anderson Antunes (57575106300); Duarte, Manuela Brito (57201211090); Ferreira, Eduardo Veloso (57576173900); da Silva Almeida, Gizele Cristina (57201215561); dos Santos Cabral, André (57536556800); de Athayde Costa e Silva, Anselmo (55413884300); Garcez, Daniela Rosa (57222169102); Souza, Givago Silva (57560194800); Callegari, Bianca (55611756100)","57575106300; 57201211090; 57576173900; 57201215561; 57536556800; 55413884300; 57222169102; 57560194800; 55611756100","Comparison of inertial records during anticipatory postural adjustments obtained with devices of different masses","2023","PeerJ","11","","e15627","","","","4","10.7717/peerj.15627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168620133&doi=10.7717%2fpeerj.15627&partnerID=40&md5=e0cf1f71e8b2809b5b4ebfb8f2bae003","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168620133"
"Castro K.J.S.; Salomaõ R.C.; Feitosa N.Q.; Henriques L.D.; Kleiner A.F.R.; Belgamo A.; Cabral A.S.; Silva A.A.C.E.; Callegari B.; Souza G.S.","Castro, Ketlin Jaquelline Santana (57223005271); Salomaõ, Railson Cruz (56328428900); Feitosa, Newton Quintino (57222999892); Henriques, Leonardo Dutra (55358726300); Kleiner, Ana Francisca Rozin (57205480326); Belgamo, Anderson (55395449200); Cabral, André Santos (57536556800); Silva, Anselmo Athayde Costa E (55413884300); Callegari, Bianca (55611756100); Souza, Givago Silva (57560194800)","57223005271; 56328428900; 57222999892; 55358726300; 57205480326; 55395449200; 57536556800; 55413884300; 55611756100; 57560194800","Changes in plantar load distribution in legally blind subjects","2021","PLoS ONE","16","4 April","e0249467","","","","8","10.1371/journal.pone.0249467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104442989&doi=10.1371%2fjournal.pone.0249467&partnerID=40&md5=6064ee0b048647e69db1f27b219d72bf","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104442989"
"Costa K.H.A.; Santos P.S.A.; da Silva Almeida G.C.; Caires A.S.; Vasconcelos B.H.B.; Lima R.C.; Domingues M.M.; da Conceição Nascimento Pinheiro M.; Sousa R.C.M.; de Athayde Costa e Silva A.; Souza G.S.; Callegari B.","Costa, Kelly Helorany Alves (57190007345); Santos, Patrícia Seixas Alves (35501910000); da Silva Almeida, Gizele Cristina (57201215561); Caires, Andrew Sousa (57189914668); Vasconcelos, Beatriz Helena Baldez (57188669397); Lima, Ramon Costa (57962496000); Domingues, Mariangela Moreno (57962836500); da Conceição Nascimento Pinheiro, Maria (7101819165); Sousa, Rita Catarina Medeiros (15052597800); de Athayde Costa e Silva, Anselmo (55413884300); Souza, Givago Silva (57560194800); Callegari, Bianca (55611756100)","57190007345; 35501910000; 57201215561; 57189914668; 57188669397; 57962496000; 57962836500; 7101819165; 15052597800; 55413884300; 57560194800; 55611756100","Comparison of Static Balance Control in Infected Htlv-1 Subjects with Different Tsp/Ham Diagnosis","2022","Viruses","14","11","2334","","","","2","10.3390/v14112334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141745639&doi=10.3390%2fv14112334&partnerID=40&md5=3089d47ae0f84489af5bf5ecab13c7a8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141745639"
