,"Author: Cassoli, J. S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 17 (Of the 33 documents considered for the h-index, 17 have been cited at least 17 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,0,0,0,1,6,7,10,16,41,67,69,90,81,87,89,55,53,60,26,758,0,758
2026,"Biochemical and physiological characterization of Sp-H, a hyaluronidase isolated from the venom of the scorpionfish Scorpaena plumieri",00410101,"Toxicon","269","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Multiomics analysis reveals microbial diversity and activity through spontaneous fermentation of Theobroma cacao",24058440,"Heliyon","10","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2022,"Global Proteomic Profile of Aluminum-Induced Hippocampal Impairments in Rats: Are Low Doses of Aluminum Really Safe?",14220067,"International Journal of Molecular Sciences","23","20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,3,19,0,19
2022,"Zika Virus Strains and Dengue Virus Induce Distinct Proteomic Changes in Neural Stem Cells and Neurospheres",08937648,"Molecular Neurobiology","59","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,7,0,7
