"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Orts D.J.B.; Peigneur S.; Madio B.; Cassoli J.S.; Montandon G.G.; Pimenta A.M.C.; Bicudo J.E.P.W.; Freitas J.C.; Zaharenko A.J.; Tytgat J.","Orts, Diego J.B. (35196682200); Peigneur, Steve (24559357200); Madio, Bruno (55640142600); Cassoli, Juliana S. (36999302600); Montandon, Gabriela G. (36117132100); Pimenta, Adriano M.C. (55132869300); Bicudo, José E.P.W. (7004160418); Freitas, José C. (24301162300); Zaharenko, André J. (6508271098); Tytgat, Jan (7005089896)","35196682200; 24559357200; 55640142600; 36999302600; 36117132100; 55132869300; 7004160418; 24301162300; 6508271098; 7005089896","Biochemical and electrophysiological characterization of two sea anemone type 1 potassium toxins from a geographically distant population of bunodosoma caissarum","2013","Marine Drugs","11","3","","655","679","24","35","10.3390/md11030655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875790252&doi=10.3390%2fmd11030655&partnerID=40&md5=c577b429ac603773f4b16c4265ae081d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84875790252"
"Vasconcelos A.A.; Gatti L.C.P.; Santos A.S.; Costi H.T.; Cassoli J.S.; Noronha R.C.R.; Rocha Filho G.N.D.; Oliveira A.D.N.D.; Nascimento L.A.S.D.","Vasconcelos, Arthur Abinader (57194348371); Gatti, Larissa Carla Pinheiro (59478392400); Santos, Alberdan Silva (7402214016); Costi, Hilton Túlio (7801443299); Cassoli, Juliana Silva (36999302600); Noronha, Renata Coelho Rodrigues (8528389300); Rocha Filho, Geraldo Narciso da (57214990696); Oliveira, Alex de Nazaré de (57203014642); Nascimento, Luís Adriano Santos do (57193903787)","57194348371; 59478392400; 7402214016; 7801443299; 36999302600; 8528389300; 57214990696; 57203014642; 57193903787","Synthesis of peroxidase@zeolite NaY complex from kaolin waste and Bactris gasipaes Kunth and use for 2-methoxyphenol oxidation","2025","Materials Letters","382","","137896","","","","0","10.1016/j.matlet.2024.137896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212390157&doi=10.1016%2fj.matlet.2024.137896&partnerID=40&md5=24b9e64107494b06a8422709898658cd","Article","Final","","Scopus","2-s2.0-85212390157"
"Santana A.G.; Zuccoli G.S.; Saia-Cereda V.M.; Cassoli J.S.; Martins-de-Souza D.","Santana, Aline G. (57188736837); Zuccoli, Giuliana S. (57191903903); Saia-Cereda, Verônica M. (56764612600); Cassoli, Juliana S. (36999302600); Martins-de-Souza, Daniel (25621529400)","57188736837; 57191903903; 56764612600; 36999302600; 25621529400","Nuclear proteomics for exploring MK-801-treated oligodendrocytes to better understand schizophrenia","2017","Neuromethods","127","","","281","288","7","0","10.1007/978-1-4939-7119-0_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021666072&doi=10.1007%2f978-1-4939-7119-0_17&partnerID=40&md5=4dedd1688bf72b3910fccfc0a2f497c0","Book chapter","Final","","Scopus","2-s2.0-85021666072"
"Cremonez C.M.; Maiti M.; Peigneur S.; Cassoli J.S.; Dutra A.A.A.; Waelkens E.; Lescrinier E.; Herdewijn P.; de Lima M.E.; Pimenta A.M.C.; Arantes E.C.; Tytgat J.","Cremonez, Caroline M. (56058102000); Maiti, Mohitosh (13907484600); Peigneur, Steve (24559357200); Cassoli, Juliana Silva (36999302600); Dutra, Alexandre A. A. (14025326800); Waelkens, Etienne (7003387254); Lescrinier, Eveline (6603983766); Herdewijn, Piet (56610834700); de Lima, Maria Elena (12784451600); Pimenta, Adriano M. C. (55132869300); Arantes, Eliane C. (7003789311); Tytgat, Jan (7005089896)","56058102000; 13907484600; 24559357200; 36999302600; 14025326800; 7003387254; 6603983766; 56610834700; 12784451600; 55132869300; 7003789311; 7005089896","Structural and functional elucidation of peptide TS11 shows evidence of a novel subfamily of scorpion venom toxins","2016","Toxins","8","10","288","","","","30","10.3390/toxins8100288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991109528&doi=10.3390%2ftoxins8100288&partnerID=40&md5=5cfe24ee15d28e4f572734b239759574","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84991109528"
"Saia-Cereda V.M.; Cassoli J.S.; Schmitt A.; Falkai P.; Nascimento J.M.; Martins-de-Souza D.","Saia-Cereda, Verônica M. (56764612600); Cassoli, Juliana S. (36999302600); Schmitt, Andrea (36954033000); Falkai, Peter (7006453025); Nascimento, Juliana M. (55361659900); Martins-de-Souza, Daniel (25621529400)","56764612600; 36999302600; 36954033000; 7006453025; 55361659900; 25621529400","Proteomics of the corpus callosum unravel pivotal players in the dysfunction of cell signaling, structure, and myelination in schizophrenia brains","2015","European Archives of Psychiatry and Clinical Neuroscience","265","7","","601","612","11","57","10.1007/s00406-015-0621-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941939908&doi=10.1007%2fs00406-015-0621-1&partnerID=40&md5=b6152efe6f4f0fe7cdc3ae4aa6f6c05f","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84941939908"
"Nascimento J.M.; Gouvêa-Junqueira D.; Zuccoli G.S.; Pedrosa C.S.G.; Brandão-Teles C.; Crunfli F.; Antunes A.S.L.M.; Cassoli J.S.; Karmirian K.; Salerno J.A.; de Souza G.F.; Muraro S.P.; Proenca-Módena J.L.; Higa L.M.; Tanuri A.; Garcez P.P.; Rehen S.K.; Martins-de-Souza D.","Nascimento, Juliana Minardi (55361659900); Gouvêa-Junqueira, Danielle (57215300006); Zuccoli, Giuliana S. (57191903903); Pedrosa, Carolina da Silva Gouveia (57214155492); Brandão-Teles, Caroline (57191906531); Crunfli, Fernanda (52663129000); Antunes, André S. L. M. (57210718477); Cassoli, Juliana S. (36999302600); Karmirian, Karina (57204018843); Salerno, José Alexandre (57214147693); de Souza, Gabriela Fabiano (57203949863); Muraro, Stéfanie Primon (56430927200); Proenca-Módena, Jose Luiz (6506776579); Higa, Luiza M. (24491706100); Tanuri, Amilcar (7004764211); Garcez, Patricia P. (16202609700); Rehen, Stevens K. (6602459320); Martins-de-Souza, Daniel (25621529400)","55361659900; 57215300006; 57191903903; 57214155492; 57191906531; 52663129000; 57210718477; 36999302600; 57204018843; 57214147693; 57203949863; 56430927200; 6506776579; 24491706100; 7004764211; 16202609700; 6602459320; 25621529400","Zika Virus Strains and Dengue Virus Induce Distinct Proteomic Changes in Neural Stem Cells and Neurospheres","2022","Molecular Neurobiology","59","9","","5549","5563","14","7","10.1007/s12035-022-02922-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132412764&doi=10.1007%2fs12035-022-02922-3&partnerID=40&md5=c0ab802a68cdb8b5f12a45e420cc613f","Article","Final","","Scopus","2-s2.0-85132412764"
"Schmitt A.; Martins-de-Souza D.; Akbarian S.; Cassoli J.S.; Ehrenreich H.; Fischer A.; Fonteh A.; Gattaz W.F.; Gawlik M.; Gerlach M.; Grünblatt E.; Halene T.; Hasan A.; Hashimoto K.; Kim Y.-K.; Kirchner S.-K.; Kornhuber J.; Kraus T.F.J.; Malchow B.; Nascimento J.M.; Rossner M.; Schwarz M.; Steiner J.; Talib L.; Thibaut F.; Riederer P.; Falkai P.","Schmitt, Andrea (36954033000); Martins-de-Souza, Daniel (25621529400); Akbarian, Schahram (6603810521); Cassoli, Juliana S. (36999302600); Ehrenreich, Hannelore (7005572125); Fischer, Andre (35310035600); Fonteh, Alfred (7003391916); Gattaz, Wagner F. (34569066200); Gawlik, Michael (9246592900); Gerlach, Manfred (7007083707); Grünblatt, Edna (56437784000); Halene, Tobias (6506340430); Hasan, Alkomiet (14019434100); Hashimoto, Kenij (57061393100); Kim, Yong-Ku (36066254700); Kirchner, Sophie-Kathrin (57191667426); Kornhuber, Johannes (7007179429); Kraus, Theo F.J. (55324547300); Malchow, Berend (25723459800); Nascimento, Juliana M. (55361659900); Rossner, Moritz (7003766831); Schwarz, Markus (7402723667); Steiner, Johann (14124211800); Talib, Leda (6506267691); Thibaut, Florence (7006039571); Riederer, Peter (55164752600); Falkai, Peter (7006453025)","36954033000; 25621529400; 6603810521; 36999302600; 7005572125; 35310035600; 7003391916; 34569066200; 9246592900; 7007083707; 56437784000; 6506340430; 14019434100; 57061393100; 36066254700; 57191667426; 7007179429; 55324547300; 25723459800; 55361659900; 7003766831; 7402723667; 14124211800; 6506267691; 7006039571; 55164752600; 7006453025","Consensus paper of the WFSBP Task Force on Biological Markers: Criteria for biomarkers and endophenotypes of schizophrenia, part III: Molecular mechanisms","2017","World Journal of Biological Psychiatry","18","5","","330","356","26","32","10.1080/15622975.2016.1224929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992417466&doi=10.1080%2f15622975.2016.1224929&partnerID=40&md5=5c7e5106c1642664d6022fda3de8975e","Review","Final","","Scopus","2-s2.0-84992417466"
"De Lima J.B.; Da Silva Fonseca L.P.; Xavier L.P.; Macchi B.D.M.; Cassoli J.S.; Da Silva E.O.; Da Silva Valadares R.B.; Do Nascimento J.L.M.; Santos A.V.; De Sena C.B.C.","De Lima, Jaqueline Batista (57224309273); Da Silva Fonseca, Lana Patricia (57217385971); Xavier, Luciana Pereira (57199159347); Macchi, Barbarella De Matos (24067354900); Cassoli, Juliana Silva (36999302600); Da Silva, Edilene Oliveira (56778034700); Da Silva Valadares, Rafael Borges (56066419300); Do Nascimento, José Luiz Martins (7004473713); Santos, Agenor Valadares (36009603300); De Sena, Chubert Bernardo Castro (57190005989)","57224309273; 57217385971; 57199159347; 24067354900; 36999302600; 56778034700; 56066419300; 7004473713; 36009603300; 57190005989","Culture of mycobacterium smegmatis in different carbon sources to induce in vitro cholesterol consumption leads to alterations in the host cells after infection: A macrophage proteomics analysis","2021","Pathogens","10","6","662","","","","2","10.3390/pathogens10060662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107335595&doi=10.3390%2fpathogens10060662&partnerID=40&md5=2b0c0fd16ec57d2aecf6ee7e681aa6e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107335595"
"Azevedo L.F.; Hornos Carneiro M.F.; Dechandt C.R.P.; Cassoli J.S.; Alberici L.C.; Barbosa F., Jr.","Azevedo, Lara Ferreira (56921566500); Hornos Carneiro, Maria Fernanda (57210264858); Dechandt, Carlos Roberto Porto (55752669400); Cassoli, Juliana Silva (36999302600); Alberici, Luciane Carla (6507712439); Barbosa, Fernando (55567258200)","56921566500; 57210264858; 55752669400; 36999302600; 6507712439; 55567258200","Global liver proteomic analysis of Wistar rats chronically exposed to low-levels of bisphenol A and S","2020","Environmental Research","182","","109080","","","","21","10.1016/j.envres.2019.109080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077129195&doi=10.1016%2fj.envres.2019.109080&partnerID=40&md5=1a8f70ddaddec82dee029961e3322985","Article","Final","","Scopus","2-s2.0-85077129195"
"Al-Otaibi N.A.S.; Cassoli J.S.; Martins-De-Souza D.; Slater N.K.H.; Rahmoune H.","Al-Otaibi, Noha A S (55826824600); Cassoli, Juliana S (36999302600); Martins-De-Souza, Daniel (25621529400); Slater, Nigel K H (23028495000); Rahmoune, Hassan (36799041400)","55826824600; 36999302600; 25621529400; 23028495000; 36799041400","Human leukemia cells (HL-60) proteomic and biological signatures underpinning cryo-damage are differentially modulated by novel cryo-additives","2018","GigaScience","8","3","","1","13","12","6","10.1093/gigascience/giy155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062296640&doi=10.1093%2fgigascience%2fgiy155&partnerID=40&md5=b53c676c392e1e0d06eec63b6e4a9866","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85062296640"
