,"Author: Diniz, José Antônio Picanço",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 16 (Of the 56 documents considered for the h-index, 16 have been cited at least 16 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,29,15,19,11,23,18,18,27,32,23,34,35,35,32,37,36,40,44,43,36,37,53,51,52,47,65,26,889,0,918
2024,"Contrasting Disease Progression, Microglia Reactivity, Tolerance, and Resistance to Toxoplasma gondii Infection in Two Mouse Strains",22279059,"Biomedicines","12","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2024,"Description of an intramonocytic haemoparasite, Hepatozoon lainsoni sp. nov. (Apicomplexa: Adeleorina: Hepatozoidae), infecting Ameiva ameiva lizard (Reptilia: Squamata: Teiidae) in northern Brazil",00311820,"Parasitology","151","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2023,"Genes, inflammatory response, tolerance, and resistance to virus infections in migratory birds, bats, and rodents",16643224,"Frontiers in Immunology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,9,0,9
2022,"Three-dimensional architecture of Cyrilia lignieresi gametocyte-stage development inside red blood cells",10665234,"Journal of Eukaryotic Microbiology","69","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2022,"Behavioral and Neuropathological Changes After Toxoplasma gondii Ocular Conjunctival Infection in BALB/c Mice",22352988,"Frontiers in Cellular and Infection Microbiology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,6,0,6
