,"Author: Do-Nascimento, José Luíz Martins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 35 (Of the 112 documents considered for the h-index, 35 have been cited at least 35 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,75,14,14,17,14,19,38,48,51,71,63,103,123,98,145,100,121,138,221,254,210,378,318,323,287,305,126,3599,0,3674
2025,"On the Path to a Sustainable Diet: Native Brazilian Fruits of the Caryocar spp. (Pequi and Piquiá) and Potential Health Benefits in Chronic Kidney Disease",09219668,"Plant Foods for Human Nutrition","80","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2025,"Toxicity and Anti-inflammatory Effects of Eleutherine bulbosa (Miller) Urb, Ethanolic Extract, in Zebrafish (Danio rerio)",18715230,"Anti-Inflammatory and Anti-Allergy Agents in Medicinal Chemistry","24","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2024,"Fatty Acid Amides Suppress Proliferation via Cannabinoid Receptors and Promote the Apoptosis of C6 Glioma Cells in Association with Akt Signaling Pathway Inhibition",14248247,"Pharmaceuticals","17","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,4
2023,"Revisiting Genetic Influence on Mercury Exposure and Intoxication in Humans: A Scoping Review",23056304,"Toxics","11","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,12,0,12
