"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Castro De Sena C.B.; Salgado C.G.; Penalber Tavares C.M.; Vieira Da Cruz C.A.; Xavier M.B.; Do Nascimento J.L.M.","Castro De Sena, Chubert Bernardo (14041353600); Salgado, Claudio Guedes (8522894300); Penalber Tavares, Claudia Moacilene (14042431200); Vieira Da Cruz, Carlos Alberto (14042731700); Xavier, Marília Brasil (8585738500); Do Nascimento, José Luiz Martins (7004473713)","14041353600; 8522894300; 14042431200; 14042731700; 8585738500; 7004473713","Cyclosporine A treatment of leprosy patients with chronic neuritis is associated with pain control and reduction in antibodies against nerve growth factor","2006","Leprosy Review","77","2","","121","129","8","28","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746087571&partnerID=40&md5=b45c369c054c7f5f2c73d992f34a1a77","Article","Final","","Scopus","2-s2.0-33746087571"
"Ribeiro M.L.d.S.; DaMatta R.A.; Diniz J.A.P.; de Souza W.; do Nascimento J.L.M.; de Carvalho T.M.U.","Ribeiro, Maria Lucia da S. (16246188000); DaMatta, Renato A. (6603741772); Diniz, José A.P. (7005040559); de Souza, Wanderley (35595639800); do Nascimento, Jose Luiz M. (7004473713); de Carvalho, Tecia Maria U. (7003513498)","16246188000; 6603741772; 7005040559; 35595639800; 7004473713; 7003513498","Blood and inflammatory cells of the lungfish Lepidosiren paradoxa","2007","Fish and Shellfish Immunology","23","1","","178","187","9","7","10.1016/j.fsi.2006.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247624678&doi=10.1016%2fj.fsi.2006.10.005&partnerID=40&md5=59108485f62f292424342ccc09cd7cf4","Article","Final","","Scopus","2-s2.0-34247624678"
"de Macchi B.M.; Miranda F.J.; de Souza F.S.; de Carvalho E.C.; Albernaz A.P.; do Nascimento J.L.; DaMatta R.A.","de Macchi, Barbarella M.atos (56133452300); Miranda, Farlen J.osé Bebber (36337329000); de Souza, Fernanda S.ilva (56132886900); de Carvalho, Eulógio Carlos Q.ueiroz (21741996300); Albernaz, Antônio Peixoto (28767569400); do Nascimento, José Luiz M.artins (7004473713); DaMatta, Renato A.ugusto (6603741772)","56133452300; 36337329000; 56132886900; 21741996300; 28767569400; 7004473713; 6603741772","Chickens treated with a nitric oxide inhibitor became more resistant to Plasmodium gallinaceum infection due to reduced anemia, thrombocytopenia and inflammation","2013","Veterinary research","44","","","8","","","21","10.1186/1297-9716-44-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899468732&doi=10.1186%2f1297-9716-44-8&partnerID=40&md5=470ea5fcb3351111f55618d6432ee90a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84899468732"
"Ferreira D.P.; Holanda F.H.; Borges S.F.; Ramos R.S.; Shinkai V.M.T.; de Souza G.C.; Carvalho J.C.T.; Pimenta R.S.; do Nascimento J.L.M.; Ferreira I.M.","Ferreira, Dionisia P. (58032269400); Holanda, Fabrício H. (57209399063); Borges, Swanny F. (57252771800); Ramos, Ryan da S. (57194759541); Shinkai, Victoria Mae T. (57224797113); de Souza, Gisele C. (57194265101); Carvalho, José Carlos T. (57225198797); Pimenta, Raphael S. (6603347120); do Nascimento, José Luiz M. (7004473713); Ferreira, Irlon M. (57196020930)","58032269400; 57209399063; 57252771800; 57194759541; 57224797113; 57194265101; 57225198797; 6603347120; 7004473713; 57196020930","Toxicity and Anti-inflammatory Effects of Eleutherine bulbosa (Miller) Urb, Ethanolic Extract, in Zebrafish (Danio rerio)","2025","Anti-Inflammatory and Anti-Allergy Agents in Medicinal Chemistry","24","3","","199","214","15","0","10.2174/0118715230352701241130053455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005078447&doi=10.2174%2f0118715230352701241130053455&partnerID=40&md5=565a0f7c92cab6683c8da8cc1b778842","Article","Final","","Scopus","2-s2.0-105005078447"
"Da Silva B.J.M.; Da Silva R.R.P.; Rodrigues A.P.D.; Farias L.H.S.; Do Nascimento J.L.M.; Silva E.O.","Da Silva, B.J.M. (7004356193); Da Silva, R.R.P. (56734065800); Rodrigues, A.P.D. (36180252700); Farias, L.H.S. (55989346500); Do Nascimento, J.L.M. (7004473713); Silva, E.O. (56778034700)","7004356193; 56734065800; 36180252700; 55989346500; 7004473713; 56778034700","Physalis angulata induces death of promastigotes and amastigotes of Leishmania (Leishmania) amazonensis via the generation of reactive oxygen species","2016","Micron","82","","","25","32","7","21","10.1016/j.micron.2015.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952912533&doi=10.1016%2fj.micron.2015.12.001&partnerID=40&md5=5d67e3fab65ab7423f451372f7097e10","Article","Final","","Scopus","2-s2.0-84952912533"
"Xavier M.B.; Silveira F.T.; Demachki S.; Rodrigues Ferreira M.M.; Do Nascimento J.L.M.","Xavier, Marília Brasil (8585738500); Silveira, Fernando Tobias (23393691700); Demachki, Sâmia (9338057000); Rodrigues Ferreira, Márcia Milene (8585738800); Do Nascimento, José Luiz Martins (7004473713)","8585738500; 23393691700; 9338057000; 8585738800; 7004473713","American tegumentary leishmaniasis: A quantitative analysis of Langerhans cells presents important differences between L. (L.) amazonensis and Viannia subgenus","2005","Acta Tropica","95","1","","67","73","6","13","10.1016/j.actatropica.2005.04.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444371348&doi=10.1016%2fj.actatropica.2005.04.016&partnerID=40&md5=cc16d73fdc136883db3d29a02bd5e1a7","Article","Final","","Scopus","2-s2.0-20444371348"
"Almeida M.B.; Costa-Malaquias A.; Nascimento J.L.M.; Oliveira K.R.; Herculano A.M.; Crespo-López M.E.","Almeida, M.B. (45761003500); Costa-Malaquias, A. (56152841900); Nascimento, J.L.M. (7004473713); Oliveira, K.R. (26321749600); Herculano, A.M. (8230111200); Crespo-López, M.E. (8230111500)","45761003500; 56152841900; 7004473713; 26321749600; 8230111200; 8230111500","Therapeutic concentration of morphine reduces oxidative stress in glioma cell line","2014","Brazilian Journal of Medical and Biological Research","47","5","","398","402","4","29","10.1590/1414-431X20143697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900006489&doi=10.1590%2f1414-431X20143697&partnerID=40&md5=67dc52cc735126b164af4147e4f669c5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84900006489"
"De Lima J.B.; Da Silva Fonseca L.P.; Xavier L.P.; Macchi B.D.M.; Cassoli J.S.; Da Silva E.O.; Da Silva Valadares R.B.; Do Nascimento J.L.M.; Santos A.V.; De Sena C.B.C.","De Lima, Jaqueline Batista (57224309273); Da Silva Fonseca, Lana Patricia (57217385971); Xavier, Luciana Pereira (57199159347); Macchi, Barbarella De Matos (24067354900); Cassoli, Juliana Silva (36999302600); Da Silva, Edilene Oliveira (56778034700); Da Silva Valadares, Rafael Borges (56066419300); Do Nascimento, José Luiz Martins (7004473713); Santos, Agenor Valadares (36009603300); De Sena, Chubert Bernardo Castro (57190005989)","57224309273; 57217385971; 57199159347; 24067354900; 36999302600; 56778034700; 56066419300; 7004473713; 36009603300; 57190005989","Culture of mycobacterium smegmatis in different carbon sources to induce in vitro cholesterol consumption leads to alterations in the host cells after infection: A macrophage proteomics analysis","2021","Pathogens","10","6","662","","","","2","10.3390/pathogens10060662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107335595&doi=10.3390%2fpathogens10060662&partnerID=40&md5=2b0c0fd16ec57d2aecf6ee7e681aa6e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107335595"
"Freitas H.R.; Ferraz G.; Ferreira G.C.; Ribeiro-Resende V.T.; Chiarini L.B.; Nascimento J.L.M.D.; Oliveira K.R.H.M.; De Pereira T.L.; Ferreira L.G.B.; Kubrusly R.C.; Faria R.X.; Herculano A.M.; De Melo Reis R.A.","Freitas, Hercules R. (56865705900); Ferraz, Gabriel (57188868677); Ferreira, Gustavo C. (55466450500); Ribeiro-Resende, Victor T. (16426467000); Chiarini, Luciana B. (7004169683); Nascimento, José Luiz M. Do (7004473713); Oliveira, Karen Renata H. Matos (26321749600); De Pereira, Tiago Lima (57188863895); Ferreira, Leonardo G. B. (55503891200); Kubrusly, Regina C. (6507327252); Faria, Robson X. (15757110700); Herculano, Anderson Manoel (8230111200); De Melo Reis, Ricardo A. (35566644600)","56865705900; 57188868677; 55466450500; 16426467000; 7004169683; 7004473713; 26321749600; 57188863895; 55503891200; 6507327252; 15757110700; 8230111200; 35566644600","Glutathione-induced calcium shifts in chick retinal glial cells","2016","PLoS ONE","11","4","e0153677","","","","35","10.1371/journal.pone.0153677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963959830&doi=10.1371%2fjournal.pone.0153677&partnerID=40&md5=30f09822eae36f71fb7523333bc53c76","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84963959830"
"do Nascimento J.L.M.; Arrifano G.P.; Viana R.N.; Augusto-Oliveira M.; Lopes-Araújo A.; Santos-Sacramento L.; Melo V.C.G.; Sousa R.S.; de Souza C.G.S.; Sena C.B.C.; da Silva L.C.S.; Pinheiro M.C.N.; Lameira J.; Crespo-López M.E.; Macchi B.M.","do Nascimento, José Luiz Martins (7004473713); Arrifano, Gabriela de Paula (35309165900); Viana, Robson Nascimento (60703375200); Augusto-Oliveira, Marcus (56260324600); Lopes-Araújo, Amanda (57211531890); Santos-Sacramento, Leticia (57211531751); Melo, Victor Cezar Gomes (60703527100); Sousa, Rafaela Silva de (60703278200); de Souza, Carlos Gabriel da Silva (60703527200); Sena, Chubert Bernardo Castro de (14622029700); da Silva, Luiz Carlos Santana (60703527300); Pinheiro, Maria da Conceição Nascimento (7101819165); Lameira, Jeronimo (13608594000); Crespo-López, Maria Elena (8230111500); Macchi, Barbarella Matos (59676949700)","7004473713; 35309165900; 60703375200; 56260324600; 57211531890; 57211531751; 60703527100; 60703278200; 60703527200; 14622029700; 60703527300; 7101819165; 13608594000; 8230111500; 59676949700","Biotinidase Activity Inhibition as a Biomarker of Effect to Mercury: Evidence from Amazonian Riverside Populations, In Vitro Assays, and In Silico Analyses","2026","ACS Omega","11","24","","35130","35140","10","0","10.1021/acsomega.5c12680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105042541801&doi=10.1021%2facsomega.5c12680&partnerID=40&md5=80f166eb919e24ec176c39e0c0a4cbe8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042541801"
