,"Author: da Silva Filho, Manoel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 13 (Of the 28 documents considered for the h-index, 13 have been cited at least 13 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,1,3,6,3,14,9,22,17,16,38,23,30,36,20,36,37,25,49,24,30,35,53,21,548,0,548
2024,"Dysfunctional suction dynamics in newborns with ankyloglossia",23171782,"CODAS","36","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2023,"Systematic Review on EEG Analysis to Diagnose and Treat Autism by Evaluating Functional Connectivity and Spectral Power",11782021,"Neuropsychiatric Disease and Treatment","19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,19,5,36,0,36
2020,"Evaluation of Movement and Motor Skills for Early Diagnosis and Treatment of Autism Spectrum Disorder",,"ACM International Conference Proceeding Series","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018,"Role for apolipoprotein e in neurodegeneration and mercury intoxication",19450494,"Frontiers in Bioscience - Elite","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,3,6,2,2,1,30,0,30
2018,"Hand rest and wrist support are effective in preventing fatigue during prolonged typing",08941130,"Journal of Hand Therapy","31","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1,3,2,1,15,0,15
2017,"Voice disorder in systemic lupus erythematosus",19326203,"PLoS ONE","12","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,4,1,13,0,13
2015,"The spatial properties of L- and M-cone inputs to electroretinograms that reflect different types of post-receptoral processing",19326203,"PLoS ONE","10","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,6,1,1,1,0,2,22,0,22
2014,"Alouatta trichromatic color vision: Cone spectra and physiological responses studied with microspectrophotometry and single unit retinal electrophysiology",19326203,"PLoS ONE","9","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,2,1,0,0,9,0,9
2014,"Voice disorder in cystic fibrosis patients",19326203,"PLoS ONE","9","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,2,2,1,13,0,13
