"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Cunha B.M.L.; Badarane E.B.L.; Filho P.V.M.S.; Costa K.M.; da Silva Filho M.","Cunha, Bruna Mendes Lourenço (58757870500); Badarane, Erika Baptista Luiz (58757277600); Filho, Paulo Vitor Melo Sousa (58757277700); Costa, Kauê Machado (36149977900); da Silva Filho, Manoel (8783869800)","58757870500; 58757277600; 58757277700; 36149977900; 8783869800","Dysfunctional suction dynamics in newborns with ankyloglossia; [Dinâmica de sucção disfuncional em recém-nascidos com anquiloglossia]","2024","CODAS","36","2","e20230054","","","","1","10.1590/2317-1782/20232023054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179412072&doi=10.1590%2f2317-1782%2f20232023054&partnerID=40&md5=24e7610920ff89cbd695d8c1a806f194","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85179412072"
"Gomes B.D.; Souza G.S.; Rodrigues A.R.; Saito C.A.; Silveira L.C.L.; Da Silva Filho M.","Gomes, Bruno D. (15022279700); Souza, Givago S. (57560194800); Rodrigues, Anderson R. (12768766500); Saito, Cézar A. (7005050536); Silveira, Luiz Carlos L. (35577484500); Da Silva Filho, Manoel (8783869800)","15022279700; 57560194800; 12768766500; 7005050536; 35577484500; 8783869800","Normal and dichromatic color discrimination measured with transient visual evoked potential","2006","Visual Neuroscience","23","3-4","","617","627","10","20","10.1017/S0952523806233194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750104763&doi=10.1017%2fS0952523806233194&partnerID=40&md5=1be0c4e692af32d08282800bec20d9fe","Conference paper","Final","","Scopus","2-s2.0-33750104763"
"Gomes B.D.; Souza G.S.; Rodrigues A.R.; Saito C.A.; da Silva Filho M.; Silveira L.C.L.","Gomes, Bruno Duarte (15022279700); Souza, Givago da Silva (57560194800); Rodrigues, Anderson Raiol (12768766500); Saito, Cézar Akiyoshi (7005050536); da Silva Filho, Manoel (8783869800); Silveira, Luiz Carlos de Lima (35577484500)","15022279700; 57560194800; 12768766500; 7005050536; 8783869800; 35577484500","Spatial luminance contrast sensitivity and color discrimination measured with transient visual evoked potential; [Estimativa da sensibilidade ao contraste espacial de luminância e discriminação de cores por meio do potencial provocado visual transiente]","2006","Psicologia USP","17","4","","63","85","22","0","10.1590/S0103-65642006000400004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650474602&doi=10.1590%2fS0103-65642006000400004&partnerID=40&md5=a2f41217bde780d16eaa7cd284e913e8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-78650474602"
"Loopuijt L.D.; da Silva Filho M.; Hirt B.; Vonthein R.; Kremers J.","Loopuijt, L.D. (6701781767); da Silva Filho, Manoel (8783869800); Hirt, B. (7003923277); Vonthein, R. (6603766639); Kremers, J. (57203054867)","6701781767; 8783869800; 7003923277; 6603766639; 57203054867","Dendritic thickness: A morphometric parameter to classify mouse retinal ganglion cells","2007","Brazilian Journal of Medical and Biological Research","40","10","","1367","1382","15","7","10.1590/S0100-879X2006005000161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35548958244&doi=10.1590%2fS0100-879X2006005000161&partnerID=40&md5=a84f539d08daa8c0c92aeb2efb040bd1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-35548958244"
"Souza G.S.; Gomes B.D.; Lacerda E.M.C.B.; Saito C.A.; Filho M.D.S.; Silveira L.C.L.","Souza, Givago S. (57560194800); Gomes, Bruno D. (15022279700); Lacerda, Eliza Maria C.B. (54889762000); Saito, Cézar A. (7005050536); Filho, Manoel Da Silva (8783869800); Silveira, Luiz Carlos L. (35577484500)","57560194800; 15022279700; 54889762000; 7005050536; 8783869800; 35577484500","Amplitude of the transient visual evoked potential (tVEP) as a function of achromatic and chromatic contrast: Contribution of different visual pathways","2008","Visual Neuroscience","25","3","","317","325","8","29","10.1017/S0952523808080243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749151835&doi=10.1017%2fS0952523808080243&partnerID=40&md5=288ceb0d47f36535af0a0272d950d9a8","Conference paper","Final","","Scopus","2-s2.0-46749151835"
"Dos Santos S.N.; Dos Reis J.W.L.; Da Silva Filho M.; Kremers J.; Silveira L.C.L.","Dos Santos, Setsuko N. (12243459100); Dos Reis, José Wesley L. (7003435379); Da Silva Filho, Manoel (8783869800); Kremers, Jan (57203054867); Silveira, Luiz Carlos L. (35577484500)","12243459100; 7003435379; 8783869800; 57203054867; 35577484500","Horizontal cell morphology in nocturnal and diurnal primates: A comparison between owl-monkey (Aotus) and capuchin monkey (Cebus)","2005","Visual Neuroscience","22","4","","405","415","10","5","10.1017/S0952523805224033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544431575&doi=10.1017%2fS0952523805224033&partnerID=40&md5=6f90ec2424d6887fb900883b97ed499b","Article","Final","","Scopus","2-s2.0-32544431575"
"Lourenço B.M.; Costa K.M.; Da Silva Filho M.","Lourenço, Bruna Mendes (56157748200); Costa, Kauê Machado (36149977900); Da Silva Filho, Manoel (8783869800)","56157748200; 36149977900; 8783869800","Voice disorder in cystic fibrosis patients","2014","PLoS ONE","9","5","e96769","","","","13","10.1371/journal.pone.0096769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900414157&doi=10.1371%2fjournal.pone.0096769&partnerID=40&md5=3399d4e5d63582b802f1ffd320ce3e81","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84900414157"
"Gomes B.D.; Souza G.S.; Saito C.A.; Da Silva Filho M.; Rodrigues A.R.; Ventura D.F.; Silveira L.C.L.","Gomes, B.D. (15022279700); Souza, G.S. (57560194800); Saito, C.A. (7005050536); Da Silva Filho, M. (8783869800); Rodrigues, A.R. (12768766500); Ventura, D.F. (7005483553); Silveira, L.C.L. (35577484500)","15022279700; 57560194800; 7005050536; 8783869800; 12768766500; 7005483553; 35577484500","Cone contrast influence on components of the pattern onset/offset VECP","2010","Ophthalmic and Physiological Optics","30","5","","518","524","6","10","10.1111/j.1475-1313.2010.00751.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956156592&doi=10.1111%2fj.1475-1313.2010.00751.x&partnerID=40&md5=efd31eb13b33be2dbba4cf071962ad93","Conference paper","Final","","Scopus","2-s2.0-77956156592"
"Souza G.S.; Gomes B.D.; Lacerda E.M.C.B.; Saito C.A.; da Silva Filho M.; Silveira L.C.L.","Souza, Givago S. (57560194800); Gomes, Bruno D. (15022279700); Lacerda, Eliza Maria C.B. (54889762000); Saito, Cézar A. (7005050536); da Silva Filho, Manoel (8783869800); Silveira, Luiz Carlos L. (35577484500)","57560194800; 15022279700; 54889762000; 7005050536; 8783869800; 35577484500","Contrast sensitivity of pattern transient VEP components: Contribution from M and P pathways","2013","Psychology and Neuroscience","6","2","","191","198","7","11","10.3922/j.psns.2013.2.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887856822&doi=10.3922%2fj.psns.2013.2.07&partnerID=40&md5=d4c85aa6dd65d0152f391568adc24223","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84887856822"
"da Silva Filho M.; Santos D.V.V.; Costa K.M.","da Silva Filho, Manoel (8783869800); Santos, Daniel Valle Vasconcelos (55555997100); Costa, Kauê Machado (36149977900)","8783869800; 55555997100; 36149977900","A New Low Cost Wide-Field Illumination Method for Photooxidation of Intracellular Fluorescent Markers","2013","PLoS ONE","8","2","e56512","","","","1","10.1371/journal.pone.0056512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874135269&doi=10.1371%2fjournal.pone.0056512&partnerID=40&md5=ab9731a6ab2295b71d56a1ab43d95660","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84874135269"
