,"Author: Monteiro, M. C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 29 (Of the 118 documents considered for the h-index, 29 have been cited at least 29 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,3,7,10,16,25,24,24,37,47,44,55,105,152,244,398,489,554,529,542,587,250,4142,0,4142
2025,"IL-6, IFN-γ, IL-17A elevations and glutathione depletion predict severe MODS and mortality in critically ill children with COVID-19 and bacterial sepsis: a prospective cohort study from the Brazilian Amazon",10434666,"Cytokine","196","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Effect of Temperature and Molarity on the Evaluation of Antimicrobial, Cytotoxic, and Antioxidant Activities of the Bio-Oil from Açaí Seed (Euterpe oleracea Mart.)",14220067,"International Journal of Molecular Sciences","26","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Biochemical neuroplasticity in the cerebellum after physical exercise: Systematic review and meta-analysis",19326203,"PLOS ONE","20","8 August",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2025,"Alpha-Lipoic Acid Reduces Methemoglobin and Oxidative Imbalance in the Blood and Liver Induced by Dapsone in Mice: Molecular Mechanism of Antioxidant Action",25759108,"ACS Pharmacology and Translational Science","8","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Characterization of the Aqueous Phase from Pyrolysis of Açaí Seeds and Fibers (Euterpe oleracea Mart.)",19961073,"Energies","18","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Alpha-Lipoic Acid Reduces Neuroinflammation and Oxidative Stress Induced by Dapsone in an Animal Model",20726643,"Nutrients","17","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,10
