"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fernandes R.M.; Corrêa M.G.; Aragão W.A.B.; Nascimento P.C.; Cartágenes S.C.; Rodrigues C.A.; Sarmiento L.F.; Monteiro M.C.; Maia C.D.S.F.; Crespo-López M.E.; Lima R.R.","Fernandes, Rafael Monteiro (56388273400); Corrêa, Márcio Gonçalves (57202423898); Aragão, Walessa Alana Bragança (57195346813); Nascimento, Priscila Cunha (57200422072); Cartágenes, Sabrina C. (57201556487); Rodrigues, Caroline Azulay (57207724582); Sarmiento, Luis Felipe (57211641666); Monteiro, Marta Chagas (35552167300); Maia, Cristiane do Socorro Ferraz (54978285700); Crespo-López, Maria Elena (8230111500); Lima, Rafael Rodrigues (23493064500)","56388273400; 57202423898; 57195346813; 57200422072; 57201556487; 57207724582; 57211641666; 35552167300; 54978285700; 8230111500; 23493064500","Preclinical evidences of aluminum-induced neurotoxicity in hippocampus and pre-frontal cortex of rats exposed to low doses","2020","Ecotoxicology and Environmental Safety","206","","111139","","","","42","10.1016/j.ecoenv.2020.111139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089801944&doi=10.1016%2fj.ecoenv.2020.111139&partnerID=40&md5=cf367b1bcc67c4bd2c2ff727b8b518a8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089801944"
"de Farias E.C.F.; Nascimento L.M.P.P.D.; Pavão Junior M.J.C.; Pavão D.C.A.; Pinheiro A.P.S.; Pinheiro A.H.O.; Alves M.C.B.; Ferraro K.M.M.M.; Aires L.F.Q.; Dias L.G.; Machado M.M.M.; Serrão M.J.D.; Gomes R.R.; de Moraes S.M.P.; Pontes G.C.L.; Carvalho R.D.F.P.; Silva C.T.C.; Neves C.M.A.D.; Santos J.C.L.D.; de Sousa A.M.B.; da Silva L.L.; de Mello M.L.F.M.F.; Carvalho P.B.; Braga R.D.B.; Harada K.D.O.; Justino M.C.A.; Costa I.B.; Brasil-Costa I.; Monteiro M.C.; Clemente G.; Terreri M.T.","de Farias, Emmerson C. F. (57219251505); Nascimento, Luciana M. P. P. do (57749104500); Pavão Junior, Manoel J. C. (57748465300); Pavão, Dalila C. A. (57746850400); Pinheiro, Ana P. S. (58198585900); Pinheiro, Andreza H. O. (58198411900); Alves, Marília C. B. (57219556619); Ferraro, Kíssila M. M. M. (57223598326); Aires, Larisse F. Q. (57219557427); Dias, Luana G. (58199304000); Machado, Mayara M. M. (57219560659); Serrão, Michaelle J. D. (58199668200); Gomes, Raphaella R. (58922659000); de Moraes, Sara M. P. (58922880100); Pontes, Gabriela C. L. (58198944400); Carvalho, Railana D. F. P. (57219556788); Silva, Cristiane T. C. (57221475931); Neves, Carla M. A. das (58291280000); Santos, Joyce C. L. dos (59549814500); de Sousa, Adriana M. B. (26424998200); da Silva, Leda L. (59550360500); de Mello, Mary L. F. M. F. (57219252712); Carvalho, Patricia B. (57749104600); Braga, Renata de B. (59550232000); Harada, Kathia de O. (59549682500); Justino, Maria C. A. (35080486500); Costa, Iran B. (57194053176); Brasil-Costa, Igor (55588596200); Monteiro, Marta C. (35552167300); Clemente, Gleice (55366940600); Terreri, Maria Teresa (25636564500)","57219251505; 57749104500; 57748465300; 57746850400; 58198585900; 58198411900; 57219556619; 57223598326; 57219557427; 58199304000; 57219560659; 58199668200; 58922659000; 58922880100; 58198944400; 57219556788; 57221475931; 58291280000; 59549814500; 26424998200; 59550360500; 57219252712; 57749104600; 59550232000; 59549682500; 35080486500; 57194053176; 55588596200; 35552167300; 55366940600; 25636564500","Plasma IL-17A is increased in patients with critical MIS-C and associated to in-hospital mortality","2024","Frontiers in Immunology","15","","1485009","","","","1","10.3389/fimmu.2024.1485009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217380867&doi=10.3389%2ffimmu.2024.1485009&partnerID=40&md5=96b5d5b39b3dfe3c87da16943594808d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217380867"
"Fernandes L.M.P.; Lopes K.S.; Santana L.N.S.; Fontes-Júnior E.A.; Ribeiro C.H.M.A.; Silva M.C.F.; de Oliveira Paraense R.S.; Crespo-López M.E.; Gomes A.R.Q.; Lima R.R.; Monteiro M.C.; Maia C.S.F.","Fernandes, Luanna Melo Pereira (56076106200); Lopes, Klaylton Sousa (57204273916); Santana, Luana Nazaré Silva (55924914200); Fontes-Júnior, Enéas Andrade (56512370400); Ribeiro, Carolina Heitmann Mares Azevedo (57204274895); Silva, Márcia Cristina Freitas (56388049300); de Oliveira Paraense, Ricardo Sousa (57199688696); Crespo-López, Maria Elena (8230111500); Gomes, Antônio Rafael Quadros (56496204100); Lima, Rafael Rodrigues (23493064500); Monteiro, Marta Chagas (35552167300); Maia, Cristiane Socorro Ferraz (54978285700)","56076106200; 57204273916; 55924914200; 56512370400; 57204274895; 56388049300; 57199688696; 8230111500; 56496204100; 23493064500; 35552167300; 54978285700","Repeated cycles of binge-like ethanol intake in adolescent female rats induce motor function impairment and oxidative damage in motor cortex and liver, but not in blood","2018","Oxidative Medicine and Cellular Longevity","2018","","3467531","","","","37","10.1155/2018/3467531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055078389&doi=10.1155%2f2018%2f3467531&partnerID=40&md5=35013879b4db9c6dfb12f355c7ab151b","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85055078389"
"Gomes B.A.Q.; Santos S.M.D.; Gato L.D.S.; Espíndola K.M.M.; Silva R.K.M.D.; Davis K.; Navegantes-Lima K.C.; Burbano R.M.R.; Romao P.R.T.; Coleman M.D.; Monteiro M.C.","Gomes, Bruno Alexandre Quadros (7005569198); Santos, Savio Monteiro dos (57205649677); Gato, Lucas da Silva (59304999700); Espíndola, Kaio Murilo Monteiro (57204160302); Silva, Rana Karen Mesquita da (59678192100); Davis, Kelly (59167571400); Navegantes-Lima, Kely Campos (57198779743); Burbano, Rommel Mario Rodriguez (35199598100); Romao, Pedro Roosevelt Torres (8158764400); Coleman, Michael D. (57204711612); Monteiro, Marta Chagas (35552167300)","7005569198; 57205649677; 59304999700; 57204160302; 59678192100; 59167571400; 57198779743; 35199598100; 8158764400; 57204711612; 35552167300","Alpha-Lipoic Acid Reduces Neuroinflammation and Oxidative Stress Induced by Dapsone in an Animal Model","2025","Nutrients ","17","5","791","","","","11","10.3390/nu17050791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000593562&doi=10.3390%2fnu17050791&partnerID=40&md5=9bae2d0c623a253750d90253a1f266ee","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000593562"
"Meneses C.C.F.; de Sousa P.R.M.; Lima K.C.N.; Souza L.M.M.D.A.; Feio W.P.; Remédios C.M.R.; Jouin J.; Thomas P.; Masson O.; Alves C.N.; Lameira J.; Monteiro M.C.","Meneses, Carla Carolina Ferreira (57193885059); de Sousa, Paulo Robson Monteiro (56379819200); Lima, Kely Campos Navegantes (58490376700); Souza, Lisa Maria Mendes de Almeida (58490001700); Feio, Waldeci Paraguassu (57210551898); Remédios, Cláudio Márcio Rocha (8899602200); Jouin, Jenny (6602295400); Thomas, Philippe (35459892700); Masson, Olivier (7004196800); Alves, Cláudio Nahum (55599343100); Lameira, Jerônimo (13608594000); Monteiro, Marta Chagas (35552167300)","57193885059; 56379819200; 58490376700; 58490001700; 57210551898; 8899602200; 6602295400; 35459892700; 7004196800; 55599343100; 13608594000; 35552167300","Caffeic Acid-Zinc Basic Salt/Chitosan Nanohybrid Possesses Controlled Release Properties and Exhibits In Vivo Anti-Inflammatory Activities","2023","Molecules","28","13","4973","","","","9","10.3390/molecules28134973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164914905&doi=10.3390%2fmolecules28134973&partnerID=40&md5=f3ad493f40a78d3e625e7f43cb28ec44","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164914905"
"Baldissera F.G.; Fazolo T.; da Silva M.B.; de Santana Filho P.C.; da Silva V.D.; Rivillo Perez D.M.; Klitzke J.S.; de Oliveira Soares E.G.; Rodrigues Júnior L.C.; Peres A.; Dallegrave E.; Navegantes-Lima K.C.; Monteiro M.C.; Schrekker H.S.; Torres Romão P.R.","Baldissera, Fernanda Giesel (56670972000); Fazolo, Tiago (56965006300); da Silva, Matheus Brasil (57208273287); de Santana Filho, Paulo Cesar (58084949400); da Silva, Vinícius Demétrio (57221564375); Rivillo Perez, David Max (58085239600); Klitzke, Joice Sandra (26634092400); de Oliveira Soares, Eduardo Giovanni (58085525100); Rodrigues Júnior, Luiz Carlos (7202075630); Peres, Alessandra (7102331956); Dallegrave, Eliane (6507620684); Navegantes-Lima, Kely Campos (57198779743); Monteiro, Marta Chagas (35552167300); Schrekker, Henri Stephan (6506308399); Torres Romão, Pedro Roosevelt (8158764400)","56670972000; 56965006300; 57208273287; 58084949400; 57221564375; 58085239600; 26634092400; 58085525100; 7202075630; 7102331956; 6507620684; 57198779743; 35552167300; 6506308399; 8158764400","Imidazolium salts as an alternative for anti-Leishmania drugs: Oxidative and immunomodulatory activities","2023","Frontiers in Immunology","13","","1096312","","","","9","10.3389/fimmu.2022.1096312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147152891&doi=10.3389%2ffimmu.2022.1096312&partnerID=40&md5=80bb1fdcbdc3f4e9f1874ad989a31da7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147152891"
"Navegantes K.C.; Souza Gomes R.; Pereira P.A.T.; Czaikoski P.G.; Azevedo C.H.M.; Monteiro M.C.","Navegantes, Kely Campos (57198779743); Souza Gomes, Rafaelli (59158894500); Pereira, Priscilla Aparecida Tártari (34877298700); Czaikoski, Paula Giselle (18834322300); Azevedo, Carolina Heitmann Mares (57193322362); Monteiro, Marta Chagas (35552167300)","57198779743; 59158894500; 34877298700; 18834322300; 57193322362; 35552167300","Immune modulation of some autoimmune diseases: The critical role of macrophages and neutrophils in the innate and adaptive immunity","2017","Journal of Translational Medicine","15","1","36","","","","313","10.1186/s12967-017-1141-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012992043&doi=10.1186%2fs12967-017-1141-8&partnerID=40&md5=f66c88516a000310095784c2d45a3049","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85012992043"
"De B. Oliveira A.L.; Navegantes-Lima K.C.; Monteiro V.V.S.; Quadros L.B.G.; De Oliveira J.P.; Dos Santos S.M.; De A. Pontes A.C.A.; Dorneles G.P.; Romão P.R.T.; Júnior L.C.R.; De Oliveira A.B.; Monteiro M.C.","De B. Oliveira, Ana L. (57203137077); Navegantes-Lima, Kely C. (57198779743); Monteiro, Valter V. S. (57224831225); Quadros, Lucas B. G. (57221051181); De Oliveira, Juliana P. (59029662600); Dos Santos, Sávio M. (57205649677); De A. Pontes, Anna C. A. (57221052299); Dorneles, Gilson P. (56282564600); Romão, Pedro R. T. (8158764400); Júnior, Luiz C. R. (7202075630); De Oliveira, Alaíde B. (7202298061); Monteiro, Marta C. (35552167300)","57203137077; 57198779743; 57224831225; 57221051181; 59029662600; 57205649677; 57221052299; 56282564600; 8158764400; 7202075630; 7202298061; 35552167300","β-Lapachone Increases Survival of Septic Mice by Regulating Inflammatory and Oxidative Response","2020","Oxidative Medicine and Cellular Longevity","2020","","8820651","","","","8","10.1155/2020/8820651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098089726&doi=10.1155%2f2020%2f8820651&partnerID=40&md5=e33f4ddd5da8792d9f805a915de4f80f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85098089726"
"Rodrigues D.V.S.; Monteiro V.V.S.; Navegantes-Lima K.C.; de Brito Oliveira A.L.; de França Gaspar S.L.; Quadros L.B.G.; Monteiro M.C.","Rodrigues, Dávila Valentina Silva (57198776465); Monteiro, Valter Vinicius Silva (57224831225); Navegantes-Lima, Kely Campos (57198779743); de Brito Oliveira, Ana Lígia (57198779192); de França Gaspar, Silvia Letícia (57198771054); Quadros, Lucas Benedito Gonçalves (57221051181); Monteiro, Marta Chagas (35552167300)","57198776465; 57224831225; 57198779743; 57198779192; 57198771054; 57221051181; 35552167300","MicroRNAs in cell cycle progression and proliferation: molecular mechanisms and pathways","2018","Non-Coding RNA Investigation","2","","","","","","33","10.21037/ncri.2018.04.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054713212&doi=10.21037%2fncri.2018.04.06&partnerID=40&md5=04df0d3f04354de911aa08c1d970f94b","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85054713212"
"Nascimento C.P.; Luz D.A.; Da Silva C.C.S.; Malcher C.M.R.; Fernandes L.M.P.; Dalla Santa H.S.; Gomes A.R.Q.; Monteiro M.C.; Ribeiro C.H.M.A.; Fontes-Júnior E.A.; Maia C.S.F.","Nascimento, Chirlene Pinheiro (57698481500); Luz, Diandra Araújo (56613157300); Da Silva, Carla Cristiane Soares (57218555626); Malcher, Cláudia Marques Rosa (57218553255); Fernandes, Luanna Melo Pereira (56076106200); Dalla Santa, Herta Stutz (6504366902); Gomes, Antônio Rafael Quadros (56496204100); Monteiro, Marta Chagas (35552167300); Ribeiro, Carolina Heitmann Mares Azevedo (57204274895); Fontes-Júnior, Enéas Andrade (56512370400); Maia, Cristiane Socorro Ferraz (54978285700)","57698481500; 56613157300; 57218555626; 57218553255; 56076106200; 6504366902; 56496204100; 35552167300; 57204274895; 56512370400; 54978285700","Ganoderma lucidum Ameliorates Neurobehavioral Changes and Oxidative Stress Induced by Ethanol Binge Drinking","2020","Oxidative Medicine and Cellular Longevity","2020","","2497845","","","","16","10.1155/2020/2497845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089465990&doi=10.1155%2f2020%2f2497845&partnerID=40&md5=68da90c6cae583ad4dabe2a0a79da27c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089465990"
