,"Author: Sosthenes, Marcia Consentino Kronka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 38 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,1,1,5,2,7,2,2,1,4,15,7,11,20,21,19,32,23,49,45,53,60,90,49,519,0,519
2025,"Impact of masticatory activity and rehabilitation on astrocyte morphology across the molecular layer of the dentate gyrus: Insights from the outer, medial, and inner sublayers and their relationship with spatial learning and memory",09409602,"Annals of Anatomy","258","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Intriguing astrocyte responses in CA1 to reduced and rehabilitated masticatory function: Dorsal and ventral distinct perspectives in adult mice",00039969,"Archives of Oral Biology","169","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2024,"Introduction of a model for the modification of masticatory activity to investigate induced neural and behavioral alterations in mice",22150161,"MethodsX","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3
2023,"Updating the General Practitioner on the Association between Teeth Loss and Temporomandibular Disorders: A Systematic Review",13057456,"European Journal of Dentistry","17","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5,0,5
2023,"The Masticatory Activity Interference in Quantitative Estimation of CA1, CA3 and Dentate Gyrus Hippocampal Astrocytes of Aged Murine Models and under Environmental Stimulation",14220067,"International Journal of Molecular Sciences","24","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
2023,"Comparative analysis between Open Field and Elevated Plus Maze tests as a method for evaluating anxiety-like behavior in mice",24058440,"Heliyon","9","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,32,23,76,0,76
2022,"The Sedentary Lifestyle and Masticatory Dysfunction: Time to Review the Contribution to Age-Associated Cognitive Decline and Astrocyte Morphotypes in the Dentate Gyrus",14220067,"International Journal of Molecular Sciences","23","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,7,0,7
2021,"Microglial Morphology Across Distantly Related Species: Phylogenetic, Environmental and Age Influences on Microglia Reactivity and Surveillance States",16643224,"Frontiers in Immunology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3,5,1,18,0,18
2021,"Sedentary Life and Reduced Mastication Impair Spatial Learning and Memory and Differentially Affect Dentate Gyrus Astrocyte Subtypes in the Aged Mice",16624548,"Frontiers in Neuroscience","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10,0,10
2021,"Dual-Task Exercise to Improve Cognition and Functional Capacity of Healthy Older Adults",16634365,"Frontiers in Aging Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,15,22,12,75,0,75
2021,"Lateral septum microglial changes and behavioral abnormalities of mice exposed to valproic acid during the prenatal period",08910618,"Journal of Chemical Neuroanatomy","111","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,4
2019,"Stereological analysis of early gene expression using Egr-1 immunolabeling after spreading depression in the rat somatosensory cortex",16624548,"Frontiers in Neuroscience","13","SEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,1,9,0,9
