"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Carvalho-Paulo D.; Bento Torres Neto J.; Filho C.S.; de Oliveira T.C.G.; de Sousa A.A.; dos Reis R.R.; dos Santos Z.A.; de Lima C.M.; de Oliveira M.A.; Said N.M.; Freitas S.F.; Sosthenes M.C.K.; Gomes G.F.; Henrique E.P.; Pereira P.D.C.; de Siqueira L.S.; de Melo M.A.D.; Guerreiro Diniz C.; Magalhães N.G.D.M.; Diniz J.A.P.; Vasconcelos P.F.D.C.; Diniz D.G.; Anthony D.C.; Sherry D.F.; Brites D.; Picanço Diniz C.W.","Carvalho-Paulo, Dario (57201196879); Bento Torres Neto, João (15045895500); Filho, Carlos Santos (11339194800); de Oliveira, Thais Cristina Galdino (56082351100); de Sousa, Aline Andrade (36180938900); dos Reis, Renata Rodrigues (56861717100); dos Santos, Zaire Alves (24400714100); de Lima, Camila Mendes (56441100600); de Oliveira, Marcus Augusto (56260324600); Said, Nivin Mazen (57220200891); Freitas, Sinara Franco (57225080019); Sosthenes, Marcia Consentino Kronka (55224737400); Gomes, Giovanni Freitas (57203462445); Henrique, Ediely Pereira (57194493912); Pereira, Patrick Douglas Côrrea (57197065020); de Siqueira, Lucas Silva (57217034749); de Melo, Mauro André Damasceno (55909299900); Guerreiro Diniz, Cristovam (56702231100); Magalhães, Nara Gyzely de Morais (56441298000); Diniz, José Antonio Picanço (7005040559); Vasconcelos, Pedro Fernando da Costa (35602021900); Diniz, Daniel Guerreiro (36195579100); Anthony, Daniel Clive (7102866439); Sherry, David Francis (7005464434); Brites, Dora (7004026610); Picanço Diniz, Cristovam Wanderley (6701676103)","57201196879; 15045895500; 11339194800; 56082351100; 36180938900; 56861717100; 24400714100; 56441100600; 56260324600; 57220200891; 57225080019; 55224737400; 57203462445; 57194493912; 57197065020; 57217034749; 55909299900; 56702231100; 56441298000; 7005040559; 35602021900; 36195579100; 7102866439; 7005464434; 7004026610; 6701676103","Microglial Morphology Across Distantly Related Species: Phylogenetic, Environmental and Age Influences on Microglia Reactivity and Surveillance States","2021","Frontiers in Immunology","12","","683026","","","","18","10.3389/fimmu.2021.683026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109096018&doi=10.3389%2ffimmu.2021.683026&partnerID=40&md5=0a9bc1a92842bb4a69c594f3b704106e","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109096018"
"Lopes M.G.O.; Kronka M.C.; Watanabe I.; Silva M.C.P.","Lopes, M.G.O. (14048698500); Kronka, M.C. (55224737400); Watanabe, I. (7402438410); Silva, M.C.P. (54788215000)","14048698500; 55224737400; 7402438410; 54788215000","Angioarchitectural characteristics of the anterodorsal surface of aging and young rabbit tongue: Scanning electron microscopy study","2002","Annals of Anatomy","184","4","","397","400","3","4","10.1016/S0940-9602(02)80064-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036329122&doi=10.1016%2fS0940-9602%2802%2980064-4&partnerID=40&md5=dbab54253fae71c428f52f36b0bcebc8","Article","Final","","Scopus","2-s2.0-0036329122"
"Frota de Almeida M.N.; de Siqueira Mendes F.D.C.C.; Gurgel Felício A.P.; Falsoni M.; Ferreira de Andrade M.L.; Bento-Torres J.; da Costa Vasconcelos P.F.; Perry V.H.; Picanço-Diniz C.W.; Kronka Sosthenes M.C.","Frota de Almeida, Marina N. (55221586900); de Siqueira Mendes, Fabíola D.C.C. (55221586500); Gurgel Felício, André P. (55221586700); Falsoni, Manoela (55027319700); Ferreira de Andrade, Márcia L. (55221586800); Bento-Torres, João (15045895500); da Costa Vasconcelos, Pedro F. (35602021900); Perry, Victor H. (7101787946); Picanço-Diniz, Cristovam W. (6701676103); Kronka Sosthenes, Marcia C. (55224737400)","55221586900; 55221586500; 55221586700; 55027319700; 55221586800; 15045895500; 35602021900; 7101787946; 6701676103; 55224737400","Spatial memory decline after masticatory deprivation and aging is associated with altered laminar distribution of CA1 astrocytes","2012","BMC Neuroscience","13","1","23","","","","29","10.1186/1471-2202-13-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861192521&doi=10.1186%2f1471-2202-13-23&partnerID=40&md5=7c5fa31d40cf02b45c87d358c5289e82","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84861192521"
"Castro M.M.L.; Amaral Junior F.L.D.; Mendes F.D.C.C.D.S.; Anthony D.C.; Brites D.M.T.D.O.; Diniz C.W.P.; Sosthenes M.C.K.","Castro, Micaele Maria Lopes (57207759953); Amaral Junior, Fabio Leite do (58156423200); Mendes, Fabíola de Carvalho Chaves de Siqueira (55929494700); Anthony, Daniel Clive (7102866439); Brites, Dora Maria Tuna de Oliveira (7004026610); Diniz, Cristovam Wanderley Picanço (6701676103); Sosthenes, Marcia Consentino Kronka (55224737400)","57207759953; 58156423200; 55929494700; 7102866439; 7004026610; 6701676103; 55224737400","Intriguing astrocyte responses in CA1 to reduced and rehabilitated masticatory function: Dorsal and ventral distinct perspectives in adult mice","2025","Archives of Oral Biology","169","","106097","","","","3","10.1016/j.archoralbio.2024.106097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205957169&doi=10.1016%2fj.archoralbio.2024.106097&partnerID=40&md5=6856e2d09ff7d240813e3bf83da718d6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205957169"
"Diniz D.G.; Foro C.A.R.; Sosthenes M.C.K.; Demachki S.; Gomes G.F.; Malerba G.A.; Naves T.B.; Cavalcante E.A.D.; Sousa A.M.C.; Ferreira F.A.B.; Anjos P.C.S.; Neto A.L.C.; Pinho B.G.; Brito M.V.; Freitas P.S.L.; Casseb S.M.M.; Silva E.V.P.; Nunes M.R.T.; Diniz J.A.P.; Cunningham C.; Perry V.H.; Vasconcelos P.F.C.; Diniz C.W.P.","Diniz, D.G. (36195579100); Foro, C.A.R. (36195517600); Sosthenes, M.C.K. (55224737400); Demachki, S. (9338057000); Gomes, G.F. (57203462445); Malerba, G.A. (59636033400); Naves, T.B. (56986337900); Cavalcante, E.A.D. (56628586500); Sousa, A.M.C. (57645223000); Ferreira, F.A.B. (57206157563); Anjos, P.C.S. (56015370400); Neto, A.L.C. (7102618916); Pinho, B.G. (55542195100); Brito, M.V. (55542758800); Freitas, P.S.L. (57213016797); Casseb, S.M.M. (24437414900); Silva, E.V.P. (59454580400); Nunes, M.R.T. (57914155800); Diniz, J.A.P. (7005040559); Cunningham, C. (7201736265); Perry, V.H. (7101787946); Vasconcelos, P.F.C. (35602021900); Diniz, Cristovam Wanderley Picanço (6701676103)","36195579100; 36195517600; 55224737400; 9338057000; 57203462445; 59636033400; 56986337900; 56628586500; 57645223000; 57206157563; 56015370400; 7102618916; 55542195100; 55542758800; 57213016797; 24437414900; 59454580400; 57914155800; 7005040559; 7201736265; 7101787946; 35602021900; 6701676103","Aging and environmental enrichment exacerbate inflammatory response on antibody-enhanced dengue disease in immunocompetent murine model","2013","European Journal of Inflammation","11","3","","719","731","12","6","10.1177/1721727X1301100315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893000443&doi=10.1177%2f1721727X1301100315&partnerID=40&md5=45a479afbf2852cdbf436065bf2c0049","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84893000443"
"Pereira Da Silva M.C.; Watanabe I.; Kronka M.C.","Pereira Da Silva, Marcelo Cavenaghi (25721884800); Watanabe, I. (7402438410); Kronka, M.C. (55224737400)","25721884800; 7402438410; 55224737400","Three-dimensional architecture of the connective tissue core and surface structures of the lingual papillae in the rabbit","2002","Histology and Histopathology","17","2","","455","461","6","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036115746&partnerID=40&md5=a5da76c79f3ea199ea18a0d9a337cb78","Article","Final","","Scopus","2-s2.0-0036115746"
"de Sousa A.A.; dos Reis R.R.; de Lima C.M.; de Oliveira M.A.; Fernandes T.N.; Gomes G.F.; Diniz D.G.; Magalhães N.M.; Diniz C.G.; Sosthenes M.C.K.; Bento-Torres J.; Diniz J.A.P.; Vasconcelos P.F.C.; Diniz C.W.P.","de Sousa, Aline A. (36180938900); dos Reis, Renata R. (56861717100); de Lima, Camila M. (56441100600); de Oliveira, Marcus A. (56260324600); Fernandes, Taiany N. (56702115600); Gomes, Giovanni F. (57203462445); Diniz, Daniel G. (36195579100); Magalhães, Nara M. (56441298000); Diniz, Cristovam G. (56702231100); Sosthenes, Marcia C. K. (55224737400); Bento-Torres, João (15045895500); Diniz, José Antonio P. (7005040559); Vasconcelos, Pedro F. da C. (35602021900); Diniz, Cristovam Wanderley P. (6701676103)","36180938900; 56861717100; 56441100600; 56260324600; 56702115600; 57203462445; 36195579100; 56441298000; 56702231100; 55224737400; 15045895500; 7005040559; 35602021900; 6701676103","Three-dimensional morphometric analysis of microglial changes in a mouse model of virus encephalitis: Age and environmental influences","2015","European Journal of Neuroscience","42","4","","2036","2050","14","24","10.1111/ejn.12951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939257463&doi=10.1111%2fejn.12951&partnerID=40&md5=96c3ea28a23a99ab4083b658cd2c034c","Article","Final","","Scopus","2-s2.0-84939257463"
"Kronka M.C.; Watanabe I.S.; da Silva M.C.","Kronka, M.C. (55224737400); Watanabe, I.S. (7402438410); da Silva, M.C. (25721884800)","55224737400; 7402438410; 25721884800","Scanning electron microscopy of angioarchitecture of palatine gingiva in young rabbits.","2001","Brazilian dental journal","12","3","","163","166","3","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035233266&partnerID=40&md5=94029896dc3439d737508fd7be27a56b","Article","Final","","Scopus","2-s2.0-0035233266"
"Watanabe I.-S.; Ogawa K.; Cury D.P.; Dias F.J.; Sosthenes M.C.K.; Issa J.P.M.; Iyomasa M.M.","Watanabe, Ii-Sei (7402438410); Ogawa, Koichi (35430614800); Cury, Diego Pulzatto (55428418100); Dias, Fernando José (36520789900); Sosthenes, Marcia Consentino Kronka (55224737400); Issa, João Paulo Mardegan (15769292700); Iyomasa, Mamie Mizusaki (8055305000)","7402438410; 35430614800; 55428418100; 36520789900; 55224737400; 15769292700; 8055305000","Fine structure of bacterial adhesion to the epithelial cell membranes of the filiform papillae of tongue and palatine mucosa of rodents: A morphometric, TEM, and HRSEM study","2013","Microscopy Research and Technique","76","12","","1226","1233","7","14","10.1002/jemt.22289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887822175&doi=10.1002%2fjemt.22289&partnerID=40&md5=8d0528b672575ece297108a918d7ca31","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84887822175"
"Gomes G.F.; Peixoto R.D.D.F.; Maciel B.G.; Santos K.F.D.; Bayma L.R.; Feitoza Neto P.A.; Fernandes T.N.; de Abreu C.C.; Casseb S.M.M.; de Lima C.M.; de Oliveira M.A.; Diniz D.G.; Vasconcelos P.F.D.C.; Sosthenes M.C.K.; Diniz C.W.P.","Gomes, Giovanni Freitas (57203462445); Peixoto, Railana Deise da Fonseca (57209240496); Maciel, Brenda Gonçalves (57209240617); Santos, Kedma Farias dos (57209240670); Bayma, Lohrane Rosa (57209241021); Feitoza Neto, Pedro Alves (57209240865); Fernandes, Taiany Nogueira (56702115600); de Abreu, Cintya Castro (57209240650); Casseb, Samir Mansour Moraes (24437414900); de Lima, Camila Mendes (56441100600); de Oliveira, Marcus Augusto (56260324600); Diniz, Daniel Guerreiro (36195579100); Vasconcelos, Pedro Fernando da Costa (35602021900); Sosthenes, Marcia Consentino Kronka (55224737400); Diniz, Cristovam Wanderley Picanço (6701676103)","57203462445; 57209240496; 57209240617; 57209240670; 57209241021; 57209240865; 56702115600; 57209240650; 24437414900; 56441100600; 56260324600; 36195579100; 35602021900; 55224737400; 6701676103","Differential Microglial Morphological Response, TNFα, and Viral Load in Sedentary-like and Active Murine Models After Systemic Non-neurotropic Dengue Virus Infection","2019","Journal of Histochemistry and Cytochemistry","67","6","","419","439","20","13","10.1369/0022155419835218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066966299&doi=10.1369%2f0022155419835218&partnerID=40&md5=d1b4131e67693c379ece16b9999712be","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85066966299"
