"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Moraes F.C.A.; de Castro Ribeiro C.H.D.; Pessôa F.D.D.L.; Chaves J.R.; de Souza A.P.B.; Di Felipe Ávila Alcantara D.; Imbiriba M.M.B.G.; Magalhães M.C.F.; Burbano R.M.R.","de Moraes, Francisco Cezar Aquino (58133871000); de Castro Ribeiro, Caio Henrique Duarte (59695110900); Pessôa, Felipe Dircêu Dantas Leite (59694941700); Chaves, Juliana Ramos (57218953387); de Souza, Ana Paula Borges (59667722000); Di Felipe Ávila Alcantara, Diego (56801092400); Imbiriba, Margareth Maria Braun Guimarães (59149169000); Magalhães, Maria Cristina Figueroa (57202931172); Burbano, Rommel Mario Rodríguez (35199598100)","58133871000; 59695110900; 59694941700; 57218953387; 59667722000; 56801092400; 59149169000; 57202931172; 35199598100","Pathologic response rates in HER2-low versus HER2-zero early breast cancer patients receiving neoadjuvant therapy: a systematic review and meta-analysis","2025","Breast Cancer Research","27","1","39","","","","12","10.1186/s13058-025-01989-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000099927&doi=10.1186%2fs13058-025-01989-9&partnerID=40&md5=0f0958aa703d1bcd64eb89b5057c7f9d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000099927"
"Moraes F.C.A.D.; Lôbo A.D.O.M.; Sano V.K.T.; Kelly F.A.; Burbano R.M.R.","Moraes, F.C.A. de (58133871000); Lôbo, A. de O.M. (59005840800); Sano, V.K.T. (59005434200); Kelly, F.A. (59005434300); Burbano, R.M.R. (35199598100)","58133871000; 59005840800; 59005434200; 59005434300; 35199598100","Treatment-related Adverse Events, Including Fatal Toxicities, in Patients With Extensive-stage Small-cell Lung Cancer Receiving Adjuvant Programmed Cell Death 1/Programmed Cell Death Ligand 1 Inhibitors: A Meta-analysis and Trial Sequential Analysis of Randomized Controlled Trials","2024","Clinical Oncology","36","10","","e408","e419","11","10","10.1016/j.clon.2024.06.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199924731&doi=10.1016%2fj.clon.2024.06.056&partnerID=40&md5=0dcadae65c31c039cde803291ef10ae7","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85199924731"
"Duarte D.D.S.; Teixeira E.B.; de Oliveira M.B.; Carneiro T.X.; Leão L.B.C.; Mello Júnior F.A.R.; Carneiro D.M.; Nunes P.F.; Cohen-Paes A.; Alcantara Á.; Khayat A.S.; Burbano R.M.R.","Duarte, Dejair da Silva (59488713100); Teixeira, Eliel Barbosa (57218952420); de Oliveira, Marcelo Braga (57679551200); Carneiro, Thiago Xavier (9232627700); Leão, Lucyana Barbosa Cardoso (57218915708); Mello Júnior, Fernando Augusto Rodrigues (57212144074); Carneiro, Debora Monteiro (57356755500); Nunes, Patricia Ferreira (57224172668); Cohen-Paes, Amanda (57217215185); Alcantara, Diego Di Felipe Ávila (52263168500); Khayat, André Salim (7006620024); Burbano, Rommel Mario Rodriguez (35199598100)","59488713100; 57218952420; 57679551200; 9232627700; 57218915708; 57212144074; 57356755500; 57224172668; 57217215185; 52263168500; 7006620024; 35199598100","Hematological and Biochemical Characteristics Associated with Cytogenetic Findern Alterations in Adult Patients with Acute Lymphoblastic Leukemia (ALL) from the Northern Region of Brazil","2024","Biomedicines","12","12","2739","","","","1","10.3390/biomedicines12122739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213241449&doi=10.3390%2fbiomedicines12122739&partnerID=40&md5=b6b6631fc2e76bb1e97357351e7af50a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85213241449"
"Gomes B.A.Q.; Santos S.M.D.; Gato L.D.S.; Espíndola K.M.M.; Silva R.K.M.D.; Davis K.; Navegantes-Lima K.C.; Burbano R.M.R.; Romao P.R.T.; Coleman M.D.; Monteiro M.C.","Gomes, Bruno Alexandre Quadros (7005569198); Santos, Savio Monteiro dos (57205649677); Gato, Lucas da Silva (59304999700); Espíndola, Kaio Murilo Monteiro (57204160302); Silva, Rana Karen Mesquita da (59678192100); Davis, Kelly (59167571400); Navegantes-Lima, Kely Campos (57198779743); Burbano, Rommel Mario Rodriguez (35199598100); Romao, Pedro Roosevelt Torres (8158764400); Coleman, Michael D. (57204711612); Monteiro, Marta Chagas (35552167300)","7005569198; 57205649677; 59304999700; 57204160302; 59678192100; 59167571400; 57198779743; 35199598100; 8158764400; 57204711612; 35552167300","Alpha-Lipoic Acid Reduces Neuroinflammation and Oxidative Stress Induced by Dapsone in an Animal Model","2025","Nutrients ","17","5","791","","","","11","10.3390/nu17050791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000593562&doi=10.3390%2fnu17050791&partnerID=40&md5=9bae2d0c623a253750d90253a1f266ee","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000593562"
"Maia M.S.; Lopes O.S.; Calixto P.D.S.; Herrero S.S.T.; de Souza A.M.; Longui C.A.; de Carvalho Filho I.R.; Soares L.F.; Delatorre P.; da Silva R.B.; Calcagno D.; Burbano R.R.; Lima E.M.","Maia, Mayara Dos Santos (57194695591); Lopes, Otávio Sérgio (55942602100); Calixto, Poliane da Silva (57222901350); Herrero, Sylvia Satomi Takeno (57194698009); de Souza, Augusto Monteiro (57215001918); Longui, Carlos Alberto (6603724746); de Carvalho Filho, Ivan Rodrigues (57194705570); Soares, Leonardo Ferreira (36069762500); Delatorre, Plínio (6507801631); da Silva, Renally Barbosa (59034696800); Calcagno, Danielle (14044644000); Burbano, Rommel Rodriguez (35199598100); Lima, Eleonidas Moura (7103347966)","57194695591; 55942602100; 57222901350; 57194698009; 57215001918; 6603724746; 57194705570; 36069762500; 6507801631; 59034696800; 14044644000; 35199598100; 7103347966","Association of Single-Nucleotide Polymorphisms of Gene XPC with Susceptibility to Basal Cell Carcinoma in Brazilian Population","2023","SKIN: Journal of Cutaneous Medicine","7","1","","570","580","10","0","10.25251/skin.7.1.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146284277&doi=10.25251%2fskin.7.1.2&partnerID=40&md5=d222c0ad832169a24c4d2ff72bd52b9e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146284277"
"DE MORAIS G.P.; Machado C.B.; Dias Nogueira B.M.; Pessoa F.M.C.P.; Oliveira D.S.; Ribeiro R.M.; DA SILVA J.B.S.; Seabra A.D.; Júnior F.A.R.M.; Burbano R.R.; Khayat A.S.; Filho M.O.M.; De Moraes M.E.A.; Moreira-Nunes C.A.","DE MORAIS, Guilherme Passos (59390703800); Machado, Caio Bezerra (57217026452); Dias Nogueira, Beatriz Maria (57223308052); Pessoa, FLÁVIA MELO CUNHA DE PINHO (57296409900); Oliveira, DEIVIDE DE SOUSA (57204098668); Ribeiro, Rodrigo Monteiro (35199973500); DA SILVA, Jean Breno Silveira (57889251700); Seabra, Aline Damasceno (55403584100); Júnior, Fernando Augusto Rodrigues Mello (59390805100); Burbano, Rommel Rodriguez (35199598100); Khayat, André Salim (7006620024); Filho, MANOEL ODORICO DE MORAES (7103205179); De Moraes, MARIA ELISABETE AMARAL (19836539400); Moreira-Nunes, Caroline Aquino (56388776900)","59390703800; 57217026452; 57223308052; 57296409900; 57204098668; 35199973500; 57889251700; 55403584100; 59390805100; 35199598100; 7006620024; 7103205179; 19836539400; 56388776900","Association of PARP1 Expression Levels and Clinical Parameters in Different Leukemic Subtypes With BCR::ABL1 p190+ Translocation","2024","Cancer Diagnosis and Prognosis","4","5","","592","598","6","1","10.21873/cdp.10368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207848882&doi=10.21873%2fcdp.10368&partnerID=40&md5=54a8ff04ff12c7557c99e4e33c5cb823","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85207848882"
"Pastana L.F.; Silva T.A.; Gellen L.P.A.; Vieira G.M.; de Assunção L.A.; Leitão L.P.C.; da Silva N.M.; Coelho R.C.C.; de Alcântara A.L.; Vinagre L.W.M.S.; Rodrigues J.C.G.; Leal D.F.V.B.; Fernandes M.R.; de Souza S.J.; Kroll J.E.; Ribeiro-Dos-santos A.M.; Burbano R.M.R.; Guerreiro J.F.; de Assumpção P.P.; Ribeiro-Dos-santos Â.C.; Dos Santos S.E.B.; Dos Santos N.P.C.","Pastana, Lucas Favacho (57216363234); Silva, Thays Amâncio (57577602200); Gellen, Laura Patrícia Albarello (57477057700); Vieira, Giovana Miranda (57226165625); de Assunção, Letícia Almeida (57578495200); Leitão, Luciana Pereira Colares (57198431993); da Silva, Natasha Monte (57224001656); Coelho, Rita de Cássia Calderaro (57577153400); de Alcântara, Angélica Leite (57204630937); Vinagre, Lui Wallacy Morikawa Souza (57221529558); Rodrigues, Juliana Carla Gomes (57208736409); Leal, Diana Feio da Veiga Borges (57218173914); Fernandes, Marianne Rodrigues (55895351400); de Souza, Sandro José (57226203137); Kroll, José Eduardo (55546168400); Ribeiro-Dos-santos, André Mauricio (57516753700); Burbano, Rommel Mario Rodríguez (35199598100); Guerreiro, João Farias (7004031976); de Assumpção, Paulo Pimentel (9246684500); Ribeiro-Dos-santos, Ândrea Campos (8431947000); Dos Santos, Sidney Emanuel Batista (7102756289); Dos Santos, Ney Pereira Carneiro (8431946600)","57216363234; 57577602200; 57477057700; 57226165625; 57578495200; 57198431993; 57224001656; 57577153400; 57204630937; 57221529558; 57208736409; 57218173914; 55895351400; 57226203137; 55546168400; 57516753700; 35199598100; 7004031976; 9246684500; 8431947000; 7102756289; 8431946600","The Genomic Profile Associated with Risk of Severe Forms of COVID-19 in Amazonian Native American Populations","2022","Journal of Personalized Medicine","12","4","554","","","","11","10.3390/jpm12040554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128273433&doi=10.3390%2fjpm12040554&partnerID=40&md5=01663589409a964290ff44ff02e6bd88","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128273433"
"Moraes F.C.A.D.; Dal Moro L.; Pessoa F.R.; Passos E.S.D.R.; Campos R.A.L.S.; Souza D.D.S.M.D.; Feio D.; Rodríguez Burbano R.M.; Fernandes M.R.; Santos N.P.C.D.","Moraes, Francisco Cezar Aquino de (58133871000); Dal Moro, Lucca (58694123900); Pessoa, Fernando Rocha (58134478300); Passos, Ellen Sabrinna dos Remédios (58693597400); Campos, Raul Antônio Lopes Silva (58693597500); Souza, Dilma do Socorro Moraes de (55398222800); Feio, Danielle (59971854200); Rodríguez Burbano, Rommel Mario (35199598100); Fernandes, Marianne Rodrigues (55895351400); Santos, Ney Pereira Carneiro dos (8431946600)","58133871000; 58694123900; 58134478300; 58693597400; 58693597500; 55398222800; 59971854200; 35199598100; 55895351400; 8431946600","Malignant Neoplasms Arising in the Cardiac Pacemaker Cavity: A Systematic Review","2023","Cancers","15","21","5206","","","","5","10.3390/cancers15215206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176608115&doi=10.3390%2fcancers15215206&partnerID=40&md5=b50d32b65f0484de4eebe65edf4a78f7","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85176608115"
"Mesquita F.P.; Lima L.B.; da Silva E.L.; Souza P.F.N.; de Moraes M.E.A.; Burbano R.M.R.; Montenegro R.C.","Mesquita, Felipe Pantoja (56379875600); Lima, Luina Benevides (57216281164); da Silva, Emerson Lucena (57203618767); Souza, Pedro Filho Noronha (57191522619); de Moraes, Maria Elisabete Amaral (19836539400); Burbano, Rommel Mario Rodrigues (35199598100); Montenegro, Raquel Carvalho (7003674228)","56379875600; 57216281164; 57203618767; 57191522619; 19836539400; 35199598100; 7003674228","A Review on Anaplastic Lymphoma Kinase (ALK) Rearrangements and Mutations: Implications for Gastric Carcinogenesis and Target Therapy","2024","Current Protein and Peptide Science","25","7","","539","552","13","2","10.2174/0113892037291318240130103348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196098270&doi=10.2174%2f0113892037291318240130103348&partnerID=40&md5=d383ffb20afd506bb204b21b8db00d40","Review","Final","","Scopus","2-s2.0-85196098270"
"da Silva E.L.; Mesquita F.P.; Pinto L.C.; Gomes B.P.S.; de Oliveira E.H.C.; Burbano R.M.R.; de Moares M.E.A.; de Souza P.F.N.; Montenegro R.C.","da Silva, Emerson Lucena (57203618767); Mesquita, Felipe Pantoja (56379875600); Pinto, Laine Celestino (36461645500); Gomes, Bruna Puty Silva (59414272800); de Oliveira, Edivaldo Herculano Correa (57191110649); Burbano, Rommel Mario Rodríguez (35199598100); de Moares, Maria Elisabete Amaral (59413842100); de Souza, Pedro Filho Noronha (57191522619); Montenegro, Raquel Carvalho (7003674228)","57203618767; 56379875600; 36461645500; 59414272800; 57191110649; 35199598100; 59413842100; 57191522619; 7003674228","Transcriptome analysis displays new molecular insights into the mechanisms of action of Mebendazole in gastric cancer cells","2025","Computers in Biology and Medicine","184","","109415","","","","3","10.1016/j.compbiomed.2024.109415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209377991&doi=10.1016%2fj.compbiomed.2024.109415&partnerID=40&md5=ec594cbab7b2c35a5014eacb242b245e","Article","Final","","Scopus","2-s2.0-85209377991"
