,"Author: Noronha, Renata Coelho Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 15 (Of the 53 documents considered for the h-index, 15 have been cited at least 15 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,2,0,2,2,1,6,9,2,7,10,6,7,19,20,21,26,42,33,32,73,101,152,91,664,0,664
2026,"Theoretical and experimental investigation of a nimesulide-alginate hybrid composite: Physicochemical characterization, cytotoxicity and release profile",00222860,"Journal of Molecular Structure","1351","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2026,"Fish gelatin in biomedical applications: A systematic review",17732247,"Journal of Drug Delivery Science and Technology","115","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2025,"DNA Methylation and Oxidative Stress in a Fish from an Area of the Amazon Historically Impacted by Anthropogenic Activities",00074861,"Bulletin of Environmental Contamination and Toxicology","115","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Mechanochemistry in Waste Valorization: Advances in the Synthesis of Catalysts, Polymers, and Functional Materials",20734344,"Catalysts","15","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2025,"DNA methylation in fish of the cichlid family: A systematic review",24058440,"Heliyon","11","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2025,"The dual role of circHIPK3 in cancer and its implications for multiple drugs resistance: a systematic review and computational approach",2234943X,"Frontiers in Oncology","15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,5
