"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Campelo M.M.; Reis-das-Mercês L.; Vidal A.F.; da Silva F.R.P.; de Oliveira A.C.A.; Monteiro J.R.D.S.; Cabral C.G.; Noronha R.C.R.; Pereira A.L.","Campelo, Marcelo Monteiro (59676383700); Reis-das-Mercês, Laís (57209310851); Vidal, Amanda Ferreira (56727610700); da Silva, Felipe Rodolfo Pereira (57191294386); de Oliveira, Ana Carolina Alves (56673451400); Monteiro, José Rogério de Souza (59676199400); Cabral, Caique Guimarães (59676383800); Noronha, Renata Coelho Rodrigues (8528389300); Pereira, Adenilson Leão (55616230700)","59676383700; 57209310851; 56727610700; 57191294386; 56673451400; 59676199400; 59676383800; 8528389300; 55616230700","The dual role of circHIPK3 in cancer and its implications for multiple drugs resistance: a systematic review and computational approach","2025","Frontiers in Oncology","15","","1547889","","","","5","10.3389/fonc.2025.1547889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000594934&doi=10.3389%2ffonc.2025.1547889&partnerID=40&md5=d6d643e5418f7635c9b128999a542525","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000594934"
"Almeida B.; Malcher S.; Costa M.; Martins J.; Procópio R.; Noronha R.; Nagamachi C.; Pieczarka J.","Almeida, Bruno (57194060519); Malcher, Stella (55925032300); Costa, Marlyson (58205135300); Martins, Jonas (57200504741); Procópio, Rudi (35273374600); Noronha, Renata (8528389300); Nagamachi, Cleusa (57201041892); Pieczarka, Julio (7003386889)","57194060519; 55925032300; 58205135300; 57200504741; 35273374600; 8528389300; 57201041892; 7003386889","High Chromosomal Reorganization and Presence of Microchromosomes in Chactidae Scorpions from the Brazilian Amazon","2023","Biology","12","4","563","","","","2","10.3390/biology12040563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154055398&doi=10.3390%2fbiology12040563&partnerID=40&md5=30d1a12be5759b23960266801ae578bc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85154055398"
"da Silva Souza A.R.; de Mescouto V.A.; Pardauil J.D.J.R.; do Nascimento L.A.S.; Cardoso A.L.; Dickson A.L.G.; Noronha R.C.R.; da Costa C.E.F.","da Silva Souza, Allan Rodrigo (60703814400); de Mescouto, Vanessa Albuquerque (57205249737); Pardauil, Juliana de Jesus Rocha (36961276500); do Nascimento, Luís Adriano Santos (57193903787); Cardoso, Adauto Lima (48260939600); Dickson, Allan Luiz Galvão (60703923500); Noronha, Renata Coelho Rodrigues (8528389300); da Costa, Carlos Emmerson Ferreira (25721862100)","60703814400; 57205249737; 36961276500; 57193903787; 48260939600; 60703923500; 8528389300; 25721862100","Synthesis and characterization of a biodegradable biocomposite from babaçu (Attalea spp.) starch reinforced with residual kaolin: Physicochemical properties, thermal stability, and in vitro cytotoxicity","2026","Materials Today Communications","54","","115556","","","","0","10.1016/j.mtcomm.2026.115556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105042547744&doi=10.1016%2fj.mtcomm.2026.115556&partnerID=40&md5=731bfc74fda17d70830eb06813310478","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105042547744"
"de Jesus G.A.; Dickson A.L.G.; de Mescouto V.A.; Silva M.C.; Ribeiro C.F.A.; da Costa C.E.F.; Oliveira R.J.; de Almeida B.R.R.; Cardoso A.L.; Noronha R.C.R.; do Nascimento L.A.S.","de Jesus, Gabriel Araújo (59303621100); Dickson, Allan Luiz Galvão (60703923500); de Mescouto, Vanessa Albuquerque (57205249737); Silva, Maurílio Cunha (60718380300); Ribeiro, Carmelita de Fátima Amaral (60718380400); da Costa, Carlos Emmerson Ferreira (25721862100); Oliveira, Rodrigo Juliano (15123151700); de Almeida, Bruno Rafael Ribeiro (57209211646); Cardoso, Adauto Lima (48260939600); Noronha, Renata Coelho Rodrigues (8528389300); do Nascimento, Luís Adriano Santos (57193903787)","59303621100; 60703923500; 57205249737; 60718380300; 60718380400; 25721862100; 15123151700; 57209211646; 48260939600; 8528389300; 57193903787","Influence of Extraction Methods on the Physicochemical and Biological Properties of Amazonian Beetle Larva Oil (Speciomerus ruficornis)","2026","ACS Omega","11","25","","36585","36595","10","0","10.1021/acsomega.5c11230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105043455411&doi=10.1021%2facsomega.5c11230&partnerID=40&md5=7a74a57073921e5da17bf348c36f6819","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105043455411"
"Amaral P.J.S.; Nagamachi C.Y.; Noronha R.C.R.; Costa M.J.R.; Pereira A.L.; Rossi R.V.; Mendes-Oliveira A.C.; Pieczarka J.C.","Amaral, Paulo J.S. (24469841300); Nagamachi, Cleusa Y. (57201041892); Noronha, Renata C.R. (8528389300); Costa, Marlyson J.R. (57189709787); Pereira, Adenilson L. (55616230700); Rossi, Rogerio V. (57040451900); Mendes-Oliveira, Ana C. (54784960500); Pieczarka, Julio C. (7003386889)","24469841300; 57201041892; 8528389300; 57189709787; 55616230700; 57040451900; 54784960500; 7003386889","Proechimys (Rodentia, Echimyidae): Characterization and taxonomic considerations of a form with a very low diploid number and a multiple sex chromosome system","2013","BMC Genetics","14","","21","","","","18","10.1186/1471-2156-14-21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874674969&doi=10.1186%2f1471-2156-14-21&partnerID=40&md5=4782833227f2b18d1327f49cb4dd6c34","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84874674969"
"Mescouto V.A.D.; Ferreira L.D.C.; Paiva R.D.J.; Oliveira D.T.D.; Santana M.O.; Rocha Filho G.N.D.; Luque R.; Noronha R.C.R.; Nascimento L.A.S.D.","Mescouto, Vanessa Albuquerque de (57205249737); Ferreira, Lucas da Cunha (59404639500); Paiva, Rutiléia de Jesus (58631482000); Oliveira, Deborah Terra de (57196846760); Santana, Mozaniel Oliveira (56912806800); Rocha Filho, Geraldo Narciso da (57214990696); Luque, Rafael (26643003700); Noronha, Renata Coelho Rodrigues (8528389300); Nascimento, Luís Adriano Santos do (57193903787)","57205249737; 59404639500; 58631482000; 57196846760; 56912806800; 57214990696; 26643003700; 8528389300; 57193903787","Review of recent advances in improvement strategies for biofuels production from cyanobacteria","2024","Heliyon","10","22","e40293","","","","9","10.1016/j.heliyon.2024.e40293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208680188&doi=10.1016%2fj.heliyon.2024.e40293&partnerID=40&md5=9b4f714940efc39ce41c4e22480fbcad","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208680188"
"Cardoso A.L.; Sales K.A.H.; Nagamachi C.Y.; Pieczarka J.C.; Noronha R.C.R.","Cardoso, Adauto Lima (48260939600); Sales, Karline Alves Holanda (55735828900); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889); Noronha, Renata Coelho Rodrigues (8528389300)","48260939600; 55735828900; 57201041892; 7003386889; 8528389300","Comparative cytogenetics of two species of genus scobinancistrus (Siluriformes, Loricariidae, Ancistrini) from the Xingu river, Brazil","2013","Comparative Cytogenetics","7","1","","43","51","8","17","10.3897/CompCytogen.v7i1.4128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877952156&doi=10.3897%2fCompCytogen.v7i1.4128&partnerID=40&md5=52dd66ed1249b655e4b855432a52e783","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84877952156"
"Maciel L.A.M.; Rodrigues Noronha R.C.; de Almeida B.R.R.; Cavalcante M.G.; Nagamachi C.Y.; Pieczarka J.C.; Rodrigues L.R.R.","Maciel, Luan Aércio Melo (57204930084); Rodrigues Noronha, Renata Coelho (8528389300); de Almeida, Bruno Rafael Ribeiro (57209211646); Cavalcante, Manoella Gemaque (57202301395); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889); Rodrigues, Luís Reginaldo R. (7202075638)","57204930084; 8528389300; 57209211646; 57202301395; 57201041892; 7003386889; 7202075638","New insights into the putative XX/XY sex chromosomal system in blue-eyed red-fin pleco Hypostomus soniae (Siluriformes, Loricariidae)","2026","Journal of Fish Biology","108","1","","92","102","10","0","10.1111/jfb.70226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015766864&doi=10.1111%2fjfb.70226&partnerID=40&md5=244c2499823453ff5e471858f7401309","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015766864"
"De Almeida B.R.R.; Rodrigues Noronha R.C.; Da Costa M.J.R.; Nagamachi C.Y.; Pieczarka J.C.","De Almeida, Bruno Rafael Ribeiro (57209211646); Rodrigues Noronha, Renata Coelho (8528389300); Da Costa, Marlyson Jeremias Rodrigues (57189709787); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889)","57209211646; 8528389300; 57189709787; 57201041892; 7003386889","Meiosis in the scorpion Tityus silvestris: New insights into achiasmatic chromosomes","2019","Biology Open","8","5","bio040352","","","","10","10.1242/bio.040352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066853303&doi=10.1242%2fbio.040352&partnerID=40&md5=13506ddf866e1b268c43e6be192cf976","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85066853303"
"Santos da Silva K.; Glugoski L.; Vicari M.R.; de Souza A.C.P.; Noronha R.C.R.; Pieczarka J.C.; Nagamachi C.Y.","Santos da Silva, Kevin (57337273900); Glugoski, Larissa (57196064566); Vicari, Marcelo Ricardo (6603461627); de Souza, Augusto César Paes (15841319000); Noronha, Renata Coelho Rodrigues (8528389300); Pieczarka, Julio Cesar (7003386889); Nagamachi, Cleusa Yoshiko (57201041892)","57337273900; 57196064566; 6603461627; 15841319000; 8528389300; 7003386889; 57201041892","Chromosomal Diversification in Ancistrus Species (Siluriformes: Loricariidae) Inferred From Repetitive Sequence Analysis","2022","Frontiers in Genetics","13","","838462","","","","9","10.3389/fgene.2022.838462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128308343&doi=10.3389%2ffgene.2022.838462&partnerID=40&md5=6285a50d2f15bcd054d6d0b8ee9402ed","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128308343"
